position,target,probe_id,pair_index,pair_id,sentence_id,doc_id,source_words,rewrite_words,source_token_len,rewrite_token_len,target_token_id,source_type_count,seq_len,source_mass,target_prob,source_to_target_mass_ratio,target_rank,top10_ids,top10_probs,top1_in_source,top10_source_hits,arm,arch,role,seed,checkpoint
96,7152,"misfire:0:36:research by warren booth, a biologist at the university of tulsa and a co-author",0,"research by warren booth, a biologist at the university of tulsa and a co-author",30667,13305,41,23,59,42,7152,50,103,0.6241562366485596,3.6905184970237315e-05,16912.42672681139,621,228 253 718 520 309 823 195 454 523 2425,0.44867778 0.13072868 0.059959978 0.041070335 0.032378823 0.026172252 0.026038686 0.017879562 0.014470406 0.010368592,1,3,D_C_43122,D,C,43122,chck_100M
100,2410,"misfire:0:40:research by warren booth, a biologist at the university of tulsa and a co-author",0,"research by warren booth, a biologist at the university of tulsa and a co-author",30667,13305,41,23,59,42,2410,50,103,0.6911400556564331,0.003914193250238895,176.57279839574878,12,357 441 9913 248 5709 220 214 3600 271 1335,0.68916619 0.041546978 0.016404005 0.010220545 0.0089217657 0.0072335317 0.0068020946 0.0065398137 0.0053484659 0.0045236703,1,1,D_C_43122,D,C,43122,chck_100M
48,249,"misfire:2:4:the new and improved factory farm map, created by food and water watch, uses col",2,"the new and improved factory farm map, created by food and water watch, uses col",51907,2512,28,17,43,26,249,40,71,0.6649075746536255,0.06012621149420738,11.058531015506995,5,308 195 192 223 249 750 1620 325 253 263,0.30603674 0.28085598 0.070860386 0.065652192 0.060126211 0.031316616 0.024220133 0.022055522 0.012942955 0.012069257,1,3,D_C_43122,D,C,43122,chck_100M
68,6705,"misfire:2:24:the new and improved factory farm map, created by food and water watch, uses col",2,"the new and improved factory farm map, created by food and water watch, uses col",51907,2512,28,17,43,26,6705,40,71,0.05480259656906128,7.027807441772893e-05,779.7965015848005,1475,4640 231 2342 1881 1348 4109 370 1836 638 5307,0.044557668 0.025189253 0.02435107 0.023813013 0.015833596 0.014391199 0.012241662 0.011234674 0.010009369 0.0099621108,1,1,D_C_43122,D,C,43122,chck_100M
36,7537,misfire:3:5:the map project was initiated at the university of oregon and its growth and suc,3,the map project was initiated at the university of oregon and its growth and suc,20958,5534,28,16,30,18,7537,26,50,0.09609703719615936,0.0005423835827969015,177.1754165209374,191,1503 15786 4183 12388 1569 5519 7879 14528 9238 8409,0.10714552 0.090141468 0.051068787 0.048449595 0.04118881 0.027102077 0.019742019 0.01903528 0.018297622 0.017816709,0,1,D_C_43122,D,C,43122,chck_100M
37,731,misfire:3:6:the map project was initiated at the university of oregon and its growth and suc,3,the map project was initiated at the university of oregon and its growth and suc,20958,5534,28,16,30,18,731,26,50,0.030787821859121323,0.004842494614422321,6.35784328338259,11,231 310 412 302 1410 250 601 315 388 213,0.55135405 0.26830879 0.017088076 0.015764764 0.01537262 0.014729931 0.013345446 0.010008356 0.0084125502 0.0066221948,0,2,D_C_43122,D,C,43122,chck_100M
50,3362,"misfire:4:0:in medieval europe prostitution was licensed and regulated by law, but by the 16",4,"in medieval europe prostitution was licensed and regulated by law, but by the 16",52596,1140,29,12,49,27,3362,45,78,0.7069296836853027,3.2068282962427475e-06,220445.13094560464,4792,1591 15270 4898 1848 5369 3429 8232 3097 6478 1084,0.70543104 0.017545881 0.0070263189 0.0054074735 0.0040262919 0.0038955908 0.0038826338 0.0036877389 0.0035295289 0.0034835252,1,1,D_C_43122,D,C,43122,chck_100M
72,3861,"misfire:4:22:in medieval europe prostitution was licensed and regulated by law, but by the 16",4,"in medieval europe prostitution was licensed and regulated by law, but by the 16",52596,1140,29,12,49,27,3861,45,78,0.16046585142612457,7.277006716321921e-06,22051.079198018135,2019,424 223 374 265 228 2992 2562 4430 721 8933,0.35275206 0.064411461 0.040588681 0.035678986 0.02960638 0.028424293 0.027513219 0.018426109 0.014835972 0.014537867,0,4,D_C_43122,D,C,43122,chck_100M
44,10571,"misfire:5:0:if you are not a smoker, you should avoid people who smokes because research fro",5,"if you are not a smoker, you should avoid people who smokes because research fro",30744,9419,31,18,43,31,10571,37,76,0.04686131328344345,0.001286166487261653,36.434873515647865,103,688 2997 959 1420 2944 2182 308 3558 2347 263,0.16519322 0.092019133 0.031468231 0.030447453 0.029276619 0.024094716 0.023046372 0.019712497 0.015550459 0.01396638,0,2,D_C_43122,D,C,43122,chck_100M
66,1799,"misfire:5:22:if you are not a smoker, you should avoid people who smokes because research fro",5,"if you are not a smoker, you should avoid people who smokes because research fro",30744,9419,31,18,43,31,1799,37,76,0.20141075551509857,0.0005935608060099185,339.3262383158988,238,3465 20 214 212 313 641 202 24 1127 25,0.14156638 0.022521704 0.021486055 0.020204619 0.018270567 0.014984251 0.014823315 0.013305761 0.012016467 0.010980044,1,2,D_C_43122,D,C,43122,chck_100M
66,644,"misfire:6:4:three task forces, that were created in the wake of the comprehensive assessment",6,"three task forces, that were created in the wake of the comprehensive assessment",23495,3910,39,19,61,37,644,52,100,0.7130624055862427,0.0029004765674471855,245.84318783648536,17,231 412 315 276 250 310 253 213 388 1410,0.36752912 0.23002191 0.087693669 0.067352518 0.040830728 0.039442852 0.025711665 0.017521696 0.016789641 0.013785108,1,5,D_C_43122,D,C,43122,chck_100M
93,572,"misfire:6:31:three task forces, that were created in the wake of the comprehensive assessment",6,"three task forces, that were created in the wake of the comprehensive assessment",23495,3910,39,19,61,37,572,52,100,0.8682901263237,2.8886831842100946e-06,300583.36998321,2735,4238 8300 2991 223 195 6689 790 643 249 862,0.86009246 0.0046909763 0.0032533943 0.0031299389 0.0030617379 0.0027589679 0.0026727128 0.0024164368 0.0022599543 0.0021338458,1,2,D_C_43122,D,C,43122,chck_100M
45,249,"misfire:7:13:the hubbard-rosa version of “on, wisconsin!” became the official state song on j",7,"the hubbard-rosa version of “on, wisconsin!” became the official state song on j",25149,13080,15,11,31,28,249,26,61,0.5427268147468567,0.13597707450389862,3.9913111583474765,3,1775 195 249 310 305 2737 2503 1176 7067 18,0.36012593 0.15953402 0.13597707 0.027777744 0.023307057 0.013184408 0.011758193 0.0097564217 0.0088229049 0.0074011032,1,3,D_C_43122,D,C,43122,chck_100M
26,6890,"misfire:8:4:this year alone, 12 deaths have been reported, according to a san jose state uni",8,"this year alone, 12 deaths have been reported, according to a san jose state uni",42366,11134,16,10,21,13,6890,20,36,0.3314829170703888,0.0008155316463671625,406.46235930512387,92,16 542 328 374 228 3583 2494 223 519 331,0.19177401 0.13342811 0.12850809 0.10481956 0.017540341 0.01669601 0.016087802 0.013855228 0.012606093 0.012490814,1,2,D_C_43122,D,C,43122,chck_100M
55,5343,"misfire:9:17:in january 2003, epa released its national water quality trading policy, which l",9,"in january 2003, epa released its national water quality trading policy, which l",13634,4124,23,12,37,21,5343,34,60,0.8637270927429199,2.7488010800880147e-07,3142195.6976066963,3222,276 192 213 231 388 223 250 195 310 302,0.80473876 0.048200957 0.02797162 0.018453499 0.016443698 0.012298284 0.0091388905 0.007947945 0.0068127052 0.0059559499,1,3,D_C_43122,D,C,43122,chck_100M
60,954,"misfire:10:3:total=land+water; land=land only [suh-rent-owe] is a town in hancock county, set",10,"total=land+water; land=land only [suh-rent-owe] is a town in hancock county, set",41983,11140,25,13,56,41,954,49,99,0.09575381129980087,2.7775536182161886e-06,34474.15404398071,7124,5365 15107 10419 11853 10426 11977 14966 5138 11806 5372,0.095366724 0.048922334 0.030400243 0.01951737 0.015670374 0.013245429 0.011359751 0.01058703 0.010375607 0.0095371408,1,1,D_C_43122,D,C,43122,chck_100M
87,641,"misfire:10:30:total=land+water; land=land only [suh-rent-owe] is a town in hancock county, set",10,"total=land+water; land=land only [suh-rent-owe] is a town in hancock county, set",41983,11140,25,13,56,41,641,49,99,0.9119783043861389,0.00021339408704079688,4273.68123003233,39,231 228 213 276 388 315 412 1229 195 601,0.8391341 0.052569166 0.017610682 0.010471995 0.010394098 0.0088071842 0.007094943 0.0065873307 0.0048421384 0.0037972797,1,4,D_C_43122,D,C,43122,chck_100M
42,249,"misfire:11:5:first, the methane created by the closed-loop system can supply between 10 and 1",11,"first, the methane created by the closed-loop system can supply between 10 and 1",3873,5210,25,14,36,25,249,31,63,0.16718223690986633,0.0007564748520962894,221.0017113544261,158,542 360 768 228 5666 7207 3546 2863 5052 223,0.14363375 0.084098063 0.051311139 0.020821726 0.019365543 0.016942374 0.015698496 0.015314899 0.014637702 0.014234456,0,4,D_C_43122,D,C,43122,chck_100M
57,2282,"misfire:11:20:first, the methane created by the closed-loop system can supply between 10 and 1",11,"first, the methane created by the closed-loop system can supply between 10 and 1",3873,5210,25,14,36,25,2282,31,63,0.9822574853897095,5.4651976824970916e-05,17972.954364221798,37,195 862 511 823 718 370 554 334 454 704,0.9818995 0.0034242335 0.0019831953 0.00048937515 0.00048121586 0.00041324567 0.00034372963 0.00033637288 0.00030190108 0.0002385425,1,1,D_C_43122,D,C,43122,chck_100M
49,1542,"misfire:12:15:at the beginning of the antarctic winter, from march to april, weather on king g",12,"at the beginning of the antarctic winter, from march to april, weather on king g",30024,5556,25,14,33,17,1542,28,52,0.18080778419971466,0.005120779853314161,35.30864231210723,23,331 2683 2768 7326 2774 631 3127 1150 1247 2473,0.17672563 0.035678267 0.035558596 0.027454112 0.017601725 0.017478609 0.016487939 0.015602475 0.015038863 0.014721062,1,1,D_C_43122,D,C,43122,chck_100M
37,3262,"misfire:13:0:this may at first sight seem an easy study area, but school result statistics sh",13,"this may at first sight seem an easy study area, but school result statistics sh",40186,13328,28,15,36,22,3262,34,60,0.23428599536418915,0.0007478140178136528,313.29446865566877,94,308 750 2203 3558 11418 1877 11057 4517 6842 1072,0.32309064 0.22570038 0.058265541 0.020965373 0.017414039 0.017215904 0.015583353 0.013787626 0.0080565978 0.0065453593,0,1,D_C_43122,D,C,43122,chck_100M
53,1172,"misfire:13:16:this may at first sight seem an easy study area, but school result statistics sh",13,"this may at first sight seem an easy study area, but school result statistics sh",40186,13328,28,15,36,22,1172,34,60,0.49746161699295044,0.017893515527248383,27.801223087515254,9,389 352 223 684 1141 310 3868 523 1172 11405,0.39609876 0.14708892 0.097428299 0.037302073 0.034236282 0.034044445 0.029732889 0.024531094 0.017893516 0.015099944,1,2,D_C_43122,D,C,43122,chck_100M
50,249,"misfire:14:8:jane edwards, programme leader mental health, deakin university, australia jane ",14,"jane edwards, programme leader mental health, deakin university, australia jane ",51067,16473,28,25,41,35,249,33,78,0.9862449169158936,1.174862882180605e-05,83945.53371925182,61,16 223 228 2025 231 262 31 1330 7380 419,0.90677744 0.077481642 0.0065487917 0.0016055104 0.00089921255 0.00070644711 0.00061859109 0.00030587381 0.00029446685 0.0002247298,1,4,D_C_43122,D,C,43122,chck_100M
55,3704,"misfire:14:13:jane edwards, programme leader mental health, deakin university, australia jane ",14,"jane edwards, programme leader mental health, deakin university, australia jane ",51067,16473,28,25,41,35,3704,33,78,0.06170077621936798,0.0003562333295121789,173.20326625209435,418,965 5775 2467 2011 3724 16 9645 4000 631 5286,0.031498145 0.024463685 0.022450125 0.019397896 0.018260509 0.017713426 0.015479568 0.014236756 0.013900396 0.011249094,0,2,D_C_43122,D,C,43122,chck_100M
47,5639,"misfire:15:0:behind the rustic log exteriors, however, a high-tech project is underway as mon",15,"behind the rustic log exteriors, however, a high-tech project is underway as mon",12247,14908,29,19,46,31,5639,44,79,0.0003272422472946346,0.04579610750079155,0.007145634534310115,8,308 565 1788 1482 920 5194 2944 5639 1084 2969,0.132378 0.1082804 0.075770967 0.070230909 0.065124407 0.059577033 0.046439234 0.045796108 0.042173538 0.03382827,0,0,D_C_43122,D,C,43122,chck_100M
50,1123,"misfire:16:0:nicolaus seefeld, an archaeologist at the university of bonn in germany, stumble",16,"nicolaus seefeld, an archaeologist at the university of bonn in germany, stumble",47932,13913,31,16,49,35,1123,40,86,0.011096466332674026,0.0015680129872635007,7.076769403574648,54,1027 263 308 1357 1248 2598 8232 509 6352 8491,0.32669678 0.19783874 0.060945854 0.011620954 0.0084576821 0.006759109 0.0066829184 0.006664563 0.0065179379 0.0054509705,0,1,D_C_43122,D,C,43122,chck_100M
81,249,"misfire:16:31:nicolaus seefeld, an archaeologist at the university of bonn in germany, stumble",16,"nicolaus seefeld, an archaeologist at the university of bonn in germany, stumble",47932,13913,31,16,49,35,249,40,86,0.8161433935165405,0.009859193116426468,82.77993785888609,4,195 231 250 249 601 192 223 388 731 213,0.76193929 0.030273169 0.018187484 0.0098591931 0.0090620527 0.0080330744 0.0055702575 0.0052196449 0.0052066343 0.0051301504,1,3,D_C_43122,D,C,43122,chck_100M
55,249,misfire:17:10:a recent study conducted by the georgetown university medical center in washingt,17,a recent study conducted by the georgetown university medical center in washingt,2676,763,32,20,44,31,249,41,77,0.8459476828575134,0.0005790111608803272,1461.021375773373,48,3948 231 1410 388 276 213 302 223 2998 315,0.77977175 0.048009083 0.017428694 0.0093336953 0.0081132855 0.0073392834 0.0071281176 0.0056735277 0.0049290205 0.0048138942,1,3,D_C_43122,D,C,43122,chck_100M
81,4424,misfire:18:24:the author bases the book on her research and gardening at the 576-acre old worl,18,the author bases the book on her research and gardening at the 576-acre old worl,48649,6778,40,37,56,52,4424,49,110,0.21532772481441498,0.003146631643176079,68.43118268431068,22,542 7207 5072 328 8403 1808 331 6778 302 5113,0.32034376 0.21253382 0.17119563 0.036622822 0.01768925 0.017069569 0.016001919 0.012974381 0.011945438 0.010734988,0,1,D_C_43122,D,C,43122,chck_100M
