target,variant,frame_id,family,subtype,depth,alt_a,alt_b,target_prior_ratio,target_prior_balanced_le4,renaming_of,shuffled_context_family,c1_a_sum,c1_a_mean,c1_a_n_tokens,c1_a_status,c1_b_sum,c1_b_mean,c1_b_n_tokens,c1_b_status,c2_a_sum,c2_a_mean,c2_a_n_tokens,c2_a_status,c2_b_sum,c2_b_mean,c2_b_n_tokens,c2_b_status,none_a_sum,none_a_mean,none_a_n_tokens,none_a_status,none_b_sum,none_b_mean,none_b_n_tokens,none_b_status,shuf1_a_sum,shuf1_a_mean,shuf1_a_n_tokens,shuf1_a_status,shuf1_b_sum,shuf1_b_mean,shuf1_b_n_tokens,shuf1_b_status,shuf2_a_sum,shuf2_a_mean,shuf2_a_n_tokens,shuf2_a_status,shuf2_b_sum,shuf2_b_mean,shuf2_b_n_tokens,shuf2_b_status,delta1,delta2,correct_margin_c1,correct_margin_c2,min_signed_margin,interaction,crossed_success,c1_success,c2_success,same_sign_positive,same_sign_negative,none_delta,delta1_minus_none,delta2_minus_none,shuf_delta1,shuf_delta2,shuf_correct_margin_c1,shuf_correct_margin_c2,shuf_min_signed_margin,shuf_interaction,shuf_crossed_success,interaction_excess_over_shuffled,min_margin_excess_over_shuffled
scale1p75_100M,original,A_0001,A_spatial_direct,inside_outside,1.0,inside,outside,1.0257787325456498,True,,B_transfer_role,-0.14739486575126648,-0.14739486575126648,1,ok,-4.6142706871032715,-4.6142706871032715,1,ok,-2.731555461883545,-2.731555461883545,1,ok,-0.16876554489135742,-0.16876554489135742,1,ok,-2.84315824508667,-2.84315824508667,1,ok,-4.091445446014404,-4.091445446014404,1,ok,-3.456587314605713,-3.456587314605713,1,ok,-3.5869393348693848,-3.5869393348693848,1,ok,-3.343301296234131,-3.343301296234131,1,ok,-3.5374932289123535,-3.5374932289123535,1,ok,4.466875821352005,-2.5627899169921875,4.466875821352005,2.5627899169921875,2.5627899169921875,7.0296657383441925,True,True,True,False,False,1.2482872009277344,3.2185886204242706,-3.811077117919922,0.13035202026367188,0.19419193267822266,0.13035202026367188,-0.19419193267822266,-0.19419193267822266,-0.06383991241455078,False,7.093505650758743,2.75698184967041
scale1p75_100M,original,A_0002,A_spatial_direct,on_under,1.0,on,under,18.004459861248762,False,,B_transfer_role,-0.005539424251765013,-0.005539424251765013,1,ok,-7.054555416107178,-7.054555416107178,1,ok,-4.099870204925537,-4.099870204925537,1,ok,-0.05991225317120552,-0.05991225317120552,1,ok,-0.12724792957305908,-0.12724792957305908,1,ok,-4.520560264587402,-4.520560264587402,1,ok,-0.19123989343643188,-0.19123989343643188,1,ok,-4.852735996246338,-4.852735996246338,1,ok,-0.19394513964653015,-0.19394513964653015,1,ok,-5.134875297546387,-5.134875297546387,1,ok,7.049015991855413,-4.039957951754332,7.049015991855413,4.039957951754332,4.039957951754332,11.088973943609744,True,True,True,False,False,4.393312335014343,2.6557036568410695,-8.433270286768675,4.661496102809906,4.940930157899857,4.661496102809906,-4.940930157899857,-4.940930157899857,-0.27943405508995056,False,11.368407998699695,8.980888109654188
scale1p75_100M,original,A_0003,A_spatial_direct,on_under,1.0,on,under,18.004459861248762,False,,B_transfer_role,-0.008641467429697514,-0.008641467429697514,1,ok,-7.326920509338379,-7.326920509338379,1,ok,-4.819367408752441,-4.819367408752441,1,ok,-0.03405960276722908,-0.03405960276722908,1,ok,-1.0025299787521362,-1.0025299787521362,1,ok,-3.876030921936035,-3.876030921936035,1,ok,-2.0482025146484375,-2.0482025146484375,1,ok,-4.51248836517334,-4.51248836517334,1,ok,-2.034289836883545,-2.034289836883545,1,ok,-4.509461879730225,-4.509461879730225,1,ok,7.318279041908681,-4.785307805985212,7.318279041908681,4.785307805985212,4.785307805985212,12.103586847893894,True,True,True,False,False,2.873500943183899,4.4447780987247825,-7.658808749169111,2.4642858505249023,2.4751720428466797,2.4642858505249023,-2.4751720428466797,-2.4751720428466797,-0.010886192321777344,False,12.114473040215671,7.260479848831892
scale1p75_100M,original,A_0004,A_spatial_direct,above_below,1.0,above,below,1.9215116279069768,True,,B_transfer_role,-0.09004998952150345,-0.09004998952150345,1,ok,-3.6772797107696533,-3.6772797107696533,1,ok,-3.60422420501709,-3.60422420501709,1,ok,-0.0760888159275055,-0.0760888159275055,1,ok,-4.5228424072265625,-4.5228424072265625,1,ok,-5.484241485595703,-5.484241485595703,1,ok,-5.0872697830200195,-5.0872697830200195,1,ok,-5.727012634277344,-5.727012634277344,1,ok,-4.915868282318115,-4.915868282318115,1,ok,-5.510899066925049,-5.510899066925049,1,ok,3.58722972124815,-3.5281353890895844,3.58722972124815,3.5281353890895844,3.5281353890895844,7.115365110337734,True,True,True,False,False,0.9613990783691406,2.6258306428790092,-4.489534467458725,0.6397428512573242,0.5950307846069336,0.6397428512573242,-0.5950307846069336,-0.5950307846069336,0.044712066650390625,False,7.070653043687344,4.123166173696518
scale1p75_100M,original,A_0005,A_spatial_direct,above_below,1.0,above,below,1.9215116279069768,True,,B_transfer_role,-0.27440014481544495,-0.27440014481544495,1,ok,-3.190173625946045,-3.190173625946045,1,ok,-4.625662803649902,-4.625662803649902,1,ok,-0.11311249434947968,-0.11311249434947968,1,ok,-7.803122520446777,-7.803122520446777,1,ok,-8.158768653869629,-8.158768653869629,1,ok,-7.784389495849609,-7.784389495849609,1,ok,-7.921091556549072,-7.921091556549072,1,ok,-7.910158157348633,-7.910158157348633,1,ok,-7.757553577423096,-7.757553577423096,1,ok,2.9157734811306,-4.512550309300423,2.9157734811306,4.512550309300423,2.9157734811306,7.428323790431023,True,True,True,False,False,0.35564613342285156,2.5601273477077484,-4.868196442723274,0.1367020606994629,-0.1526045799255371,0.1367020606994629,0.1526045799255371,0.1367020606994629,0.289306640625,True,7.139017149806023,2.779071420431137
scale1p75_100M,original,A_0006,A_spatial_direct,above_below,1.0,above,below,1.9215116279069768,True,,B_transfer_role,-0.18200911581516266,-0.18200911581516266,1,ok,-3.9148306846618652,-3.9148306846618652,1,ok,-3.2181684970855713,-3.2181684970855713,1,ok,-0.14768050611019135,-0.14768050611019135,1,ok,-6.153848171234131,-6.153848171234131,1,ok,-7.046188831329346,-7.046188831329346,1,ok,-6.82885217666626,-6.82885217666626,1,ok,-7.138947010040283,-7.138947010040283,1,ok,-6.706116199493408,-6.706116199493408,1,ok,-6.966049671173096,-6.966049671173096,1,ok,3.7328215688467026,-3.07048799097538,3.7328215688467026,3.07048799097538,3.07048799097538,6.8033095598220825,True,True,True,False,False,0.8923406600952148,2.8404809087514877,-3.962828651070595,0.31009483337402344,0.2599334716796875,0.31009483337402344,-0.2599334716796875,-0.2599334716796875,0.05016136169433594,False,6.753148198127747,3.3304214626550674
scale1p75_100M,original,A_0007,A_spatial_direct,above_below,1.0,above,below,1.9215116279069768,True,,B_transfer_role,-0.17928141355514526,-0.17928141355514526,1,ok,-4.4711809158325195,-4.4711809158325195,1,ok,-3.403367519378662,-3.403367519378662,1,ok,-0.3721260130405426,-0.3721260130405426,1,ok,-7.173888206481934,-7.173888206481934,1,ok,-8.569921493530273,-8.569921493530273,1,ok,-7.587150573730469,-7.587150573730469,1,ok,-8.51713752746582,-8.51713752746582,1,ok,-7.409660339355469,-7.409660339355469,1,ok,-8.332645416259766,-8.332645416259766,1,ok,4.291899502277374,-3.0312415063381195,4.291899502277374,3.0312415063381195,3.0312415063381195,7.323141008615494,True,True,True,False,False,1.3960332870483398,2.8958662152290344,-4.427274793386459,0.9299869537353516,0.9229850769042969,0.9299869537353516,-0.9229850769042969,-0.9229850769042969,0.0070018768310546875,False,7.316139131784439,3.9542265832424164
scale1p75_100M,original,A_0008,A_spatial_direct,inside_outside,1.0,inside,outside,1.0257787325456498,True,,B_transfer_role,-0.22518908977508545,-0.22518908977508545,1,ok,-5.0812578201293945,-5.0812578201293945,1,ok,-2.4271061420440674,-2.4271061420440674,1,ok,-0.24124839901924133,-0.24124839901924133,1,ok,-3.384793281555176,-3.384793281555176,1,ok,-5.160534858703613,-5.160534858703613,1,ok,-4.338743686676025,-4.338743686676025,1,ok,-5.1931233406066895,-5.1931233406066895,1,ok,-4.402525424957275,-4.402525424957275,1,ok,-5.29712438583374,-5.29712438583374,1,ok,4.856068730354309,-2.185857743024826,4.856068730354309,2.185857743024826,2.185857743024826,7.041926473379135,True,True,True,False,False,1.7757415771484375,3.0803271532058716,-3.9615993201732635,0.8543796539306641,0.8945989608764648,0.8543796539306641,-0.8945989608764648,-0.8945989608764648,-0.04021930694580078,False,7.082145780324936,3.080456703901291
scale1p75_100M,original,A_0009,A_spatial_direct,inside_outside,1.0,inside,outside,1.0257787325456498,True,,B_transfer_role,-0.20784637331962585,-0.20784637331962585,1,ok,-4.854938983917236,-4.854938983917236,1,ok,-2.423326253890991,-2.423326253890991,1,ok,-0.2856787145137787,-0.2856787145137787,1,ok,-3.31912899017334,-3.31912899017334,1,ok,-4.44133186340332,-4.44133186340332,1,ok,-4.328649520874023,-4.328649520874023,1,ok,-4.646757125854492,-4.646757125854492,1,ok,-4.426126956939697,-4.426126956939697,1,ok,-4.71931791305542,-4.71931791305542,1,ok,4.6470926105976105,-2.1376475393772125,4.6470926105976105,2.1376475393772125,2.1376475393772125,6.784740149974823,True,True,True,False,False,1.1222028732299805,3.52488973736763,-3.259850412607193,0.31810760498046875,0.29319095611572266,0.31810760498046875,-0.29319095611572266,-0.29319095611572266,0.024916648864746094,False,6.759823501110077,2.430838495492935
scale1p75_100M,original,A_0010,A_spatial_direct,above_below,1.0,above,below,1.9215116279069768,True,,B_transfer_role,-0.17089542746543884,-0.17089542746543884,1,ok,-4.208294868469238,-4.208294868469238,1,ok,-3.529306173324585,-3.529306173324585,1,ok,-0.23750658333301544,-0.23750658333301544,1,ok,-7.8471293449401855,-7.8471293449401855,1,ok,-9.078351020812988,-9.078351020812988,1,ok,-8.286809921264648,-8.286809921264648,1,ok,-8.337592124938965,-8.337592124938965,1,ok,-8.157121658325195,-8.157121658325195,1,ok,-8.1149263381958,-8.1149263381958,1,ok,4.037399441003799,-3.2917995899915695,4.037399441003799,3.2917995899915695,3.2917995899915695,7.329199030995369,True,True,True,False,False,1.2312216758728027,2.8061777651309967,-4.523021265864372,0.050782203674316406,-0.04219532012939453,0.050782203674316406,0.04219532012939453,0.04219532012939453,0.09297752380371094,True,7.236221507191658,3.249604269862175
