arm,checkpoint,probe_id,class_label,subtype,pair_id,distance_bin,intervening_words,nll_present,nll_replaced,antecedent_gain,n_tokens_present,n_tokens_replaced,truncated_present,truncated_replaced
D_V_43122,chck_80M,natural_mention:nr:00000,nonidentical_remention,full_name_to_acronym,natural_distance_pair:0045,10_19,13,4.59628963470459,5.241026878356934,0.6447372436523438,1,1,False,False
D_V_43122,chck_80M,natural_mention:nr:00001,nonidentical_remention,full_name_to_acronym,natural_distance_pair:0060,00_04,4,5.477321624755859,5.418802261352539,-0.05851936340332031,4,4,False,False
D_V_43122,chck_80M,natural_mention:nr:00002,nonidentical_remention,nonperson_name_to_pronoun,natural_distance_pair:0123,10_19,10,2.291321277618408,2.6324198246002197,0.3410985469818115,1,1,False,False
D_V_43122,chck_80M,natural_mention:nr:00003,nonidentical_remention,explicit_appositive_description,natural_distance_pair:0084,00_04,0,4.321359157562256,4.158301830291748,-0.1630573272705078,1,1,False,False
D_V_43122,chck_80M,natural_mention:nr:00004,nonidentical_remention,full_name_to_acronym,natural_distance_pair:0046,10_19,13,7.611146926879883,7.506869792938232,-0.10427713394165039,2,2,False,False
D_V_43122,chck_80M,natural_mention:nr:00005,nonidentical_remention,full_name_to_acronym,natural_distance_pair:0056,05_09,6,12.786572456359863,12.814568519592285,0.027996063232421875,1,1,False,False
D_V_43122,chck_80M,natural_mention:nr:00006,nonidentical_remention,explicit_appositive_description,natural_distance_pair:0074,00_04,0,5.383020401000977,4.987058162689209,-0.3959622383117676,1,1,False,False
D_V_43122,chck_80M,natural_mention:nr:00007,nonidentical_remention,person_name_to_pronoun,natural_distance_pair:0089,20_39,21,0.4177153706550598,0.2844054400920868,-0.13330993056297302,1,1,False,False
D_V_43122,chck_80M,natural_mention:nr:00008,nonidentical_remention,nonperson_name_to_pronoun,natural_distance_pair:0119,10_19,16,6.719204902648926,6.873908996582031,0.15470409393310547,1,1,False,False
D_V_43122,chck_80M,natural_mention:nr:00009,nonidentical_remention,full_name_to_surname_or_final_token,natural_distance_pair:0027,20_39,28,0.1767926961183548,7.345221042633057,7.168428346514702,3,3,False,False
D_V_43122,chck_80M,natural_mention:nr:00010,nonidentical_remention,full_name_to_surname_or_final_token,natural_distance_pair:0049,10_19,12,0.021061966195702553,0.00806724838912487,-0.012994717806577682,3,3,False,False
D_V_43122,chck_80M,natural_mention:nr:00011,nonidentical_remention,full_name_to_surname_or_final_token,natural_distance_pair:0001,40_79,65,0.08742637187242508,8.580857276916504,8.493430905044079,3,3,False,False
D_V_43122,chck_80M,natural_mention:nr:00012,nonidentical_remention,nonperson_name_to_pronoun,natural_distance_pair:0128,05_09,6,0.4437987208366394,0.7734008431434631,0.32960212230682373,1,1,False,False
D_V_43122,chck_80M,natural_mention:nr:00013,nonidentical_remention,full_name_to_surname_or_final_token,natural_distance_pair:0053,10_19,10,1.3568660020828247,5.684749603271484,4.32788360118866,3,3,False,False
D_V_43122,chck_80M,natural_mention:nr:00014,nonidentical_remention,full_name_to_acronym,natural_distance_pair:0022,20_39,31,5.323574066162109,5.014207363128662,-0.30936670303344727,4,4,False,False
D_V_43122,chck_80M,natural_mention:nr:00015,nonidentical_remention,full_name_to_surname_or_final_token,natural_distance_pair:0026,20_39,28,8.781420707702637,9.157042503356934,0.3756217956542969,2,2,False,False
D_V_43122,chck_80M,natural_mention:nr:00016,nonidentical_remention,person_name_to_pronoun,natural_distance_pair:0097,10_19,13,1.7455263137817383,1.4076123237609863,-0.33791399002075195,1,1,False,False
D_V_43122,chck_80M,natural_mention:nr:00017,nonidentical_remention,full_name_to_surname_or_final_token,natural_distance_pair:0043,10_19,14,9.446062088012695,10.464920043945312,1.0188579559326172,2,2,False,False
D_V_43122,chck_80M,natural_mention:nr:00018,nonidentical_remention,explicit_appositive_description,natural_distance_pair:0070,00_04,0,4.337879657745361,4.606332778930664,0.26845312118530273,2,2,False,False
D_V_43122,chck_80M,natural_mention:nr:00019,nonidentical_remention,person_name_to_pronoun,natural_distance_pair:0117,05_09,5,1.1020400524139404,1.2511650323867798,0.14912497997283936,1,1,False,False
D_V_43122,chck_80M,natural_mention:nr:00020,nonidentical_remention,full_name_to_acronym,natural_distance_pair:0035,10_19,19,8.120033264160156,8.08574104309082,-0.03429222106933594,2,2,False,False
D_V_43122,chck_80M,natural_mention:nr:00021,nonidentical_remention,full_name_to_surname_or_final_token,natural_distance_pair:0009,40_79,52,6.007204055786133,8.266942977905273,2.2597389221191406,2,2,False,False
D_V_43122,chck_80M,natural_mention:nr:00022,nonidentical_remention,full_name_to_surname_or_final_token,natural_distance_pair:0058,00_04,4,0.10624566674232483,0.8898457884788513,0.7836001217365265,3,3,False,False
D_V_43122,chck_80M,natural_mention:nr:00023,nonidentical_remention,person_name_to_pronoun,natural_distance_pair:0112,05_09,7,0.017529206350445747,0.020234473049640656,0.002705266699194908,1,1,False,False
D_V_43122,chck_80M,natural_mention:nr:00024,nonidentical_remention,nonperson_name_to_pronoun,natural_distance_pair:0122,10_19,10,0.7463330030441284,0.6269328594207764,-0.11940014362335205,1,1,False,False
D_V_43122,chck_80M,natural_mention:nr:00025,nonidentical_remention,person_name_to_pronoun,natural_distance_pair:0100,10_19,12,0.7563417553901672,1.088914155960083,0.33257240056991577,1,1,False,False
D_V_43122,chck_80M,natural_mention:nr:00026,nonidentical_remention,full_name_to_acronym,natural_distance_pair:0008,40_79,52,11.330733299255371,11.734840393066406,0.40410709381103516,1,1,False,False
D_V_43122,chck_80M,natural_mention:nr:00027,nonidentical_remention,full_name_to_acronym,natural_distance_pair:0063,00_04,1,4.532545566558838,4.927295207977295,0.39474964141845703,3,3,False,False
D_V_43122,chck_80M,natural_mention:nr:00028,nonidentical_remention,full_name_to_surname_or_final_token,natural_distance_pair:0005,40_79,53,0.048895496875047684,8.813179969787598,8.76428447291255,2,2,False,False
D_V_43122,chck_80M,natural_mention:nr:00029,nonidentical_remention,explicit_appositive_description,natural_distance_pair:0079,00_04,0,7.39502477645874,7.198631286621094,-0.19639348983764648,3,3,False,False
