line_no,example_id,source,nearest_cue,distance_to_cue_chars,target_word,target_word_freq,alternative_word,alternative_word_freq,local_alt_rank,scale_local_margin_target_minus_alt,scale_full_margin_target_minus_alt,base_full_margin_target_minus_alt,context_gain_full_minus_local,scale_minus_base_full_margin,scale_full_target_rank,scale_full_alt_rank,base_full_target_rank,base_full_alt_rank,scale_full_error_vs_alt,unsaturated_abs_full_margin_le_0p5,context_decides_local_alt_full_gold,scale_weaker_than_base_by_0p5,snippet
1658,951657,cleanqwen_fineweb_compact_view_reinvest,into,45,water,4750,away,7015,1,-4.960899829864502,-1.5574898719787598,4.650569915771484,3.403409957885742,-6.208059787750244,212,50,1,162,True,False,False,True,Water from precipitation which as not seeped into the ground and which is discharged to the drain or sewer system directly form the ground or from exterior building surfaces The terms black and grey water is sometimes also used to describe wastewater. Water from precipitation that did not seep into the ground and discharges directly to drains or sewers from ground or exterior building surfaces is sometimes called black or grey water. This would m
2106,952105,cleanqwen_fineweb_compact_view_reinvest,first,67,like,28123,against,3530,23,-2.38162899017334,3.755695104598999,8.592585563659668,6.137324094772339,-4.836890459060669,9,239,1,640,False,False,True,True,"Like the Israelites' sojourn in Egypt, romaine lettuce is sweet at first, but becomes more and more bitter as time goes on. Like Israelites in Egypt, romaine lettuce starts sweet but grows bitter over time. Floating plants are unaffected if they have reached the surface. Surface plants are unaffected. Worldwide, shark populations are in decline due to unregulated fishing, much of it to meet the high demand for fins. Unregulated fishing for fins c"
225,950224,cleanqwen_fineweb_compact_view_reinvest,under,23,park,1297,closed,640,8,-7.4701433181762695,8.07496452331543,12.018694579601288,15.5451078414917,-3.943730056285858,1,337,1,2187,False,False,True,True,"Park keepers also came under scrutiny - as it was thought they may have broken the ice out of concern for the large collection of exotic water fowl housed on the lake…. Park keepers faced scrutiny because they might have broken the ice to protect the exotic water fowl on the lake. Specifically, it provides you with the public API you will use. - Let's look at the documentation for the AWT Button, widget for example. It provides the public API you"
2111,952110,cleanqwen_fineweb_compact_view_reinvest,above,50,until,4217,full,2183,11,-2.007460594177246,7.607438087463379,11.15952417254448,9.614898681640625,-3.5520860850811005,3,356,1,1697,False,False,True,True,"Until 1964 the mint mark was on the reverse, just above the “E” in the word “ONE.” Starting in 1968, the mint mark was moved to the front of the coin just above the date. Until 1964 the mint mark was on the reverse above the ""E"" in ""ONE,"" but starting in 1968 it moved to the front above the date. A Passive House is thoughtfully designed to reduce energy consumption by 90% in a home. A Passive House design cuts home energy use by 90%. Mice were gi"
1239,951238,cleanqwen_fineweb_compact_view_reinvest,first,39,ions,48,inches,136,8,-4.787271499633789,9.81553316116333,13.038801670074463,14.60280466079712,-3.223268508911133,1,186,1,807,False,False,True,True,"DeMaria ElectroOptics also supplied a near-infrared laser being used in the development of the radiometer that will fly on the SOFIA missionan effort between NASA and the German space agency, DLR. DeMaria ElectroOptics supplied a near-infrared laser for the radiometer flying on the NASA and DLR SOFIA mission. When these metals form ions, the 4s electrons are always lost first. 4s electrons are lost first when metals form ions. At a technical leve"
918,950917,cleanqwen_fineweb_compact_view_reinvest,facing,43,despite,719,prevent,443,19,-0.26230573654174805,-0.1688380241394043,2.9717369079589844,0.09346771240234375,-3.1405749320983887,27,23,5,48,True,True,False,True,"Despite the vast and continuing challenges facing independent media worldwide, there are signs in many countries that progress is being made, with inclusive media policies being developed or in prospect. Despite global challenges, many countries show progress with inclusive media policies being developed or planned. This finding, say the researchers, indicates that inertia, and not friction, is the greater force for the fruit fly to overcome in t"
265,950264,cleanqwen_fineweb_compact_view_reinvest,inside,49,roll,518,door,3220,2,-5.204209804534912,-4.439736604690552,-1.312225580215454,0.7644731998443604,-3.1275110244750977,863,10,529,166,True,False,False,True,"At the same time, 60 kW of power at 160 volts and multiple data channels are carried across each joint by copper “roll rings” contained within. Copper roll rings inside each joint carry 60 kW at 160 volts and multiple data channels simultaneously. The disease is triggered by gluten, a protein found in wheat, rye, and barley, which damages the lining of the small intestine so that it cannot properly absorb food. Gluten in wheat, rye, and barley tr"
83,950082,cleanqwen_fineweb_compact_view_reinvest,higher,16,never,7464,state,2630,3,-8.279696702957153,1.3044426441192627,4.400338172912598,9.584139347076416,-3.095895528793335,242,697,393,5808,False,False,True,True,"One of the reasons is fraud, waste and abuse, which diverts significant resources away from necessary care. Fraud, waste, and abuse divert significant resources from necessary care. Even the synthetic fibers used in cutting-edge wicking technology that kicks into gear when we sweat, cooling us by drawing that water away from our skin, still trap the infrared radiation. Even synthetic fibers in cutting-edge wicking tech that cools us by drawing sw"
1304,951303,cleanqwen_fineweb_compact_view_reinvest,close,43,researchers,381,people,12507,10,-1.9050827026367188,7.120987415313721,10.172045946121216,9.02607011795044,-3.051058530807495,2,101,2,426,False,False,True,True,"Researchers found the two species have shared close quarters throughout history, depending on shifting nature of glacial ice and land. Researchers found two species shared close quarters due to shifting glacial ice and land. When soft drinks calories are added to the food we eat, the excess of it will be stored as fat. Added soft drink calories become fat if they exceed food calories. However, since this is not practical in many applications, mot"
1374,951373,cleanqwen_fineweb_compact_view_reinvest,same,45,ounce,32,million,1253,1,-13.55917501449585,7.509677410125732,10.51326334476471,21.068852424621582,-3.003585934638977,1,538,1,3845,False,False,True,True,"Again, there is the use of in in such constructions as he caught in back of the plate, apparently suggested by in front. The use of ""in"" in ""he caught in back of the plate"" is apparently suggested by ""in front. Scientists writing in Neurology analyzed diets of more than 21,000 people nationwide and found those in North and South Carolina, Georgia, Alabama, Mississippi, Tennessee, Arkansas and Louisiana ate a 3-ounce serving of fish an average of "
