contrast,checkpoint,item_key,split,numops,sample_id,example_id,from_arm,to_arm,from_pred_idx,to_pred_idx,from_correct,to_correct,gain_loss_state
VminusR,chck_80M,ambiref:0:0,ambiref,0,42,0,repeat,view,1,1,False,False,both_wrong
VminusR,chck_80M,ambiref:0:1,ambiref,0,754,1,repeat,view,0,0,True,True,both_correct
VminusR,chck_80M,ambiref:0:10,ambiref,0,116,13,repeat,view,0,0,True,True,both_correct
VminusR,chck_80M,ambiref:0:100,ambiref,0,53,124,repeat,view,2,0,False,True,gain
VminusR,chck_80M,ambiref:0:101,ambiref,0,1894,125,repeat,view,1,3,False,False,both_wrong
VminusR,chck_80M,ambiref:0:102,ambiref,0,477,126,repeat,view,0,1,True,False,loss
VminusR,chck_80M,ambiref:0:103,ambiref,0,1731,127,repeat,view,2,2,False,False,both_wrong
VminusR,chck_80M,ambiref:0:104,ambiref,0,1814,128,repeat,view,1,1,False,False,both_wrong
VminusR,chck_80M,ambiref:0:105,ambiref,0,336,129,repeat,view,2,0,False,True,gain
VminusR,chck_80M,ambiref:0:106,ambiref,0,1883,130,repeat,view,0,0,True,True,both_correct
VminusR,chck_80M,ambiref:0:107,ambiref,0,56,131,repeat,view,3,1,False,False,both_wrong
VminusR,chck_80M,ambiref:0:108,ambiref,0,472,132,repeat,view,3,3,False,False,both_wrong
VminusR,chck_80M,ambiref:0:109,ambiref,0,425,134,repeat,view,1,1,False,False,both_wrong
VminusR,chck_80M,ambiref:0:11,ambiref,0,636,14,repeat,view,1,1,False,False,both_wrong
VminusR,chck_80M,ambiref:0:110,ambiref,0,1325,135,repeat,view,2,2,False,False,both_wrong
VminusR,chck_80M,ambiref:0:111,ambiref,0,1097,136,repeat,view,0,2,True,False,loss
VminusR,chck_80M,ambiref:0:112,ambiref,0,116,137,repeat,view,2,2,False,False,both_wrong
VminusR,chck_80M,ambiref:0:113,ambiref,0,103,138,repeat,view,0,0,True,True,both_correct
VminusR,chck_80M,ambiref:0:114,ambiref,0,629,139,repeat,view,0,0,True,True,both_correct
VminusR,chck_80M,ambiref:0:115,ambiref,0,567,140,repeat,view,1,0,False,True,gain
VminusR,chck_80M,ambiref:0:116,ambiref,0,636,141,repeat,view,2,2,False,False,both_wrong
VminusR,chck_80M,ambiref:0:117,ambiref,0,858,142,repeat,view,2,2,False,False,both_wrong
VminusR,chck_80M,ambiref:0:118,ambiref,0,1342,143,repeat,view,0,0,True,True,both_correct
VminusR,chck_80M,ambiref:0:119,ambiref,0,1863,144,repeat,view,2,2,False,False,both_wrong
VminusR,chck_80M,ambiref:0:12,ambiref,0,477,15,repeat,view,0,4,True,False,loss
VminusR,chck_80M,ambiref:0:120,ambiref,0,73,145,repeat,view,0,0,True,True,both_correct
VminusR,chck_80M,ambiref:0:121,ambiref,0,1207,147,repeat,view,4,0,False,True,gain
VminusR,chck_80M,ambiref:0:122,ambiref,0,215,148,repeat,view,0,0,True,True,both_correct
VminusR,chck_80M,ambiref:0:123,ambiref,0,1185,151,repeat,view,0,0,True,True,both_correct
VminusR,chck_80M,ambiref:0:124,ambiref,0,713,152,repeat,view,1,1,False,False,both_wrong
VminusR,chck_80M,ambiref:0:125,ambiref,0,406,153,repeat,view,4,4,False,False,both_wrong
VminusR,chck_80M,ambiref:0:126,ambiref,0,1342,154,repeat,view,0,0,True,True,both_correct
VminusR,chck_80M,ambiref:0:127,ambiref,0,1077,155,repeat,view,2,2,False,False,both_wrong
