regime,match_key,target_words_each_arm,transition_rows_available,control_rows_available,transition_words_available,control_words_available,transition_rows_selected,control_rows_selected
source_origin_len_cap_comma,"('fw_compact_rewrites', 'new_qwen35_full26k', '08_15', 'physical_anchor', '0_0')",14,1,1,14,14,1,1
source_origin_len_cap_comma,"('fw_compact_rewrites', 'new_qwen35_full26k', '16_25', 'spatial_anchor', '1_3')",21,2,2,42,39,1,1
source_origin_len_cap_comma,"('fw_frozen_sources_38167', 'a02_compact_reinvest', '26_35', 'physical_anchor', '1_3')",183,8,6,242,183,6,6
source_origin_len_cap_comma,"('fw_frozen_sources_38167', 'a02_compact_reinvest', '36_50', 'physical_anchor', '1_3')",83,3,3,130,128,2,2
source_origin_len_cap_comma,"('fw_frozen_sources_38167', 'a02_compact_reinvest', '36_50', 'physical_anchor', '4_8')",37,1,2,37,83,1,1
source_origin_len_cap_comma,"('fw_frozen_sources_38167', 'v3_stable', '16_25', 'physical_anchor', '1_3')",42,5,3,110,67,2,2
source_origin_len_cap_comma,"('fw_frozen_sources_38167', 'v3_stable', '26_35', 'physical_anchor', '1_3')",122,4,7,122,214,4,4
source_origin_len_cap_comma,"('fw_frozen_sources_38167', 'v3_stable', '36_50', 'physical_anchor', '1_3')",75,2,3,75,111,2,2
source_origin_len_cap_comma,"('fw_frozen_sources_38167', 'v3_stable', '36_50', 'physical_anchor', '4_8')",36,2,1,78,36,1,1
source_origin_len_cap_comma,"('compact_experience_aligned_10m_rows', 'bnc_spoken', '36_50', 'physical_anchor', '0_0')",37,1,4,37,170,1,1
source_origin_len_cap_comma,"('compact_experience_aligned_10m_rows', 'bnc_spoken', '36_50', 'physical_anchor', '1_3')",127,8,3,342,127,3,3
source_origin_len_cap_comma,"('compact_experience_aligned_10m_rows', 'bnc_spoken', '36_50', 'quantity_anchor', '1_3')",42,3,2,117,84,1,1
source_origin_len_cap_comma,"('compact_experience_aligned_10m_rows', 'bnc_spoken', '51_70', 'physical_anchor', '1_3')",223,5,8,274,461,4,4
source_origin_len_cap_comma,"('compact_experience_aligned_10m_rows', 'bnc_spoken', '51_70', 'physical_anchor', '4_8')",294,5,13,294,742,5,5
source_origin_len_cap_comma,"('compact_experience_aligned_10m_rows', 'childes', '16_25', 'physical_anchor', '0_0')",89,4,4,89,89,4,4
source_origin_len_cap_comma,"('compact_experience_aligned_10m_rows', 'childes', '26_35', 'physical_anchor', '0_0')",89,5,4,145,115,3,3
source_origin_len_cap_comma,"('compact_experience_aligned_10m_rows', 'gutenberg', '16_25', 'physical_anchor', '0_0')",25,2,2,47,45,1,1
source_origin_len_cap_comma,"('compact_experience_aligned_10m_rows', 'gutenberg', '16_25', 'physical_anchor', '1_3')",73,3,9,73,190,3,3
source_origin_len_cap_comma,"('compact_experience_aligned_10m_rows', 'gutenberg', '26_35', 'physical_anchor', '0_0')",32,2,3,58,97,1,1
source_origin_len_cap_comma,"('compact_experience_aligned_10m_rows', 'gutenberg', '26_35', 'physical_anchor', '1_3')",669,33,22,1020,669,22,22
source_origin_len_cap_comma,"('compact_experience_aligned_10m_rows', 'gutenberg', '26_35', 'physical_anchor', '4_8')",222,7,10,222,307,7,7
source_origin_len_cap_comma,"('compact_experience_aligned_10m_rows', 'gutenberg', '36_50', 'physical_anchor', '0_0')",122,4,4,160,165,3,3
source_origin_len_cap_comma,"('compact_experience_aligned_10m_rows', 'gutenberg', '36_50', 'physical_anchor', '1_3')",1427,33,45,1427,1886,33,34
source_origin_len_cap_comma,"('compact_experience_aligned_10m_rows', 'gutenberg', '36_50', 'physical_anchor', '4_8')",2096,53,47,2324,2096,48,47
source_origin_len_cap_comma,"('compact_experience_aligned_10m_rows', 'gutenberg', '36_50', 'quantity_anchor', '1_3')",85,2,5,85,203,2,2
source_origin_len_cap_comma,"('compact_experience_aligned_10m_rows', 'gutenberg', '36_50', 'spatial_anchor', '1_3')",258,9,7,387,294,6,6
source_origin_len_cap_comma,"('compact_experience_aligned_10m_rows', 'gutenberg', '36_50', 'spatial_anchor', '4_8')",322,7,10,322,446,7,7
source_origin_len_cap_comma,"('compact_experience_aligned_10m_rows', 'gutenberg', '51_70', 'physical_anchor', '1_3')",1050,30,19,1718,1050,18,19
source_origin_len_cap_comma,"('compact_experience_aligned_10m_rows', 'gutenberg', '51_70', 'physical_anchor', '4_8')",4100,80,69,4704,4100,70,69
source_origin_len_cap_comma,"('compact_experience_aligned_10m_rows', 'gutenberg', '51_70', 'physical_anchor', '9_plus')",609,12,12,745,717,10,10
source_origin_len_cap_comma,"('compact_experience_aligned_10m_rows', 'gutenberg', '51_70', 'spatial_anchor', '1_3')",243,8,4,478,243,4,4
source_origin_len_cap_comma,"('compact_experience_aligned_10m_rows', 'gutenberg', '51_70', 'spatial_anchor', '4_8')",1327,25,22,1509,1327,22,22
source_origin_len_cap_comma,"('compact_experience_aligned_10m_rows', 'gutenberg', '51_70', 'spatial_anchor', '9_plus')",134,4,5,267,316,2,2
source_origin_len_cap_comma,"('compact_experience_aligned_10m_rows', 'open_subtitles', '26_35', 'physical_anchor', '1_3')",32,3,7,101,235,1,1
source_origin_len_cap_comma,"('compact_experience_aligned_10m_rows', 'open_subtitles', '36_50', 'physical_anchor', '0_0')",65,2,1,114,65,1,1
source_origin_len_cap_comma,"('compact_experience_aligned_10m_rows', 'qwen_pair_packed', '16_25', 'physical_anchor', '1_3')",119,7,5,166,119,5,5
source_origin_len_cap_comma,"('compact_experience_aligned_10m_rows', 'qwen_pair_packed', '26_35', 'physical_anchor', '1_3')",216,10,8,296,246,7,7
source_origin_len_cap_comma,"('compact_experience_aligned_10m_rows', 'qwen_pair_packed', '26_35', 'spatial_anchor', '1_3')",98,5,4,162,126,3,3
source_origin_len_cap_comma,"('compact_experience_aligned_10m_rows', 'qwen_pair_packed', '36_50', 'physical_anchor', '1_3')",843,27,20,1116,843,21,20
source_origin_len_cap_comma,"('compact_experience_aligned_10m_rows', 'qwen_pair_packed', '36_50', 'physical_anchor', '4_8')",513,15,12,647,513,12,12
source_origin_len_cap_comma,"('compact_experience_aligned_10m_rows', 'qwen_pair_packed', '36_50', 'quantity_anchor', '1_3')",42,1,1,42,42,1,1
