frame_id,base_id,condition,family,object,alt_a,alt_b,delta1,delta2,interaction,min_signed_margin,crossed_success,same_a_bias,same_b_bias
IF_00001,BASE_0001,no_context,empty_full,glass,empty,full,-0.763216495513916,-0.763216495513916,0.0,-0.763216495513916,False,False,True
IF_00002,BASE_0001,explicit_final,empty_full,glass,empty,full,6.563837260007858,-8.962760627269745,15.526597887277603,6.563837260007858,True,False,False
IF_00003,BASE_0001,last_event,empty_full,glass,empty,full,1.042069435119629,0.5582976341247559,0.48377180099487305,-0.5582976341247559,False,True,False
IF_00004,BASE_0001,consistent_prior,empty_full,glass,empty,full,6.39067018032074,-7.910666298121214,14.301336478441954,6.39067018032074,True,False,False
IF_00005,BASE_0001,distractor_event,empty_full,glass,empty,full,0.43416309356689453,0.0523223876953125,0.38184070587158203,-0.0523223876953125,False,True,False
IF_00006,BASE_0001,contradict_bare,empty_full,glass,empty,full,-7.970705643296242,6.01803582906723,-13.988741472363472,-7.970705643296242,False,False,False
IF_00007,BASE_0001,contradict_temporal,empty_full,glass,empty,full,-7.830278269946575,5.891148865222931,-13.721427135169506,-7.830278269946575,False,False,False
IF_00008,BASE_0001,contradict_reinforced,empty_full,glass,empty,full,-7.448189921677113,6.736398428678513,-14.184588350355625,-7.448189921677113,False,False,False
IF_00009,BASE_0001,explicit_override,empty_full,glass,empty,full,4.103212267160416,-6.286758609116077,10.389970876276493,4.103212267160416,True,False,False
IF_00010,BASE_0001,reported_event,empty_full,glass,empty,full,1.0609235763549805,1.0039501190185547,0.05697345733642578,-1.0039501190185547,False,True,False
IF_00011,BASE_0002,no_context,empty_full,glass,empty,full,-0.763216495513916,-0.763216495513916,0.0,-0.763216495513916,False,False,True
IF_00012,BASE_0002,explicit_final,empty_full,glass,empty,full,6.563837260007858,-8.962760627269745,15.526597887277603,6.563837260007858,True,False,False
IF_00013,BASE_0002,last_event,empty_full,glass,empty,full,0.6164441108703613,0.19956302642822266,0.41688108444213867,-0.19956302642822266,False,True,False
IF_00014,BASE_0002,consistent_prior,empty_full,glass,empty,full,6.4417387545108795,-8.00133104249835,14.44306979700923,6.4417387545108795,True,False,False
IF_00015,BASE_0002,distractor_event,empty_full,glass,empty,full,0.4742884635925293,-0.043251991271972656,0.517540454864502,0.043251991271972656,True,False,False
IF_00016,BASE_0002,contradict_bare,empty_full,glass,empty,full,-7.821559265255928,6.01321479678154,-13.834774062037468,-7.821559265255928,False,False,False
IF_00017,BASE_0002,contradict_temporal,empty_full,glass,empty,full,-7.765567012131214,6.012371361255646,-13.77793837338686,-7.765567012131214,False,False,False
