frame_id,base_id,condition,family,object,alt_a,alt_b,delta1,delta2,signed_c1,signed_c2,interaction,min_signed_margin,crossed_success,same_a_bias,same_b_bias,target_word_free_context
OD_00001,BASE_0001,none,empty_full,glass,empty,full,1.966815710067749,1.966815710067749,1.966815710067749,-1.966815710067749,0.0,-1.966815710067749,False,True,False,False
OD_00002,BASE_0001,prior_only_contradict,empty_full,glass,empty,full,-6.150124102830887,7.504566788673401,-6.150124102830887,-7.504566788673401,-13.654690891504288,-7.504566788673401,False,False,False,False
OD_00003,BASE_0001,action_only,empty_full,glass,empty,full,2.76505708694458,2.7520506381988525,2.76505708694458,-2.7520506381988525,0.013006448745727539,-2.7520506381988525,False,True,False,False
OD_00004,BASE_0001,action_distance,empty_full,glass,empty,full,3.5271897315979004,3.621608257293701,3.5271897315979004,-3.621608257293701,-0.09441852569580078,-3.621608257293701,False,True,False,False
OD_00005,BASE_0001,contradict_adjacent,empty_full,glass,empty,full,-6.34467314183712,7.537176072597504,-6.34467314183712,-7.537176072597504,-13.881849214434624,-7.537176072597504,False,False,False,False
OD_00006,BASE_0001,contradict_then,empty_full,glass,empty,full,-6.218571528792381,7.704219311475754,-6.218571528792381,-7.704219311475754,-13.922790840268135,-7.704219311475754,False,False,False,False
OD_00007,BASE_0001,contradict_distance,empty_full,glass,empty,full,-5.54148468375206,7.877485811710358,-5.54148468375206,-7.877485811710358,-13.418970495462418,-7.877485811710358,False,False,False,False
OD_00008,BASE_0001,consistent_adjacent,empty_full,glass,empty,full,6.2929747402668,-7.730935629457235,6.2929747402668,7.730935629457235,14.023910369724035,6.2929747402668,True,False,False,False
OD_00009,BASE_0001,explicit_override_direct,empty_full,glass,empty,full,-0.40154170989990234,-4.143620505928993,-0.40154170989990234,4.143620505928993,3.742078796029091,-0.40154170989990234,False,False,True,False
OD_00010,BASE_0001,tf_prior_only_contradict,empty_full,glass,empty,full,2.112208366394043,3.829226016998291,2.112208366394043,-3.829226016998291,-1.717017650604248,-3.829226016998291,False,True,False,True
OD_00011,BASE_0001,tf_action_only,empty_full,glass,empty,full,2.815096378326416,3.4073641300201416,2.815096378326416,-3.4073641300201416,-0.5922677516937256,-3.4073641300201416,False,True,False,True
