role,token_class,n_min,mean_gain,true_source_nll,unrelated_source_nll
C,nonoverlap,2732,1.2119090114708804,7.0072837803692805,8.219192791840161
C,overlap,3160,6.30146742847479,1.8430455576679534,8.144512986142743
R,nonoverlap,2732,0.4602004419027052,7.455282021455264,7.915482463357969
R,overlap,3160,6.0335838136992015,1.7510962774559442,7.7846800911551455
RS,nonoverlap,2732,1.1806366049219037,6.460353810010692,7.640990414932595
RS,overlap,3160,5.524581589687858,1.8879502352551587,7.4125318249430165
V,nonoverlap,2732,1.8955980376696686,5.828527161992656,7.724125199662324
V,overlap,3160,6.852696739065942,0.9068321980556675,7.759528937121609
VS,nonoverlap,2732,1.241716853649187,6.1555131896776905,7.397230043326878
VS,overlap,3160,5.653052883015963,1.7395513307928372,7.392604213808801
