row_index,source,words,raw_tokens,row256_active_tokens,u256_recovered_tokens,u256_recovered_full_words,u256_recovered_boundary_tokens,cue_score,suffix_action,suffix_causal_temporal,suffix_physical_object,suffix_spatial_state,suffix_mental_social,suffix_material_property,suffix_quantitative,suffix_numbers,suffix_capitalized,recovered_word_sample,text_prefix
3594,open_subtitles,160,542,256,286,120,5,15,2,2,2,7,2,2,2,1,24,"Æ© �Ï ( �á �° �Ù ¿ö3Ê °Ë1⁄2Ã°ü æ�) �í ÇÃ·Î·o (�· Å©·1ÀÌ°Ç °æ° � æ�) Law Order SVU 8x13. Loophole ÇÑ±Û1ø¿a ÀåÁøÈñ(jinny_chang@lycos.co.kr) ORIGINAL AIR DATE ON NBC: 2007/02/06 You'll feel a slight pinch, and then in a few seconds","æ�) �¶ �®1⁄2 �Ä"" ÇÏÁöÅ×ÀÌ (¿Ã �®oñ3⁄4Æ o¥1⁄21⁄4 Çü""ç æ�) �®Â÷�å o§Àú (Á � �ÕÄ¡ Çü""ç æ�) �ÙÀÌ3⁄4È �Ò (ÄÉÀÌ1⁄2Ã 3ë1Ú °Ë""ç æ�) 3⁄4ÆÀÌ1⁄2o-Æ1⁄4 (¿À �ÙÇÉ ""ÇÉ"" Æ©Æ©¿Ã¶ó Çü""ç æ�) B.D. ¿Õ (FBI Á¤1⁄2ÅoÐ1⁄4®ÀÇ Á¶Áö È2 æ�) Å � �¶¶ó Æ© �Ï ( �á �° �Ù ¿ö3Ê °Ë1⁄2Ã°ü æ�) �í Ç"
24816,gutenberg,160,390,256,134,59,0,15,3,2,1,3,1,1,3,3,43,"EAT ME"" "" 133 ""THEY WERE NEATLY TACKED ON TO THE FEATHER CARD, WHICH HAD A VERY FINE EFFECT ON THE WALL OF THE MUSEUM"" "" 170 ""MASTER TED, VERY WET INDEED, MADE HIS APPEARANCE WITH ROSY CHEEKS AND A","LITTLE NARCISSA 94 CHAPTER VII. GETTING BIG 116 CHAPTER VIII. ""STATISTICS"" 137 CHAPTER IX. A PEACOCK'S FEATHER AND A KISS 161 CHAPTER X. SOME RAINY ADVENTURES 179 CHAPTER XI. ""IT'S ONLY I, MOTHER"" 200 CHAPTER XII. THE WHITE CROSS 216 LIST OF ILLUSTRATIONS. ""TH"
4808,open_subtitles,160,366,256,110,51,2,15,4,2,2,1,2,1,2,0,50,"BE AROUND THE HOUSE VERY MUCH. WHICH IS GOOD IF HE'S EARNING ENOUGH FOR YOU TO HIRE HELP. AND HORRIBLE IF HE'S NOT. LOOK, WE'LL SCHEDULE WITH ELLIOT RABINOWITZ AND THE GOLDSTEIN BOY, JUST THE TWO TO START. YOU JUST","PROUD OF YOU. STOP. STOP MAKING SUCH A BIG DEAL. ALL RIGHT, LET'S GO. LET'S GO. IT'S GONNA BE FUN. IT'S GONNA BE FUN. IT'S GONNA BE FUN. YOU'RE NEXT! SENSITIVE. DEFINITELY THE SENSITIVE TYPE. THAT'S HOW I'D CATEGORIZE HIM. HE'S FINISHING UP HIS STUDIES AT YESH"
22513,open_subtitles,160,455,256,199,86,11,14,4,3,1,4,3,0,4,0,80,"AND THEY'RE SO MELLOW AND LOW-KEY. IT'S ALL GOOD. WE'RE JUST GOING TO WALK UP HERE AND WIN THE RACE. I THINK BECAUSE RACHEL AND T.K. RACHEL AND I DON'T FIGHT, ? PEOPLE THINK WE'RE NOT CARING. YOUWEREGOINGTOGETELIMINATED. SO ARE",BUMP. STITDOWN. ICAN'THANDLETHISANYMORE. FANTASTIC. OUTHERE. ORDERA CUPOF TEAAND THISGUYKNOWS WHERE ITIS. ALLOFOURHARDWORK ISSTILL PAYINGOFF. WEWEREABLETODOTHE ROAD BLOCK AND DO THE SPEED BUMP AND STILL GET ON THE SAME TRAIN AS EVERYBODY ELSE. IT'S SO AWESOME.
20924,open_subtitles,160,474,256,218,80,1,14,5,2,1,3,1,0,3,2,79,"×ß�1⁄21""1Ý... TEAMSMUSTNOWFIGUREOUTTHATTHECLUE, WHICH IS PAINTED ON CHINESE IS SENDING THEM TO THIS NIGHT MARKET WHERE THEY'LL FIND THIS CLOWN WHO WILL HAND THEM THEIR NEXT CLUE. WALKTOTHEGOLDEN,FIND APERSON. EXCUSE US. WHAT DOES THAT SHOW? ? ? OH, CLOUD. CLOUD. WE","HOT. JUST BLOW ON IT. THIS IS THE MOST INTENSE PART OF THE ENTIRE RACE RIGHT NOW. LET'SGO. OVERHERE. CANYOURUN? YEAH. LET'S GO THIS WAY. TEAHOUSE. YES, LET'S GO. YEAH,COMEON . HEEXITEDAWAYFROMTHEOTHER TWOTEAMS. HOPEFULLY THAT'S GOING TO WORK TO OUR BENEFIT. IT"
25238,gutenberg,160,378,256,122,72,1,14,1,4,3,3,2,0,4,2,7,"I A CENTURY OF SCIENCE[3] In the course of the year 1774 Dr. Priestley found that by heating red precipitate, or what we now call red oxide of mercury, a gas was obtained, which he called ""dephlogisticated air,"" or, in",LIVINGSTON YOUMANS 64 IV. THE PART PLAYED BY INFANCY IN THE EVOLUTION OF MAN 100 V. THE ORIGINS OF LIBERAL THOUGHT IN AMERICA 122 VI. SIR HARRY VANE 154 VII. THE ARBITRATION TREATY 166 VIII. FRANCIS PARKMAN 194 IX. EDWARD AUGUSTUS FREEMAN 265 X. CAMBRIDGE AS V
26285,open_subtitles,160,407,256,151,54,7,14,3,1,1,7,2,0,3,0,56,"INTO TAIPEl. LET'S GO. TICKETS,TICKETS. OVER HERE. TWO FOR TAIPEl CENTRAL STATION,PLEASE. THANK YOU SO MUCH. COME ON. AWESOME. GOOD JOB, DADDY. LET'SGO,BABY. DO YOU THINK THE FIREWORKS ARE GOING TO GO OFF ON US OR AROUND US. AREYOUREADY? YEAH.","ARE BEING AIMED RIGHT AT THEM. THEN, AT THIS LOCAL CUSTOM, THEY MUST BE DOUSED WITH WATER. WHEN THE RITUAL WILL BE FINISHED, THEY CAN CONTINUE ON THE RACE WITH THE HOPE OF MAKE UP THIS VALUABLE LOST TIME. ALL RIGHT.LET'S GO. HE-PING? yes. alright. ? REALLY GLA"
36423,simple_wiki,160,315,256,59,40,2,14,3,3,1,1,0,1,6,2,5,"fell head first 300 feet. First responders tried to rescue him. They did not reach him in time. Later he fell another 100 feet. His second fall was filmed by television cameras. He had brain damage, a torn scalp, broken","Welington de Melo, Enrique Pujals, Harold Rosenberg, Marcos Dajczer, Carlos Gustavo Moreira, Fernando Codá Marques, César Camacho, Arnaldo Garcia, Alfredo Noel Iusem, Karl-Otto Stöhr, Robert Morris, and Carolina Araujo. = = = Heleno de Freitas = = = Heleno de "
22407,open_subtitles,160,326,256,70,34,0,14,2,4,1,2,1,0,4,2,28,SEXUAL BATTERY. SOME GIRL SAYS I GROPED HER... AND I GET 2 1/2 YEARS. NOW I GOT TO MOVE AGAIN -- AFTER YOU GUYS DRAGGED ME OUT OF MY HOUSE IN HANDCUFFS. ALL BECAUSE,"THE CAR UNDER THE TARP? IS THAT HIS, TOO? 1977 MERCURY COUGAR. IN LESS THAN MINT CONDITION. THERE'S NO WAY HE'S KEEPING A CLUNKER LIKE THAT UNDER CANVAS UNLESS HE'S HIDING SOMETHING. CHIEF JOHNSON IS HAVING THEM TEAR IT APART RIGHT NOW. THIS IS TERRIBLE. I'M G"
13690,open_subtitles,160,409,256,153,73,3,13,3,3,1,4,0,0,6,3,65,AND A SPEED BUMP? AND WHICH OF THE FOUR TEAMS WILL MAKE IT INTO THE FINAL THREE? AND RACE FOR $1 MILLION? RONALD AND CHRISTINA WHO WERE THE FIRST TO ARRIVE AT 7:02 P.M. WILL DEPART AT 7:02 A.M. TRAVEL,"RACE. THERE'S SOME BAD NEWS. SPEED BUMP A SPEED BUMP IS A TASK THAT ONLY YOU GUYS HAVE TO COMPLETE. ? FOUR TEAMS REMAIN. WHO WILL BE ELIMINATED TONIGHT? ±3⁄4×ÖÄ""1⁄2ö1©Ñ§Ï°1⁄2""Á÷£¬ÑÏ1⁄2ûÓÃÓÚÉÌÒ�ÓÃÍ3⁄4 THIS IS OSAKA, JAPAN. A GATEWAY STET OF NEARLY THREE MILLION"
47563,gutenberg,160,424,256,168,68,1,13,2,1,1,3,2,0,20,20,43,"378 66 JAMES THE SERVANT; OR, WHAT’S IN A NAME? 384 67 A KING WHO LOST HIS HEAD 390 68 RED CAP AND RED HEELS 395 69 A SELF-MADE MAN 402 70 A PRINCE WHO RAN AWAY 407 71 AMERICA","284 51 A GREAT ADVENTURE 292 52 TIT-TAT-TO; THREE KINGS IN A ROW 297 53 BIBLES MADE OF STONE AND GLASS 304 54 JOHN, WHOM NOBODY LOVED 311 55 A GREAT STORY-TELLER 316 57 THELON GEST WART HATE VERWAS 327 58 OFF WITH THE OLD, ON WITH THE NEW 333 59 A SAILOR WHO F"
35011,open_subtitles,160,374,256,118,52,3,13,2,2,1,2,1,0,2,0,48,"I'LL BE RIGHT BACK. THANK YOU. I'LL MISS YOU, SWEET FINS. SHOULD HE BE FLYING A PLANE? I THINK HIS MIND HAD A MELTDOWN. THAT'S NEVER STOPPED HIM BEFORE. YEAH, BUT HE'S NEVER TRIED TO KISS A TWO-TON FEEDING MACHINE,",EMPTY! EXCEPT FOR THAT. WHAT'S PILIOS? IT MEANS LOVE. LOVE? THE GREATEST TREASURE IS LOVE? OOOH! I COULD'VE GOTTEN THAT NEWS OUT OF ONE OF THOSE SAPPY VALENTINES. I'VE BEEN ROBBED! THERE'S NO TREASURE HERE AT ALL. DON'T BE SO SURE. CUPID'S ARROW'S ARE SOLID GO
21784,open_subtitles,160,340,256,84,44,0,13,3,1,2,2,4,0,2,0,39,"ENDOWING A CHAIR IN CAMBRIDGE FOR THE LAST FIVE YEARS. FOR THE LAST FIVE YEARS. YEAH, I KNOW. SO TELL ME, WHAT IS YOUR PROBLEM? [Jack strikes billiard ball] TELL HIM. COME ON. GO AHEAD, TELL HIM. OF HEARING THAT","TELL THEM WHAT YOU KNOW. NO. I'M NOT GONNA RAT ANYBODY OUT. YOU'RE NOT GONNA THROW AWAY YOUR FUTURE PROTECTING SOME SOCIOPATH. (Stanford) WALKER, IT'S ALL GOING TO WORK OUT. JACK IS AN OUTSTANDING SCHOLAR/ATHLETE. HIS FUTURE IS BRIGHT. HE MEANS I'M GOING TO HA"
