target,frame_id,subtype,alt_a,alt_b,form,delta1,delta2,correct_margin_c1,correct_margin_c2,interaction,min_signed_margin,crossed_success,same_a_bias,same_b_bias,prior_ratio
legal16k_base_80M_seed43022,D_0001,open_closed,open,closed,explicit_final_state,4.477361865341663,-4.275589011609554,4.477361865341663,4.275589011609554,8.752950876951218,4.275589011609554,True,False,False,4.846875
legal16k_base_80M_seed43022,D_0001,open_closed,open,closed,full_v3,-3.9069822803139687,3.594748541712761,-3.9069822803139687,-3.594748541712761,-7.50173082202673,-3.9069822803139687,False,False,False,4.846875
legal16k_base_80M_seed43022,D_0001,open_closed,open,closed,initial_plus_last,-3.7401696294546127,3.7782765179872513,-3.7401696294546127,-3.7782765179872513,-7.518446147441864,-3.7782765179872513,False,False,False,4.846875
legal16k_base_80M_seed43022,D_0001,open_closed,open,closed,last_event_only,0.35780036449432373,-1.743345320224762,0.35780036449432373,1.743345320224762,2.1011456847190857,0.35780036449432373,True,False,False,4.846875
legal16k_base_80M_seed43022,D_0001,open_closed,open,closed,no_context,0.5959892272949219,0.5959892272949219,0.5959892272949219,-0.5959892272949219,0.0,-0.5959892272949219,False,True,False,4.846875
legal16k_base_80M_seed43022,D_0002,open_closed,open,closed,explicit_final_state,4.128297790884972,-4.445166759192944,4.128297790884972,4.445166759192944,8.573464550077915,4.128297790884972,True,False,False,4.846875
legal16k_base_80M_seed43022,D_0002,open_closed,open,closed,full_v3,-4.179227888584137,3.2397756427526474,-4.179227888584137,-3.2397756427526474,-7.419003531336784,-4.179227888584137,False,False,False,4.846875
legal16k_base_80M_seed43022,D_0002,open_closed,open,closed,initial_plus_last,-4.151158221065998,3.248607650399208,-4.151158221065998,-3.248607650399208,-7.399765871465206,-4.151158221065998,False,False,False,4.846875
legal16k_base_80M_seed43022,D_0002,open_closed,open,closed,last_event_only,0.5209046602249146,-2.4775924384593964,0.5209046602249146,2.4775924384593964,2.998497098684311,0.5209046602249146,True,False,False,4.846875
legal16k_base_80M_seed43022,D_0002,open_closed,open,closed,no_context,0.5349702835083008,0.5349702835083008,0.5349702835083008,-0.5349702835083008,0.0,-0.5349702835083008,False,True,False,4.846875
legal16k_base_80M_seed43022,D_0003,empty_full,empty,full,explicit_final_state,6.2898997366428375,-4.90144681930542,6.2898997366428375,4.90144681930542,11.191346555948257,4.90144681930542,True,False,False,4.861915367483296
legal16k_base_80M_seed43022,D_0003,empty_full,empty,full,full_v3,-4.795400619506836,6.739796072244644,-4.795400619506836,-6.739796072244644,-11.53519669175148,-6.739796072244644,False,False,False,4.861915367483296
legal16k_base_80M_seed43022,D_0003,empty_full,empty,full,initial_plus_last,-4.490055799484253,6.359972685575485,-4.490055799484253,-6.359972685575485,-10.850028485059738,-6.359972685575485,False,False,False,4.861915367483296
legal16k_base_80M_seed43022,D_0003,empty_full,empty,full,last_event_only,1.6547808647155762,-2.1933155059814453,1.6547808647155762,2.1933155059814453,3.8480963706970215,1.6547808647155762,True,False,False,4.861915367483296
legal16k_base_80M_seed43022,D_0003,empty_full,empty,full,no_context,1.0468406677246094,1.0468406677246094,1.0468406677246094,-1.0468406677246094,0.0,-1.0468406677246094,False,True,False,4.861915367483296
legal16k_base_80M_seed43022,D_0004,open_closed,open,closed,explicit_final_state,3.7316865622997284,-3.8619041740894318,3.7316865622997284,3.8619041740894318,7.59359073638916,3.7316865622997284,True,False,False,4.846875
legal16k_base_80M_seed43022,D_0004,open_closed,open,closed,full_v3,-3.3754625618457794,3.367706373333931,-3.3754625618457794,-3.367706373333931,-6.74316893517971,-3.3754625618457794,False,False,False,4.846875
legal16k_base_80M_seed43022,D_0004,open_closed,open,closed,initial_plus_last,-3.2824906706809998,3.1649981290102005,-3.2824906706809998,-3.1649981290102005,-6.4474887996912,-3.2824906706809998,False,False,False,4.846875
legal16k_base_80M_seed43022,D_0004,open_closed,open,closed,last_event_only,0.8648605346679688,-1.344876229763031,0.8648605346679688,1.344876229763031,2.2097367644309998,0.8648605346679688,True,False,False,4.846875
legal16k_base_80M_seed43022,D_0004,open_closed,open,closed,no_context,0.5104303359985352,0.5104303359985352,0.5104303359985352,-0.5104303359985352,0.0,-0.5104303359985352,False,True,False,4.846875
legal16k_base_80M_seed43022,D_0005,empty_full,empty,full,explicit_final_state,6.266203999519348,-5.489355504512787,6.266203999519348,5.489355504512787,11.755559504032135,5.489355504512787,True,False,False,4.861915367483296
