sentence_uid,source,row_example_id,axis_row_index,sentence_words,row_words,char_start,char_end,mode,input_form,add_special_tokens,n_target_tokens,n_masked,target_truncated_right,input_content_len,min_masked_input_edge_distance,mean_masked_input_edge_distance,min_masked_target_edge_distance,mean_masked_target_edge_distance,masked_target_edge_bins,loss,endpoint,endpoint_path,description
r0001_s04,bnc_spoken,920000001,1,23,160,714,837,row_context,with_special,True,26,4,False,197,12,15.25,6,9.5,4-7;8-15;8-15;8-15,3.567826747894287,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0006_s03,bnc_spoken,920000006,6,29,160,475,613,row_context,with_special,True,33,7,False,190,47,59.142857142857146,0,4.857142857142857,0_edge_token;2-3;8-15;8-15;2-3;2-3;1,1.925899624824524,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0006_s05,bnc_spoken,920000006,6,8,160,708,751,row_context,with_special,True,11,1,False,190,13,13.0,0,0.0,0_edge_token,7.351619720458984,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0008_s00,bnc_spoken,920000008,8,37,160,19,194,row_context,with_special,True,42,9,False,198,9,24.555555555555557,3,11.88888888888889,2-3;8-15;8-15;8-15;16+;16+;8-15;8-15;4-7,1.1562565565109253,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0008_s06,bnc_spoken,920000008,8,15,160,754,827,row_context,with_special,True,20,5,False,198,0,12.6,0,2.6,1;2-3;4-7;4-7;0_edge_token,3.944330930709839,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0009_s01,bnc_spoken,920000009,9,28,160,160,308,row_context,with_special,True,35,5,False,192,39,48.8,6,11.0,4-7;8-15;16+;8-15;8-15,3.8048501014709473,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0009_s04,bnc_spoken,920000009,9,38,160,625,816,row_context,with_special,True,46,7,False,192,3,19.714285714285715,3,11.285714285714286,4-7;16+;16+;16+;8-15;8-15;2-3,5.521796703338623,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0010_s01,bnc_spoken,920000010,10,19,160,154,248,row_context,with_special,True,21,5,False,185,36,44.4,1,5.0,1;4-7;8-15;4-7;2-3,2.19122576713562,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0011_s06,bnc_spoken,920000011,11,10,160,742,792,row_context,with_special,True,14,3,False,199,18,20.0,2,4.0,2-3;4-7;4-7,1.3222559690475464,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0013_s00,bnc_spoken,920000013,13,14,160,0,85,row_context,with_special,True,18,2,False,189,11,13.5,1,3.5,4-7;1,2.099492073059082,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
