frame_id,base_id,condition,family,object,alt_a,alt_b,delta1,delta2,interaction,min_signed_margin,crossed_success,same_a_bias,same_b_bias
IF_00001,BASE_0001,no_context,empty_full,glass,empty,full,-1.8483448028564453,-1.8483448028564453,0.0,-1.8483448028564453,False,False,True
IF_00002,BASE_0001,explicit_final,empty_full,glass,empty,full,-1.846590518951416,-1.9365582466125488,0.08996772766113281,-1.846590518951416,False,False,True
IF_00003,BASE_0001,last_event,empty_full,glass,empty,full,-1.9478492736816406,-1.8114070892333984,-0.1364421844482422,-1.9478492736816406,False,False,True
IF_00004,BASE_0001,consistent_prior,empty_full,glass,empty,full,-1.761220932006836,-1.9881525039672852,0.22693157196044922,-1.761220932006836,False,False,True
IF_00005,BASE_0001,distractor_event,empty_full,glass,empty,full,-1.6314764022827148,-1.7754230499267578,0.14394664764404297,-1.6314764022827148,False,False,True
IF_00006,BASE_0001,contradict_bare,empty_full,glass,empty,full,-1.8638811111450195,-1.787832260131836,-0.0760488510131836,-1.8638811111450195,False,False,True
IF_00007,BASE_0001,contradict_temporal,empty_full,glass,empty,full,-1.8518648147583008,-1.8347492218017578,-0.01711559295654297,-1.8518648147583008,False,False,True
IF_00008,BASE_0001,contradict_reinforced,empty_full,glass,empty,full,-1.8427791595458984,-1.777663230895996,-0.06511592864990234,-1.8427791595458984,False,False,True
IF_00009,BASE_0001,explicit_override,empty_full,glass,empty,full,-1.623291015625,-1.6743497848510742,0.05105876922607422,-1.623291015625,False,False,True
IF_00010,BASE_0001,reported_event,empty_full,glass,empty,full,-1.9581823348999023,-1.9136686325073242,-0.044513702392578125,-1.9581823348999023,False,False,True
IF_00011,BASE_0002,no_context,empty_full,glass,empty,full,-1.8483448028564453,-1.8483448028564453,0.0,-1.8483448028564453,False,False,True
IF_00012,BASE_0002,explicit_final,empty_full,glass,empty,full,-1.846590518951416,-1.9365582466125488,0.08996772766113281,-1.846590518951416,False,False,True
IF_00013,BASE_0002,last_event,empty_full,glass,empty,full,-1.9038209915161133,-1.763188362121582,-0.14063262939453125,-1.9038209915161133,False,False,True
IF_00014,BASE_0002,consistent_prior,empty_full,glass,empty,full,-1.7490205764770508,-1.9490866661071777,0.20006608963012695,-1.7490205764770508,False,False,True
IF_00015,BASE_0002,distractor_event,empty_full,glass,empty,full,-1.6322360038757324,-1.752389907836914,0.12015390396118164,-1.6322360038757324,False,False,True
IF_00016,BASE_0002,contradict_bare,empty_full,glass,empty,full,-1.817197322845459,-1.7358789443969727,-0.08131837844848633,-1.817197322845459,False,False,True
IF_00017,BASE_0002,contradict_temporal,empty_full,glass,empty,full,-1.8183660507202148,-1.7990107536315918,-0.019355297088623047,-1.8183660507202148,False,False,True
IF_00018,BASE_0002,contradict_reinforced,empty_full,glass,empty,full,-1.8208513259887695,-1.7314682006835938,-0.08938312530517578,-1.8208513259887695,False,False,True
IF_00019,BASE_0002,explicit_override,empty_full,glass,empty,full,-1.623291015625,-1.6743497848510742,0.05105876922607422,-1.623291015625,False,False,True
IF_00020,BASE_0002,reported_event,empty_full,glass,empty,full,-1.9575066566467285,-1.9133110046386719,-0.04419565200805664,-1.9575066566467285,False,False,True
IF_00021,BASE_0003,no_context,empty_full,glass,empty,full,-1.8483448028564453,-1.8483448028564453,0.0,-1.8483448028564453,False,False,True
IF_00022,BASE_0003,explicit_final,empty_full,glass,empty,full,-1.846590518951416,-1.9365582466125488,0.08996772766113281,-1.846590518951416,False,False,True
IF_00023,BASE_0003,last_event,empty_full,glass,empty,full,-1.9063096046447754,-1.7494010925292969,-0.15690851211547852,-1.9063096046447754,False,False,True
IF_00024,BASE_0003,consistent_prior,empty_full,glass,empty,full,-1.7499074935913086,-1.960134506225586,0.21022701263427734,-1.7499074935913086,False,False,True
IF_00025,BASE_0003,distractor_event,empty_full,glass,empty,full,-1.6114344596862793,-1.7279720306396484,0.11653757095336914,-1.6114344596862793,False,False,True
IF_00026,BASE_0003,contradict_bare,empty_full,glass,empty,full,-1.8273820877075195,-1.7431507110595703,-0.08423137664794922,-1.8273820877075195,False,False,True
