position,target,probe_id,pair_index,pair_id,sentence_id,doc_id,source_words,rewrite_words,source_token_len,rewrite_token_len,target_token_id,source_type_count,seq_len,source_mass,target_prob,source_to_target_mass_ratio,target_rank,top10_ids,top10_probs,top1_in_source,top10_source_hits,arm,arch,role,seed,checkpoint
96,7152,"misfire:0:36:research by warren booth, a biologist at the university of tulsa and a co-author",0,"research by warren booth, a biologist at the university of tulsa and a co-author",30667,13305,41,23,59,42,7152,50,103,0.9330478310585022,0.0032988102175295353,282.843743511034,3,11447 11155 7152 15279 309 253 8319 10338 2098 16166,0.93038034 0.0042158277 0.0032988102 0.002663089 0.0022311884 0.0013848613 0.0013690665 0.0013282566 0.0010775656 0.00070072978,1,2,D_V_43122,D,V,43122,chck_80M
100,2410,"misfire:0:40:research by warren booth, a biologist at the university of tulsa and a co-author",0,"research by warren booth, a biologist at the university of tulsa and a co-author",30667,13305,41,23,59,42,2410,50,103,0.9408356547355652,0.0008443382102996111,1114.2876672627574,11,357 441 383 2360 766 3716 584 1180 1874 998,0.94048363 0.0056593847 0.004121765 0.0026695463 0.0013273098 0.0013096874 0.0011555008 0.0011553873 0.0011409078 0.0010235421,1,1,D_V_43122,D,V,43122,chck_80M
48,249,"misfire:2:4:the new and improved factory farm map, created by food and water watch, uses col",2,"the new and improved factory farm map, created by food and water watch, uses col",51907,2512,28,17,43,26,249,40,71,0.4316316843032837,0.014713253825902939,29.336249439494384,7,13470 308 302 231 195 14733 249 3348 1185 7412,0.31764722 0.067553833 0.032444045 0.023875548 0.023085196 0.01605455 0.014713254 0.013667622 0.01191844 0.011911287,1,3,D_V_43122,D,V,43122,chck_80M
68,6705,"misfire:2:24:the new and improved factory farm map, created by food and water watch, uses col",2,"the new and improved factory farm map, created by food and water watch, uses col",51907,2512,28,17,43,26,6705,40,71,0.02888781949877739,0.0036407120060175657,7.934662080117856,42,3602 87 1348 212 2167 5084 3979 381 9382 11002,0.054164592 0.024884224 0.014961592 0.011107118 0.010712231 0.010548155 0.010364269 0.0097202566 0.0094035426 0.0087965066,0,1,D_V_43122,D,V,43122,chck_80M
36,7537,misfire:3:5:the map project was initiated at the university of oregon and its growth and suc,3,the map project was initiated at the university of oregon and its growth and suc,20958,5534,28,16,30,18,7537,26,50,0.012099015526473522,0.001545399078167975,7.829055741910076,89,4183 9238 1503 9581 795 12388 1569 11884 2970 13638,0.13677526 0.10248224 0.082253084 0.042734809 0.03795841 0.035741091 0.023870515 0.01915843 0.01675223 0.014888577,0,0,D_V_43122,D,V,43122,chck_80M
37,731,misfire:3:6:the map project was initiated at the university of oregon and its growth and suc,3,the map project was initiated at the university of oregon and its growth and suc,20958,5534,28,16,30,18,731,26,50,0.016972847282886505,0.0005423517432063818,31.29490684872346,19,231 310 302 412 1410 250 1733 765 276 6912,0.7950353 0.14187703 0.013765053 0.008487856 0.0051322277 0.0049385815 0.0020775602 0.0020138614 0.001632641 0.0014347194,0,1,D_V_43122,D,V,43122,chck_80M
50,3362,"misfire:4:0:in medieval europe prostitution was licensed and regulated by law, but by the 16",4,"in medieval europe prostitution was licensed and regulated by law, but by the 16",52596,1140,29,12,49,27,3362,45,78,0.7951561212539673,2.372120798099786e-05,33520.89496837328,821,1591 359 5645 3097 10063 7134 2438 9296 1120 4506,0.79434925 0.023188941 0.0084042298 0.0071558245 0.007135605 0.0063697561 0.0041558747 0.0037776213 0.0036887615 0.0036852597,1,1,D_V_43122,D,V,43122,chck_80M
72,3861,"misfire:4:22:in medieval europe prostitution was licensed and regulated by law, but by the 16",4,"in medieval europe prostitution was licensed and regulated by law, but by the 16",52596,1140,29,12,49,27,3861,45,78,0.19914400577545166,0.005326386541128159,37.38820009358011,30,2562 2992 1969 8032 3626 2951 7056 6840 3986 4430,0.18671876 0.05180436 0.043330088 0.022593368 0.021172348 0.019369859 0.017558403 0.017200626 0.016721319 0.015529144,1,1,D_V_43122,D,V,43122,chck_80M
44,10571,"misfire:5:0:if you are not a smoker, you should avoid people who smokes because research fro",5,"if you are not a smoker, you should avoid people who smokes because research fro",30744,9419,31,18,43,31,10571,37,76,0.010842177085578442,0.00025757536059245467,42.0932229722599,468,2203 1877 4517 3483 3558 9880 308 4148 12684 10804,0.072321586 0.055388995 0.027618207 0.025125807 0.019509545 0.019009216 0.018726144 0.017937368 0.014240802 0.014067389,0,0,D_V_43122,D,V,43122,chck_80M
66,1799,"misfire:5:22:if you are not a smoker, you should avoid people who smokes because research fro",5,"if you are not a smoker, you should avoid people who smokes because research fro",30744,9419,31,18,43,31,1799,37,76,0.11772993206977844,0.02160944789648056,5.448076815000563,7,13165 3465 785 639 394 1510 1799 1327 87 493,0.1359563 0.069071658 0.061880141 0.050896022 0.032691184 0.023802424 0.021609448 0.021453533 0.018421508 0.016832858,0,2,D_V_43122,D,V,43122,chck_80M
66,644,"misfire:6:4:three task forces, that were created in the wake of the comprehensive assessment",6,"three task forces, that were created in the wake of the comprehensive assessment",23495,3910,39,19,61,37,644,52,100,0.8594517707824707,0.003947034012526274,217.74622870107575,11,231 412 315 250 1410 253 388 302 276 1733,0.75108051 0.079333887 0.029245708 0.025228383 0.021824019 0.013932024 0.013639979 0.01280064 0.01034508 0.0052544042,1,4,D_V_43122,D,V,43122,chck_80M
93,572,"misfire:6:31:three task forces, that were created in the wake of the comprehensive assessment",6,"three task forces, that were created in the wake of the comprehensive assessment",23495,3910,39,19,61,37,572,52,100,0.1949056088924408,2.7238034817855805e-05,7155.641374122595,2105,223 276 7581 249 965 228 212 250 213 195,0.075070843 0.047175538 0.04459621 0.032014526 0.023498857 0.021691209 0.020700622 0.019273095 0.018072354 0.016210131,0,5,D_V_43122,D,V,43122,chck_80M
45,249,"misfire:7:13:the hubbard-rosa version of “on, wisconsin!” became the official state song on j",7,"the hubbard-rosa version of “on, wisconsin!” became the official state song on j",25149,13080,15,11,31,28,249,26,61,0.20544487237930298,0.43283289670944214,0.47465170494473014,1,249 1775 305 223 195 310 2464 2503 302 643,0.4328329 0.15050542 0.079144709 0.053765174 0.036272224 0.01699557 0.0084596789 0.007158828 0.0069375415 0.0067760875,0,2,D_V_43122,D,V,43122,chck_80M
26,6890,"misfire:8:4:this year alone, 12 deaths have been reported, according to a san jose state uni",8,"this year alone, 12 deaths have been reported, according to a san jose state uni",42366,11134,16,10,21,13,6890,20,36,0.4817507266998291,0.007273891009390354,66.23012718748532,11,4840 897 542 8693 3230 457 374 3339 1185 7410,0.47568512 0.085848615 0.0777601 0.025891092 0.017251907 0.010657255 0.010198203 0.0095606931 0.0078772921 0.0078315549,1,1,D_V_43122,D,V,43122,chck_80M
