frame_id,base_id,condition,family,object,alt_a,alt_b,delta1,delta2,interaction,min_signed_margin,crossed_success,same_a_bias,same_b_bias
IF_00001,BASE_0001,no_context,empty_full,glass,empty,full,-0.3048386573791504,-0.3048386573791504,0.0,-0.3048386573791504,False,False,True
IF_00002,BASE_0001,explicit_final,empty_full,glass,empty,full,5.2479857206344604,-7.285387739539146,12.533373460173607,5.2479857206344604,True,False,False
IF_00003,BASE_0001,last_event,empty_full,glass,empty,full,1.9726285934448242,0.23123741149902344,1.7413911819458008,-0.23123741149902344,False,True,False
IF_00004,BASE_0001,consistent_prior,empty_full,glass,empty,full,5.591219164431095,-6.490063726902008,12.081282891333103,5.591219164431095,True,False,False
IF_00005,BASE_0001,distractor_event,empty_full,glass,empty,full,1.932267665863037,0.9908335208892822,0.9414341449737549,-0.9908335208892822,False,True,False
IF_00006,BASE_0001,contradict_bare,empty_full,glass,empty,full,-5.338798642158508,5.998196721076965,-11.336995363235474,-5.998196721076965,False,False,False
IF_00007,BASE_0001,contradict_temporal,empty_full,glass,empty,full,-5.31977005302906,6.06488524377346,-11.38465529680252,-6.06488524377346,False,False,False
IF_00008,BASE_0001,contradict_reinforced,empty_full,glass,empty,full,-5.649565905332565,6.365730129182339,-12.015296034514904,-6.365730129182339,False,False,False
IF_00009,BASE_0001,explicit_override,empty_full,glass,empty,full,3.600961670279503,-2.120366156101227,5.72132782638073,2.120366156101227,True,False,False
IF_00010,BASE_0001,reported_event,empty_full,glass,empty,full,2.2766616344451904,1.3723273277282715,0.904334306716919,-1.3723273277282715,False,True,False
IF_00011,BASE_0002,no_context,empty_full,glass,empty,full,-0.3048386573791504,-0.3048386573791504,0.0,-0.3048386573791504,False,False,True
IF_00012,BASE_0002,explicit_final,empty_full,glass,empty,full,5.2479857206344604,-7.285387739539146,12.533373460173607,5.2479857206344604,True,False,False
IF_00013,BASE_0002,last_event,empty_full,glass,empty,full,1.9417223930358887,0.2718696594238281,1.6698527336120605,-0.2718696594238281,False,True,False
IF_00014,BASE_0002,consistent_prior,empty_full,glass,empty,full,5.400005258619785,-6.442637674510479,11.842642933130264,5.400005258619785,True,False,False
IF_00015,BASE_0002,distractor_event,empty_full,glass,empty,full,2.580768346786499,2.0652763843536377,0.5154919624328613,-2.0652763843536377,False,True,False
IF_00016,BASE_0002,contradict_bare,empty_full,glass,empty,full,-5.376520991325378,5.859988264739513,-11.236509256064892,-5.859988264739513,False,False,False
IF_00017,BASE_0002,contradict_temporal,empty_full,glass,empty,full,-5.298703372478485,5.902754820883274,-11.20145819336176,-5.902754820883274,False,False,False
IF_00018,BASE_0002,contradict_reinforced,empty_full,glass,empty,full,-5.694927245378494,6.263838902115822,-11.958766147494316,-6.263838902115822,False,False,False
IF_00019,BASE_0002,explicit_override,empty_full,glass,empty,full,3.600961670279503,-2.120366156101227,5.72132782638073,2.120366156101227,True,False,False
IF_00020,BASE_0002,reported_event,empty_full,glass,empty,full,1.8065242767333984,0.9016819000244141,0.9048423767089844,-0.9016819000244141,False,True,False
IF_00021,BASE_0003,no_context,empty_full,glass,empty,full,-0.3048386573791504,-0.3048386573791504,0.0,-0.3048386573791504,False,False,True
IF_00022,BASE_0003,explicit_final,empty_full,glass,empty,full,5.2479857206344604,-7.285387739539146,12.533373460173607,5.2479857206344604,True,False,False
IF_00023,BASE_0003,last_event,empty_full,glass,empty,full,1.7608919143676758,-0.10407733917236328,1.864969253540039,0.10407733917236328,True,False,False
IF_00024,BASE_0003,consistent_prior,empty_full,glass,empty,full,5.291186273097992,-6.457217052578926,11.748403325676918,5.291186273097992,True,False,False
IF_00025,BASE_0003,distractor_event,empty_full,glass,empty,full,2.3917300701141357,1.050612449645996,1.3411176204681396,-1.050612449645996,False,True,False
IF_00026,BASE_0003,contradict_bare,empty_full,glass,empty,full,-5.2855053544044495,5.790202863514423,-11.075708217918873,-5.790202863514423,False,False,False
IF_00027,BASE_0003,contradict_temporal,empty_full,glass,empty,full,-5.121850177645683,5.771183796226978,-10.893033973872662,-5.771183796226978,False,False,False
IF_00028,BASE_0003,contradict_reinforced,empty_full,glass,empty,full,-5.536941289901733,6.167770244181156,-11.70471153408289,-6.167770244181156,False,False,False
IF_00029,BASE_0003,explicit_override,empty_full,glass,empty,full,3.600961670279503,-2.120366156101227,5.72132782638073,2.120366156101227,True,False,False
