frame_id,base_id,condition,family,object,alt_a,alt_b,delta1,delta2,interaction,min_signed_margin,crossed_success,same_a_bias,same_b_bias
IF_00001,BASE_0001,no_context,empty_full,glass,empty,full,1.23394775390625,1.23394775390625,0.0,-1.23394775390625,False,True,False
IF_00002,BASE_0001,explicit_final,empty_full,glass,empty,full,5.901261270046234,-8.330787336453795,14.23204860650003,5.901261270046234,True,False,False
IF_00003,BASE_0001,last_event,empty_full,glass,empty,full,3.5683298110961914,0.6127238273620605,2.955605983734131,-0.6127238273620605,False,True,False
IF_00004,BASE_0001,consistent_prior,empty_full,glass,empty,full,5.967295527458191,-7.002288054674864,12.969583582133055,5.967295527458191,True,False,False
IF_00005,BASE_0001,distractor_event,empty_full,glass,empty,full,1.8205780982971191,0.981144905090332,0.8394331932067871,-0.981144905090332,False,True,False
IF_00006,BASE_0001,contradict_bare,empty_full,glass,empty,full,-6.474321238696575,5.788237035274506,-12.26255827397108,-6.474321238696575,False,False,False
IF_00007,BASE_0001,contradict_temporal,empty_full,glass,empty,full,-6.4696033373475075,5.997048914432526,-12.466652251780033,-6.4696033373475075,False,False,False
IF_00008,BASE_0001,contradict_reinforced,empty_full,glass,empty,full,-5.709153406322002,5.726414799690247,-11.435568206012249,-5.726414799690247,False,False,False
IF_00009,BASE_0001,explicit_override,empty_full,glass,empty,full,0.8095178604125977,-2.3335562646389008,3.1430741250514984,0.8095178604125977,True,False,False
IF_00010,BASE_0001,reported_event,empty_full,glass,empty,full,3.67275333404541,3.187518835067749,0.48523449897766113,-3.187518835067749,False,True,False
IF_00011,BASE_0002,no_context,empty_full,glass,empty,full,1.23394775390625,1.23394775390625,0.0,-1.23394775390625,False,True,False
IF_00012,BASE_0002,explicit_final,empty_full,glass,empty,full,5.901261270046234,-8.330787336453795,14.23204860650003,5.901261270046234,True,False,False
IF_00013,BASE_0002,last_event,empty_full,glass,empty,full,2.7822957038879395,0.7986974716186523,1.983598232269287,-0.7986974716186523,False,True,False
IF_00014,BASE_0002,consistent_prior,empty_full,glass,empty,full,5.91599515080452,-7.301586885005236,13.217582035809755,5.91599515080452,True,False,False
IF_00015,BASE_0002,distractor_event,empty_full,glass,empty,full,1.4483060836791992,0.5520753860473633,0.8962306976318359,-0.5520753860473633,False,True,False
IF_00016,BASE_0002,contradict_bare,empty_full,glass,empty,full,-6.94749940559268,5.714561700820923,-12.662061106413603,-6.94749940559268,False,False,False
IF_00017,BASE_0002,contradict_temporal,empty_full,glass,empty,full,-6.830320566892624,5.957551538944244,-12.787872105836868,-6.830320566892624,False,False,False
IF_00018,BASE_0002,contradict_reinforced,empty_full,glass,empty,full,-6.331696651875973,5.745617985725403,-12.077314637601376,-6.331696651875973,False,False,False
IF_00019,BASE_0002,explicit_override,empty_full,glass,empty,full,0.8095178604125977,-2.3335562646389008,3.1430741250514984,0.8095178604125977,True,False,False
IF_00020,BASE_0002,reported_event,empty_full,glass,empty,full,3.24868106842041,2.444149971008301,0.8045310974121094,-2.444149971008301,False,True,False
IF_00021,BASE_0003,no_context,empty_full,glass,empty,full,1.23394775390625,1.23394775390625,0.0,-1.23394775390625,False,True,False
IF_00022,BASE_0003,explicit_final,empty_full,glass,empty,full,5.901261270046234,-8.330787336453795,14.23204860650003,5.901261270046234,True,False,False
IF_00023,BASE_0003,last_event,empty_full,glass,empty,full,3.1603732109069824,0.42237281799316406,2.7380003929138184,-0.42237281799316406,False,True,False
IF_00024,BASE_0003,consistent_prior,empty_full,glass,empty,full,5.841381669044495,-7.252352815121412,13.093734484165907,5.841381669044495,True,False,False
IF_00025,BASE_0003,distractor_event,empty_full,glass,empty,full,1.5637621879577637,1.0369086265563965,0.5268535614013672,-1.0369086265563965,False,True,False
IF_00026,BASE_0003,contradict_bare,empty_full,glass,empty,full,-6.874497525393963,5.554392695426941,-12.428890220820904,-6.874497525393963,False,False,False
