arch,arm,checkpoint,seed,role,probe_family,probe_id,effect_no_all_relevant_updates,effect_no_initial_qbox,effect_no_last_relevant_update,entity_type,irrelevant_ops,item_index,margin_full,margin_no_all_relevant_updates,margin_no_initial_qbox,margin_no_last_relevant_update,prefix_words_full,query_box,relevant_updates,reported_numops,stale_idx,total_ops,uid
RBT,RBT_V_43022,chck_100M,43022,V,entity_gold_stale_cue_ablation,entityabl:0:regular_2_ops:7,0.9206535816192627,-0.3850274085998535,-1.1769084930419922,regular,1,7,7.1790759563446045,8.099729537963867,6.794048547744751,6.002167463302612,89,0,2,2,1,3,regular_2_ops
RBT,RBT_V_43022,chck_100M,43022,V,entity_gold_stale_cue_ablation,entityabl:1000:move_contents_3_ops:54,-1.4386463165283203,-0.5144453048706055,-2.268634796142578,move_contents,5,54,-0.8952312469482422,-2.3338775634765625,-1.4096765518188477,-3.1638660430908203,136,5,3,3,1,8,move_contents_3_ops
RBT,RBT_V_43022,chck_100M,43022,V,entity_gold_stale_cue_ablation,entityabl:1001:move_contents_3_ops:56,0.7590780258178711,-0.7321100234985352,2.5630569458007812,move_contents,5,56,4.097223281860352,4.856301307678223,3.3651132583618164,6.660280227661133,111,2,3,3,1,8,move_contents_3_ops
RBT,RBT_V_43022,chck_100M,43022,V,entity_gold_stale_cue_ablation,entityabl:1002:move_contents_3_ops:71,-0.4259824752807617,0.895197868347168,0.39624786376953125,move_contents,5,71,-2.055222511291504,-2.4812049865722656,-1.160024642944336,-1.6589746475219727,134,5,3,3,1,8,move_contents_3_ops
RBT,RBT_V_43022,chck_100M,43022,V,entity_gold_stale_cue_ablation,entityabl:1003:move_contents_3_ops:78,-0.5997486114501953,-0.16582298278808594,-0.1560831069946289,move_contents,5,78,-0.8510398864746094,-1.4507884979248047,-1.0168628692626953,-1.0071229934692383,119,2,3,3,1,8,move_contents_3_ops
RBT,RBT_V_43022,chck_100M,43022,V,entity_gold_stale_cue_ablation,entityabl:1004:move_contents_3_ops:91,1.2924985885620117,-0.42752742767333984,1.6348114013671875,move_contents,5,91,-1.2604637145996094,0.032034873962402344,-1.6879911422729492,0.3743476867675781,124,2,3,3,1,8,move_contents_3_ops
RBT,RBT_V_43022,chck_100M,43022,V,entity_gold_stale_cue_ablation,entityabl:1005:move_contents_3_ops:97,0.028699517250061035,1.0281996726989746,0.6241188049316406,move_contents,7,97,9.695724129676819,9.72442364692688,10.723923802375793,10.31984293460846,149,4,2,3,1,9,move_contents_3_ops
RBT,RBT_V_43022,chck_100M,43022,V,entity_gold_stale_cue_ablation,entityabl:1006:move_contents_3_ops:108,-1.394643783569336,-0.6216611862182617,-1.285416603088379,move_contents,6,108,3.0210561752319336,1.6264123916625977,2.399394989013672,1.7356395721435547,143,0,3,3,1,9,move_contents_3_ops
RBT,RBT_V_43022,chck_100M,43022,V,entity_gold_stale_cue_ablation,entityabl:1007:move_contents_3_ops:109,0.350433349609375,0.08853626251220703,0.0031423568725585938,move_contents,7,109,-1.7056512832641602,-1.3552179336547852,-1.6171150207519531,-1.7025089263916016,119,4,2,3,1,9,move_contents_3_ops
RBT,RBT_V_43022,chck_100M,43022,V,entity_gold_stale_cue_ablation,entityabl:1008:move_contents_3_ops:111,-0.45506954193115234,0.41152000427246094,-0.34314441680908203,move_contents,7,111,-1.1268892288208008,-1.5819587707519531,-0.7153692245483398,-1.4700336456298828,130,0,2,3,1,9,move_contents_3_ops
