arch,arm,checkpoint,seed,role,probe_family,probe_id,effect_no_all_relevant_updates,effect_no_initial_qbox,effect_no_last_relevant_update,entity_type,irrelevant_ops,item_index,margin_full,margin_no_all_relevant_updates,margin_no_initial_qbox,margin_no_last_relevant_update,prefix_words_full,query_box,relevant_updates,reported_numops,stale_idx,total_ops,uid
RBT,RBT_C_43022,chck_80M,43022,C,entity_gold_stale_cue_ablation,entityabl:0:regular_2_ops:7,0.3848094940185547,0.47336316108703613,-0.4146430492401123,regular,1,7,9.132620096206665,9.51742959022522,9.605983257293701,8.717977046966553,89,0,2,2,1,3,regular_2_ops
RBT,RBT_C_43022,chck_80M,43022,C,entity_gold_stale_cue_ablation,entityabl:1000:move_contents_3_ops:54,-0.8697891235351562,0.9299144744873047,-1.2641029357910156,move_contents,5,54,-1.1651411056518555,-2.0349302291870117,-0.23522663116455078,-2.429244041442871,136,5,3,3,1,8,move_contents_3_ops
RBT,RBT_C_43022,chck_80M,43022,C,entity_gold_stale_cue_ablation,entityabl:1001:move_contents_3_ops:56,2.3048696517944336,0.8115425109863281,3.9873180389404297,move_contents,5,56,2.675457000732422,4.9803266525268555,3.48699951171875,6.662775039672852,111,2,3,3,1,8,move_contents_3_ops
RBT,RBT_C_43022,chck_80M,43022,C,entity_gold_stale_cue_ablation,entityabl:1002:move_contents_3_ops:71,-0.14131450653076172,-0.07865524291992188,-0.3277416229248047,move_contents,5,71,-2.497025489807129,-2.6383399963378906,-2.575680732727051,-2.8247671127319336,134,5,3,3,1,8,move_contents_3_ops
RBT,RBT_C_43022,chck_80M,43022,C,entity_gold_stale_cue_ablation,entityabl:1003:move_contents_3_ops:78,0.5535182952880859,0.3917961120605469,-0.08238697052001953,move_contents,5,78,-1.2964420318603516,-0.7429237365722656,-0.9046459197998047,-1.378829002380371,119,2,3,3,1,8,move_contents_3_ops
RBT,RBT_C_43022,chck_80M,43022,C,entity_gold_stale_cue_ablation,entityabl:1004:move_contents_3_ops:91,0.31464195251464844,0.029909133911132812,0.6852331161499023,move_contents,5,91,-0.052623748779296875,0.26201820373535156,-0.022714614868164062,0.6326093673706055,124,2,3,3,1,8,move_contents_3_ops
RBT,RBT_C_43022,chck_80M,43022,C,entity_gold_stale_cue_ablation,entityabl:1005:move_contents_3_ops:97,-1.6177668571472168,-0.5311224460601807,-0.6147994995117188,move_contents,7,97,8.036125898361206,6.418359041213989,7.505003452301025,7.421326398849487,149,4,2,3,1,9,move_contents_3_ops
RBT,RBT_C_43022,chck_80M,43022,C,entity_gold_stale_cue_ablation,entityabl:1006:move_contents_3_ops:108,-0.7397794723510742,0.14294815063476562,-0.5317716598510742,move_contents,6,108,1.7265043258666992,0.986724853515625,1.8694524765014648,1.194732666015625,143,0,3,3,1,9,move_contents_3_ops
RBT,RBT_C_43022,chck_80M,43022,C,entity_gold_stale_cue_ablation,entityabl:1007:move_contents_3_ops:109,-0.12612533569335938,-0.1584033966064453,-0.3521747589111328,move_contents,7,109,-1.2074975967407227,-1.333622932434082,-1.365900993347168,-1.5596723556518555,119,4,2,3,1,9,move_contents_3_ops
RBT,RBT_C_43022,chck_80M,43022,C,entity_gold_stale_cue_ablation,entityabl:1008:move_contents_3_ops:111,0.5926265716552734,0.3388996124267578,-0.020348548889160156,move_contents,7,111,-3.1727142333984375,-2.580087661743164,-2.8338146209716797,-3.1930627822875977,130,0,2,3,1,9,move_contents_3_ops
RBT,RBT_C_43022,chck_80M,43022,C,entity_gold_stale_cue_ablation,entityabl:1009:move_contents_3_ops:112,-0.19971179962158203,0.23022174835205078,-0.3415536880493164,move_contents,6,112,-1.5314226150512695,-1.7311344146728516,-1.3012008666992188,-1.872976303100586,128,2,3,3,1,9,move_contents_3_ops
RBT,RBT_C_43022,chck_80M,43022,C,entity_gold_stale_cue_ablation,entityabl:100:regular_2_ops:234,-1.0158710479736328,-0.17496681213378906,-0.5566911697387695,regular,9,234,-1.939687728881836,-2.9555587768554688,-2.114654541015625,-2.4963788986206055,127,1,2,2,1,11,regular_2_ops
RBT,RBT_C_43022,chck_80M,43022,C,entity_gold_stale_cue_ablation,entityabl:1010:move_contents_3_ops:122,-1.869227409362793,-0.5473165512084961,-1.0518198013305664,move_contents,6,122,-0.41947078704833984,-2.288698196411133,-0.9667873382568359,-1.4712905883789062,149,5,3,3,1,9,move_contents_3_ops
RBT,RBT_C_43022,chck_80M,43022,C,entity_gold_stale_cue_ablation,entityabl:1011:move_contents_3_ops:123,0.1915884017944336,0.24372100830078125,0.3543214797973633,move_contents,7,123,-0.6291007995605469,-0.4375123977661133,-0.3853797912597656,-0.2747793197631836,127,4,2,3,1,9,move_contents_3_ops
RBT,RBT_C_43022,chck_80M,43022,C,entity_gold_stale_cue_ablation,entityabl:1012:move_contents_3_ops:127,-0.024682998657226562,0.18367481231689453,0.46233081817626953,move_contents,6,127,0.44671058654785156,0.422027587890625,0.6303853988647461,0.9090414047241211,140,1,3,3,1,9,move_contents_3_ops
RBT,RBT_C_43022,chck_80M,43022,C,entity_gold_stale_cue_ablation,entityabl:1013:move_contents_3_ops:134,-0.5921421051025391,-0.20017147064208984,-1.2104310989379883,move_contents,6,134,-1.6133270263671875,-2.2054691314697266,-1.8134984970092773,-2.823758125305176,145,5,3,3,1,9,move_contents_3_ops
RBT,RBT_C_43022,chck_80M,43022,C,entity_gold_stale_cue_ablation,entityabl:1014:move_contents_3_ops:140,-1.4084625244140625,0.04333686828613281,-0.3782510757446289,move_contents,7,140,2.8471155166625977,1.4386529922485352,2.8904523849487305,2.4688644409179688,122,3,2,3,1,9,move_contents_3_ops
RBT,RBT_C_43022,chck_80M,43022,C,entity_gold_stale_cue_ablation,entityabl:1015:move_contents_3_ops:151,-4.506213188171387,-0.23719501495361328,-5.0913286209106445,move_contents,7,151,-1.1502199172973633,-5.65643310546875,-1.3874149322509766,-6.241548538208008,137,2,3,3,1,10,move_contents_3_ops
RBT,RBT_C_43022,chck_80M,43022,C,entity_gold_stale_cue_ablation,entityabl:1016:move_contents_3_ops:153,0.6987457275390625,-0.20143795013427734,0.4549369812011719,move_contents,7,153,-5.150124549865723,-4.45137882232666,-5.3515625,-4.695187568664551,136,3,3,3,1,10,move_contents_3_ops
RBT,RBT_C_43022,chck_80M,43022,C,entity_gold_stale_cue_ablation,entityabl:1017:move_contents_3_ops:155,0.6507320404052734,0.5548486709594727,0.06196022033691406,move_contents,7,155,0.1406879425048828,0.7914199829101562,0.6955366134643555,0.20264816284179688,133,2,3,3,1,10,move_contents_3_ops
RBT,RBT_C_43022,chck_80M,43022,C,entity_gold_stale_cue_ablation,entityabl:1018:move_contents_3_ops:157,-0.8745193481445312,-0.02492523193359375,0.5446033477783203,move_contents,7,157,-1.4503326416015625,-2.3248519897460938,-1.4752578735351562,-0.9057292938232422,152,2,3,3,1,10,move_contents_3_ops
RBT,RBT_C_43022,chck_80M,43022,C,entity_gold_stale_cue_ablation,entityabl:1019:move_contents_3_ops:158,-0.38141143321990967,-0.7671289443969727,0.5432455539703369,move_contents,8,158,7.969128370285034,7.5877169370651245,7.2019994258880615,8.512373924255371,158,4,2,3,1,10,move_contents_3_ops
