set,pair_id,source,example_id,present,original_words,rewrite_words,pair_words,replacement_count_dose21,replacement_count_dose25
dose21,dose56_rw2s1_013806,childes,16186,True,30,29,59,0,0
dose21,dose56_rw_003672,childes,8816,True,22,18,40,1,1
dose21,dose56_rw2s1_022227,simple_wiki,58596,False,18,17,35,0,0
dose21,dose56_rw_017498,childes,17061,True,13,15,28,3,3
dose21,dose56_rw2s0_008026,simple_wiki,54880,False,18,21,39,0,0
dose21,dose56_rw2s0_000976,gutenberg,27017,True,28,26,54,0,0
dose21,dose56_rw2s1_007677,simple_wiki,58982,True,20,22,42,0,0
dose21,dose56_rw_012727,open_subtitles,45766,True,12,12,24,1,1
dose21,dose56_rw2s0_031144,gutenberg,25659,True,37,38,75,4,4
dose21,dose56_rw2s0_022878,gutenberg,38461,False,25,19,44,0,0
dose21,dose56_rw_030029,childes,12224,False,13,13,26,0,0
dose21,dose56_rw2s0_015192,bnc_spoken,860,False,19,19,38,0,0
dose21,dose56_rw_035453,childes,10863,True,13,14,27,1,3
dose21,dose56_rw2s1_004852,gutenberg,37948,True,51,54,105,0,0
dose21,dose56_rw2s0_030965,gutenberg,31556,False,36,38,74,0,0
dose21,dose56_rw2s0_001816,childes,13694,True,26,23,49,0,0
dose21,dose56_rw2s0_003818,gutenberg,31070,False,20,15,35,0,0
dose21,dose56_rw2s1_024501,gutenberg,33266,True,27,26,53,1,2
dose21,dose56_rw_011178,bnc_spoken,1198,False,13,14,27,0,0
dose21,dose56_rw2s0_020127,gutenberg,25758,True,34,38,72,0,1
dose21,dose56_rw_003447,simple_wiki,56406,True,18,19,37,1,1
dose21,dose56_rw2s1_032701,gutenberg,26519,False,18,23,41,0,0
dose21,dose56_rw2s0_018924,gutenberg,37930,True,20,23,43,0,0
dose21,dose56_rw_041515,childes,4779,True,12,6,18,2,2
dose21,dose56_rw2s1_001747,simple_wiki,62183,True,20,19,39,2,2
dose21,dose56_rw_024876,childes,18836,True,15,12,27,0,0
dose21,dose56_rw2s0_027447,gutenberg,31231,True,20,22,42,0,0
dose21,dose56_rw2s1_014733,open_subtitles,39921,True,42,36,78,0,1
dose21,dose56_rw_020167,simple_wiki,53958,False,14,14,28,0,0
dose21,dose56_rw_011945,open_subtitles,47160,True,13,13,26,1,1
dose21,dose56_rw2s1_009092,gutenberg,35914,True,18,19,37,0,0
dose21,dose56_rw2s1_001896,gutenberg,28112,False,39,32,71,0,0
dose21,dose56_rw2s1_010251,gutenberg,37293,True,44,38,82,0,1
dose21,dose56_rw2s0_009507,gutenberg,22694,True,37,32,69,1,2
dose21,dose56_rw2s1_031311,simple_wiki,61130,True,18,20,38,0,2
dose21,dose56_rw2s1_023047,open_subtitles,45544,True,18,17,35,2,2
dose21,dose56_rw2s0_003982,gutenberg,32697,True,26,27,53,1,1
dose21,dose56_rw2s1_017614,gutenberg,37687,False,28,29,57,0,0
dose21,dose56_rw2s0_014433,switchboard,62368,True,22,20,42,2,2
dose21,dose56_rw_032183,gutenberg,30700,False,27,24,51,0,0
dose21,dose56_rw2s0_009623,bnc_spoken,3204,False,32,24,56,0,0
dose21,dose56_rw2s0_018136,bnc_spoken,4191,True,33,31,64,2,2
dose21,dose56_rw2s1_021763,simple_wiki,54925,True,20,20,40,0,0
dose21,dose56_rw2s1_017597,bnc_spoken,4256,True,18,16,34,0,1
dose21,dose56_rw2s1_031478,childes,18119,True,18,16,34,1,2
dose21,dose56_rw2s1_012175,open_subtitles,52303,True,26,24,50,0,1
dose21,dose56_rw2s0_029557,childes,14217,True,46,39,85,0,4
dose21,dose56_rw2s0_025144,open_subtitles,41290,True,20,22,42,1,1
dose21,dose56_rw2s0_019419,gutenberg,35527,True,35,36,71,2,3
dose21,dose56_rw2s1_031618,open_subtitles,47939,True,22,25,47,0,1
dose21,dose56_rw2s1_020957,gutenberg,37532,True,30,28,58,0,0
dose21,dose56_rw2s1_008236,gutenberg,27162,True,18,16,34,0,1
dose21,dose56_rw2s1_004942,simple_wiki,54992,True,26,29,55,1,1
dose21,dose56_rw2s0_003686,gutenberg,25856,False,32,27,59,0,0
dose21,dose56_rw2s0_031622,open_subtitles,46354,True,28,23,51,2,3
dose21,dose56_rw2s0_004603,gutenberg,36087,False,27,26,53,0,0
dose21,dose56_rw_009625,bnc_spoken,272,True,20,21,41,1,1
dose21,dose56_rw2s0_005956,simple_wiki,57997,True,18,21,39,1,2
dose21,dose56_rw2s1_007886,childes,16149,True,27,25,52,1,1
dose21,dose56_rw2s0_032146,gutenberg,26776,True,29,29,58,0,0
dose21,dose56_rw_004831,childes,15906,True,24,20,44,2,3
dose21,dose56_rw2s0_021629,gutenberg,30048,True,50,48,98,0,0
