frame_id,base_id,condition,family,object,alt_a,alt_b,delta1,delta2,signed_c1,signed_c2,interaction,min_signed_margin,crossed_success,same_a_bias,same_b_bias,target_word_free_context
OD_00001,BASE_0001,none,empty_full,glass,empty,full,-0.3048386573791504,-0.3048386573791504,-0.3048386573791504,0.3048386573791504,0.0,-0.3048386573791504,False,False,True,False
OD_00002,BASE_0001,prior_only_contradict,empty_full,glass,empty,full,-5.599750638008118,5.915437899529934,-5.599750638008118,-5.915437899529934,-11.515188537538052,-5.915437899529934,False,False,False,False
OD_00003,BASE_0001,action_only,empty_full,glass,empty,full,1.9726285934448242,0.23123741149902344,1.9726285934448242,-0.23123741149902344,1.7413911819458008,-0.23123741149902344,False,True,False,False
OD_00004,BASE_0001,action_distance,empty_full,glass,empty,full,2.947739601135254,2.113101005554199,2.947739601135254,-2.113101005554199,0.8346385955810547,-2.113101005554199,False,True,False,False
OD_00005,BASE_0001,contradict_adjacent,empty_full,glass,empty,full,-5.338798642158508,5.998196721076965,-5.338798642158508,-5.998196721076965,-11.336995363235474,-5.998196721076965,False,False,False,False
OD_00006,BASE_0001,contradict_then,empty_full,glass,empty,full,-5.31977005302906,6.06488524377346,-5.31977005302906,-6.06488524377346,-11.38465529680252,-6.06488524377346,False,False,False,False
OD_00007,BASE_0001,contradict_distance,empty_full,glass,empty,full,-2.475721299648285,5.921492695808411,-2.475721299648285,-5.921492695808411,-8.397213995456696,-5.921492695808411,False,False,False,False
OD_00008,BASE_0001,consistent_adjacent,empty_full,glass,empty,full,5.591219164431095,-6.490063726902008,5.591219164431095,6.490063726902008,12.081282891333103,5.591219164431095,True,False,False,False
OD_00009,BASE_0001,explicit_override_direct,empty_full,glass,empty,full,3.600961670279503,-2.120366156101227,3.600961670279503,2.120366156101227,5.72132782638073,2.120366156101227,True,False,False,False
OD_00010,BASE_0001,tf_prior_only_contradict,empty_full,glass,empty,full,0.47950172424316406,0.20560169219970703,0.47950172424316406,-0.20560169219970703,0.27390003204345703,-0.20560169219970703,False,True,False,True
OD_00011,BASE_0001,tf_action_only,empty_full,glass,empty,full,0.0076141357421875,-0.9930515289306641,0.0076141357421875,0.9930515289306641,1.0006656646728516,0.0076141357421875,True,False,False,True
OD_00012,BASE_0001,tf_contradict_adjacent,empty_full,glass,empty,full,0.5114297866821289,-0.061562538146972656,0.5114297866821289,0.061562538146972656,0.5729923248291016,0.061562538146972656,True,False,False,True
OD_00013,BASE_0001,tf_contradict_distance,empty_full,glass,empty,full,1.117213249206543,0.7796287536621094,1.117213249206543,-0.7796287536621094,0.3375844955444336,-0.7796287536621094,False,True,False,True
OD_00014,BASE_0002,none,empty_full,glass,empty,full,-0.3048386573791504,-0.3048386573791504,-0.3048386573791504,0.3048386573791504,0.0,-0.3048386573791504,False,False,True,False
OD_00015,BASE_0002,prior_only_contradict,empty_full,glass,empty,full,-5.599750638008118,5.915437899529934,-5.599750638008118,-5.915437899529934,-11.515188537538052,-5.915437899529934,False,False,False,False
OD_00016,BASE_0002,action_only,empty_full,glass,empty,full,1.9417223930358887,0.2718696594238281,1.9417223930358887,-0.2718696594238281,1.6698527336120605,-0.2718696594238281,False,True,False,False
OD_00017,BASE_0002,action_distance,empty_full,glass,empty,full,2.8248703479766846,2.0407190322875977,2.8248703479766846,-2.0407190322875977,0.7841513156890869,-2.0407190322875977,False,True,False,False
OD_00018,BASE_0002,contradict_adjacent,empty_full,glass,empty,full,-5.376520991325378,5.859988264739513,-5.376520991325378,-5.859988264739513,-11.236509256064892,-5.859988264739513,False,False,False,False
OD_00019,BASE_0002,contradict_then,empty_full,glass,empty,full,-5.298703372478485,5.902754820883274,-5.298703372478485,-5.902754820883274,-11.20145819336176,-5.902754820883274,False,False,False,False
OD_00020,BASE_0002,contradict_distance,empty_full,glass,empty,full,-2.6629523038864136,5.779251903295517,-2.6629523038864136,-5.779251903295517,-8.44220420718193,-5.779251903295517,False,False,False,False
OD_00021,BASE_0002,consistent_adjacent,empty_full,glass,empty,full,5.400005258619785,-6.442637674510479,5.400005258619785,6.442637674510479,11.842642933130264,5.400005258619785,True,False,False,False
OD_00022,BASE_0002,explicit_override_direct,empty_full,glass,empty,full,3.600961670279503,-2.120366156101227,3.600961670279503,2.120366156101227,5.72132782638073,2.120366156101227,True,False,False,False
OD_00023,BASE_0002,tf_prior_only_contradict,empty_full,glass,empty,full,0.47950172424316406,0.20560169219970703,0.47950172424316406,-0.20560169219970703,0.27390003204345703,-0.20560169219970703,False,True,False,True
OD_00024,BASE_0002,tf_action_only,empty_full,glass,empty,full,-0.2942972183227539,-0.9531292915344238,-0.2942972183227539,0.9531292915344238,0.6588320732116699,-0.2942972183227539,False,False,True,True
OD_00025,BASE_0002,tf_contradict_adjacent,empty_full,glass,empty,full,0.5946989059448242,0.007636070251464844,0.5946989059448242,-0.007636070251464844,0.5870628356933594,-0.007636070251464844,False,True,False,True
OD_00026,BASE_0002,tf_contradict_distance,empty_full,glass,empty,full,1.1935415267944336,0.780360221862793,1.1935415267944336,-0.780360221862793,0.4131813049316406,-0.780360221862793,False,True,False,True
OD_00027,BASE_0003,none,empty_full,glass,empty,full,-0.3048386573791504,-0.3048386573791504,-0.3048386573791504,0.3048386573791504,0.0,-0.3048386573791504,False,False,True,False
OD_00028,BASE_0003,prior_only_contradict,empty_full,glass,empty,full,-5.599750638008118,5.915437899529934,-5.599750638008118,-5.915437899529934,-11.515188537538052,-5.915437899529934,False,False,False,False
OD_00029,BASE_0003,action_only,empty_full,glass,empty,full,1.7608919143676758,-0.10407733917236328,1.7608919143676758,0.10407733917236328,1.864969253540039,0.10407733917236328,True,False,False,False
OD_00030,BASE_0003,action_distance,empty_full,glass,empty,full,2.925243616104126,1.6081037521362305,2.925243616104126,-1.6081037521362305,1.3171398639678955,-1.6081037521362305,False,True,False,False
OD_00031,BASE_0003,contradict_adjacent,empty_full,glass,empty,full,-5.2855053544044495,5.790202863514423,-5.2855053544044495,-5.790202863514423,-11.075708217918873,-5.790202863514423,False,False,False,False
OD_00032,BASE_0003,contradict_then,empty_full,glass,empty,full,-5.121850177645683,5.771183796226978,-5.121850177645683,-5.771183796226978,-10.893033973872662,-5.771183796226978,False,False,False,False
OD_00033,BASE_0003,contradict_distance,empty_full,glass,empty,full,-2.3588171005249023,5.670693397521973,-2.3588171005249023,-5.670693397521973,-8.029510498046875,-5.670693397521973,False,False,False,False
OD_00034,BASE_0003,consistent_adjacent,empty_full,glass,empty,full,5.291186273097992,-6.457217052578926,5.291186273097992,6.457217052578926,11.748403325676918,5.291186273097992,True,False,False,False
OD_00035,BASE_0003,explicit_override_direct,empty_full,glass,empty,full,3.600961670279503,-2.120366156101227,3.600961670279503,2.120366156101227,5.72132782638073,2.120366156101227,True,False,False,False
OD_00036,BASE_0003,tf_prior_only_contradict,empty_full,glass,empty,full,0.47950172424316406,0.20560169219970703,0.47950172424316406,-0.20560169219970703,0.27390003204345703,-0.20560169219970703,False,True,False,True
OD_00037,BASE_0003,tf_action_only,empty_full,glass,empty,full,-0.5649993419647217,-1.0386066436767578,-0.5649993419647217,1.0386066436767578,0.47360730171203613,-0.5649993419647217,False,False,True,True
OD_00038,BASE_0003,tf_contradict_adjacent,empty_full,glass,empty,full,0.2746753692626953,-0.0889902114868164,0.2746753692626953,0.0889902114868164,0.3636655807495117,0.0889902114868164,True,False,False,True
OD_00039,BASE_0003,tf_contradict_distance,empty_full,glass,empty,full,0.8747892379760742,0.6913251876831055,0.8747892379760742,-0.6913251876831055,0.18346405029296875,-0.6913251876831055,False,True,False,True
OD_00040,BASE_0004,none,empty_full,glass,empty,full,-0.3048386573791504,-0.3048386573791504,-0.3048386573791504,0.3048386573791504,0.0,-0.3048386573791504,False,False,True,False
OD_00041,BASE_0004,prior_only_contradict,empty_full,glass,empty,full,-5.599750638008118,5.915437899529934,-5.599750638008118,-5.915437899529934,-11.515188537538052,-5.915437899529934,False,False,False,False
OD_00042,BASE_0004,action_only,empty_full,glass,empty,full,2.262977123260498,-0.08128643035888672,2.262977123260498,0.08128643035888672,2.3442635536193848,0.08128643035888672,True,False,False,False
OD_00043,BASE_0004,action_distance,empty_full,glass,empty,full,3.133289098739624,1.7087717056274414,3.133289098739624,-1.7087717056274414,1.4245173931121826,-1.7087717056274414,False,True,False,False
OD_00044,BASE_0004,contradict_adjacent,empty_full,glass,empty,full,-5.227801218628883,5.958472304046154,-5.227801218628883,-5.958472304046154,-11.186273522675037,-5.958472304046154,False,False,False,False
OD_00045,BASE_0004,contradict_then,empty_full,glass,empty,full,-5.031775340437889,6.00253701210022,-5.031775340437889,-6.00253701210022,-11.034312352538109,-6.00253701210022,False,False,False,False
OD_00046,BASE_0004,contradict_distance,empty_full,glass,empty,full,-2.1733484268188477,5.807731747627258,-2.1733484268188477,-5.807731747627258,-7.981080174446106,-5.807731747627258,False,False,False,False
OD_00047,BASE_0004,consistent_adjacent,empty_full,glass,empty,full,5.576704956591129,-6.445020474493504,5.576704956591129,6.445020474493504,12.021725431084633,5.576704956591129,True,False,False,False
OD_00048,BASE_0004,explicit_override_direct,empty_full,glass,empty,full,3.600961670279503,-2.120366156101227,3.600961670279503,2.120366156101227,5.72132782638073,2.120366156101227,True,False,False,False
