family,arch,seed,group,contrast,n,n_checkpoints,late_mean_delta_mean_margin_full_a_minus_b,late_mean_delta_mean_effect_no_initial_qbox_a_minus_b,late_mean_delta_mean_effect_no_last_relevant_update_a_minus_b,late_mean_delta_mean_effect_no_all_relevant_updates_a_minus_b
entity_ablation,D,43022,ALL,VminusC,1221,3,0.584079844230817,-0.4064509910146151,-0.31901713168447354,0.2089799909018247
entity_ablation,D,43022,rel_ge2,VminusC,1205,3,0.5769977425813757,-0.40810152338727546,-0.31150871828600335,0.2234991544757147
entity_ablation,D,43022,rel_ge3,VminusC,716,3,0.6281648872357757,-0.3245238738058194,-0.3584033522756642,0.34561733552558244
entity_ablation,D,43022,rel_updates_1,VminusC,16,3,1.117450624704361,-0.28214527169863385,-0.884494515756766,-0.884494515756766
entity_ablation,D,43022,rel_updates_2,VminusC,489,3,0.50207816063342,-0.5304769775801641,-0.24284500062425038,0.04469216545382245
entity_ablation,D,43022,rel_updates_3,VminusC,296,3,0.41438578704355267,-0.1453427051588356,-0.3452640034044413,0.38327611920734256
entity_ablation,D,43022,rel_updates_4,VminusC,326,3,0.7405793059480154,-0.5239929816969394,-0.4327177645330048,0.41086400423678887
entity_ablation,D,43022,rel_updates_5,VminusC,94,3,0.911478856987987,-0.1969780945186074,-0.14204961685001427,0.0007512294654305288
entity_ablation,D,43022,type_ambiref,VminusC,399,3,0.3301024276984166,-0.25486743714078425,-0.20168038313848932,0.16888145847851366
entity_ablation,D,43022,type_move_contents,VminusC,381,3,0.8713880975193761,-0.5031037903598601,-0.3140931052081645,0.16885670312303058
entity_ablation,D,43022,type_regular,VminusC,441,3,0.5656502403611724,-0.46009525733008044,-0.429433042698808,0.27992395253588737
