alpha,context_mode,group,n,joint,joint_frac,a_correct,a_frac,b_correct,b_frac,both_wrong,both_wrong_frac,mean_joint_min_margin
0.75,full_context,ALL,1600,524,0.3275,725,0.453125,1396,0.8725,3,0.001875,-1.0011484479982493
0.75,full_context,frame:f00_original_relevant_state,200,66,0.33,90,0.45,176,0.88,0,0.0,-1.0301346183443818
0.75,full_context,frame:f01_at_this_point,200,72,0.36,93,0.465,179,0.895,0,0.0,-0.9060038732627459
0.75,full_context,frame:f02_for_current_state,200,54,0.27,84,0.42,169,0.845,1,0.005,-1.2796412599952618
0.75,full_context,frame:f03_currently_associated,200,66,0.33,94,0.47,171,0.855,1,0.005,-1.0103480829213638
0.75,full_context,frame:f04_given_context,200,58,0.29,86,0.43,172,0.86,0,0.0,-1.0920653697380422
0.75,full_context,frame:f05_after_descriptions,200,74,0.37,95,0.475,179,0.895,0,0.0,-0.8722500153521565
0.75,full_context,frame:f06_by_the_end,200,65,0.325,90,0.45,174,0.87,1,0.005,-0.9617533818247946
0.75,full_context,frame:f07_context_indicates,200,69,0.345,93,0.465,176,0.88,0,0.0,-0.8569909825472473
0.75,full_context,frame_split:eval_unseen,600,208,0.3466666666666667,278,0.4633333333333333,529,0.8816666666666667,1,0.0016666666666666668,-0.8969981265747328
0.75,full_context,frame_split:train_seen,1000,316,0.316,447,0.447,867,0.867,2,0.002,-1.0636386408523593
