case_id,family,train_group,event_pol,affected_query,mode,layer,alpha,margin_correct_foil,state0_minus_state1,head_correct
P196_00961,clean_dirty,heldout_family,0,1,none,4,1.0,-2.26356503367424,-2.26356503367424,False
P196_00962,clean_dirty,heldout_family,0,0,none,4,1.0,2.4407357573509216,-2.4407357573509216,True
P196_00963,clean_dirty,heldout_family,0,0,none,4,1.0,2.3201684653759003,-2.3201684653759003,True
P196_00964,clean_dirty,heldout_family,0,1,none,4,1.0,-2.31659135222435,-2.31659135222435,False
P196_00965,clean_dirty,heldout_family,1,1,none,4,1.0,-4.157984957098961,4.157984957098961,False
P196_00966,clean_dirty,heldout_family,1,0,none,4,1.0,4.070003665983677,4.070003665983677,True
P196_00967,clean_dirty,heldout_family,1,0,none,4,1.0,4.161222621798515,4.161222621798515,True
P196_00968,clean_dirty,heldout_family,1,1,none,4,1.0,-4.100507512688637,4.100507512688637,False
P196_00969,clean_dirty,heldout_family,0,1,none,4,1.0,-2.5169438123703003,-2.5169438123703003,False
P196_00970,clean_dirty,heldout_family,0,0,none,4,1.0,2.6938801258802414,-2.6938801258802414,True
P196_00971,clean_dirty,heldout_family,0,0,none,4,1.0,2.584045395255089,-2.584045395255089,True
P196_00972,clean_dirty,heldout_family,0,1,none,4,1.0,-2.5669269114732742,-2.5669269114732742,False
P196_00973,clean_dirty,heldout_family,1,1,none,4,1.0,-4.080667287111282,4.080667287111282,False
P196_00974,clean_dirty,heldout_family,1,0,none,4,1.0,4.00506704300642,4.00506704300642,True
P196_00975,clean_dirty,heldout_family,1,0,none,4,1.0,4.08053881675005,4.08053881675005,True
P196_00976,clean_dirty,heldout_family,1,1,none,4,1.0,-4.015955939888954,4.015955939888954,False
P196_00977,clean_dirty,heldout_family,0,1,none,4,1.0,-2.3024798035621643,-2.3024798035621643,False
P196_00978,clean_dirty,heldout_family,0,0,none,4,1.0,2.4823979437351227,-2.4823979437351227,True
P196_00979,clean_dirty,heldout_family,0,0,none,4,1.0,2.3520146012306213,-2.3520146012306213,True
P196_00980,clean_dirty,heldout_family,0,1,none,4,1.0,-2.3475245535373688,-2.3475245535373688,False
P196_00981,clean_dirty,heldout_family,1,1,none,4,1.0,-4.141279429197311,4.141279429197311,False
P196_00982,clean_dirty,heldout_family,1,0,none,4,1.0,4.063851460814476,4.063851460814476,True
P196_00983,clean_dirty,heldout_family,1,0,none,4,1.0,4.147596202790737,4.147596202790737,True
P196_00984,clean_dirty,heldout_family,1,1,none,4,1.0,-4.084875836968422,4.084875836968422,False
P196_00985,clean_dirty,heldout_family,0,1,none,4,1.0,-2.3793345391750336,-2.3793345391750336,False
P196_00986,clean_dirty,heldout_family,0,0,none,4,1.0,2.5655145347118378,-2.5655145347118378,True
P196_00987,clean_dirty,heldout_family,0,0,none,4,1.0,2.4421215057373047,-2.4421215057373047,True
P196_00988,clean_dirty,heldout_family,0,1,none,4,1.0,-2.4262313544750214,-2.4262313544750214,False
P196_00989,clean_dirty,heldout_family,1,1,none,4,1.0,-4.086575396358967,4.086575396358967,False
P196_00990,clean_dirty,heldout_family,1,0,none,4,1.0,4.012142911553383,4.012142911553383,True
P196_00991,clean_dirty,heldout_family,1,0,none,4,1.0,4.10027027875185,4.10027027875185,True
P196_00992,clean_dirty,heldout_family,1,1,none,4,1.0,-4.052390865981579,4.052390865981579,False
P196_00993,clean_dirty,heldout_family,0,1,none,4,1.0,-2.3653534948825836,-2.3653534948825836,False
P196_00994,clean_dirty,heldout_family,0,0,none,4,1.0,2.540624737739563,-2.540624737739563,True
P196_00995,clean_dirty,heldout_family,0,0,none,4,1.0,2.431912511587143,-2.431912511587143,True
P196_00996,clean_dirty,heldout_family,0,1,none,4,1.0,-2.413081258535385,-2.413081258535385,False
P196_00997,clean_dirty,heldout_family,1,1,none,4,1.0,-4.101418614387512,4.101418614387512,False
P196_00998,clean_dirty,heldout_family,1,0,none,4,1.0,4.0371056869626045,4.0371056869626045,True
P196_00999,clean_dirty,heldout_family,1,0,none,4,1.0,4.106612332165241,4.106612332165241,True
P196_01000,clean_dirty,heldout_family,1,1,none,4,1.0,-4.060406856238842,4.060406856238842,False
P196_01001,clean_dirty,heldout_family,0,1,none,4,1.0,-2.288877546787262,-2.288877546787262,False
P196_01002,clean_dirty,heldout_family,0,0,none,4,1.0,2.4845789968967438,-2.4845789968967438,True
P196_01003,clean_dirty,heldout_family,0,0,none,4,1.0,2.3434544503688812,-2.3434544503688812,True
P196_01004,clean_dirty,heldout_family,0,1,none,4,1.0,-2.3581484854221344,-2.3581484854221344,False
P196_01005,clean_dirty,heldout_family,1,1,none,4,1.0,-4.150341838598251,4.150341838598251,False
P196_01006,clean_dirty,heldout_family,1,0,none,4,1.0,4.044039770960808,4.044039770960808,True
P196_01007,clean_dirty,heldout_family,1,0,none,4,1.0,4.153588183224201,4.153588183224201,True
P196_01008,clean_dirty,heldout_family,1,1,none,4,1.0,-4.066558673977852,4.066558673977852,False
P196_01009,clean_dirty,heldout_family,0,1,none,4,1.0,-2.2211208045482635,-2.2211208045482635,False
P196_01010,clean_dirty,heldout_family,0,0,none,4,1.0,2.406605690717697,-2.406605690717697,True
P196_01011,clean_dirty,heldout_family,0,0,none,4,1.0,2.2863444685935974,-2.2863444685935974,True
P196_01012,clean_dirty,heldout_family,0,1,none,4,1.0,-2.2718925774097443,-2.2718925774097443,False
P196_01013,clean_dirty,heldout_family,1,1,none,4,1.0,-4.1687155812978745,4.1687155812978745,False
P196_01014,clean_dirty,heldout_family,1,0,none,4,1.0,4.085018366575241,4.085018366575241,True
P196_01015,clean_dirty,heldout_family,1,0,none,4,1.0,4.169836163520813,4.169836163520813,True
P196_01016,clean_dirty,heldout_family,1,1,none,4,1.0,-4.122930526733398,4.122930526733398,False
P196_01017,clean_dirty,heldout_family,0,1,none,4,1.0,-2.3871976137161255,-2.3871976137161255,False
P196_01018,clean_dirty,heldout_family,0,0,none,4,1.0,2.558783620595932,-2.558783620595932,True
P196_01019,clean_dirty,heldout_family,0,0,none,4,1.0,2.4516820311546326,-2.4516820311546326,True
P196_01020,clean_dirty,heldout_family,0,1,none,4,1.0,-2.438409775495529,-2.438409775495529,False
P196_01021,clean_dirty,heldout_family,1,1,none,4,1.0,-4.148138925433159,4.148138925433159,False
P196_01022,clean_dirty,heldout_family,1,0,none,4,1.0,4.0771836042404175,4.0771836042404175,True
P196_01023,clean_dirty,heldout_family,1,0,none,4,1.0,4.146702706813812,4.146702706813812,True
P196_01024,clean_dirty,heldout_family,1,1,none,4,1.0,-4.092538103461266,4.092538103461266,False
P196_01025,clean_dirty,heldout_family,0,1,none,4,1.0,-1.855657696723938,-1.855657696723938,False
P196_01026,clean_dirty,heldout_family,0,0,none,4,1.0,2.361556112766266,-2.361556112766266,True
P196_01027,clean_dirty,heldout_family,0,0,none,4,1.0,1.998396873474121,-1.998396873474121,True
P196_01028,clean_dirty,heldout_family,0,1,none,4,1.0,-2.4422902166843414,-2.4422902166843414,False
P196_01029,clean_dirty,heldout_family,1,1,none,4,1.0,-4.507846675813198,4.507846675813198,False
P196_01030,clean_dirty,heldout_family,1,0,none,4,1.0,4.135014593601227,4.135014593601227,True
P196_01031,clean_dirty,heldout_family,1,0,none,4,1.0,4.324944645166397,4.324944645166397,True
P196_01032,clean_dirty,heldout_family,1,1,none,4,1.0,-3.9276925325393677,3.9276925325393677,False
P196_01033,clean_dirty,heldout_family,0,1,none,4,1.0,-2.126277804374695,-2.126277804374695,False
P196_01034,clean_dirty,heldout_family,0,0,none,4,1.0,2.618229776620865,-2.618229776620865,True
P196_01035,clean_dirty,heldout_family,0,0,none,4,1.0,2.290632337331772,-2.290632337331772,True
P196_01036,clean_dirty,heldout_family,0,1,none,4,1.0,-2.7093963027000427,-2.7093963027000427,False
P196_01037,clean_dirty,heldout_family,1,1,none,4,1.0,-4.4472953751683235,4.4472953751683235,False
