arch,arm,checkpoint,seed,role,probe_family,probe_id,effect_no_all_relevant_updates,effect_no_initial_qbox,effect_no_last_relevant_update,entity_type,irrelevant_ops,item_index,margin_full,margin_no_all_relevant_updates,margin_no_initial_qbox,margin_no_last_relevant_update,prefix_words_full,query_box,relevant_updates,reported_numops,stale_idx,total_ops,uid
RBT,RBT_RS_43022,chck_70M,43022,R,entity_gold_stale_cue_ablation,entityabl:0:regular_2_ops:7,0.35129547119140625,0.18156981468200684,-1.2581007480621338,regular,1,7,7.367670297622681,7.718965768814087,7.5492401123046875,6.109569549560547,89,0,2,2,1,3,regular_2_ops
RBT,RBT_RS_43022,chck_70M,43022,R,entity_gold_stale_cue_ablation,entityabl:1000:move_contents_3_ops:54,-1.9032678604125977,-0.31578922271728516,-1.1724414825439453,move_contents,5,54,-1.3736200332641602,-3.276887893676758,-1.6894092559814453,-2.5460615158081055,136,5,3,3,1,8,move_contents_3_ops
RBT,RBT_RS_43022,chck_70M,43022,R,entity_gold_stale_cue_ablation,entityabl:1001:move_contents_3_ops:56,-0.9518518447875977,-0.37267112731933594,0.7900447845458984,move_contents,5,56,3.0179691314697266,2.066117286682129,2.6452980041503906,3.808013916015625,111,2,3,3,1,8,move_contents_3_ops
RBT,RBT_RS_43022,chck_70M,43022,R,entity_gold_stale_cue_ablation,entityabl:1002:move_contents_3_ops:71,1.1138725280761719,0.00038242340087890625,0.3492259979248047,move_contents,5,71,-1.2114381790161133,-0.0975656509399414,-1.2110557556152344,-0.8622121810913086,134,5,3,3,1,8,move_contents_3_ops
RBT,RBT_RS_43022,chck_70M,43022,R,entity_gold_stale_cue_ablation,entityabl:1003:move_contents_3_ops:78,-0.27132511138916016,-0.5024442672729492,-0.1161031723022461,move_contents,5,78,0.7171945571899414,0.44586944580078125,0.2147502899169922,0.6010913848876953,119,2,3,3,1,8,move_contents_3_ops
RBT,RBT_RS_43022,chck_70M,43022,R,entity_gold_stale_cue_ablation,entityabl:1004:move_contents_3_ops:91,0.7547712326049805,-0.024799346923828125,0.7080497741699219,move_contents,5,91,-0.06447505950927734,0.6902961730957031,-0.08927440643310547,0.6435747146606445,124,2,3,3,1,8,move_contents_3_ops
RBT,RBT_RS_43022,chck_70M,43022,R,entity_gold_stale_cue_ablation,entityabl:1005:move_contents_3_ops:97,0.3709676265716553,0.6006863117218018,0.48663902282714844,move_contents,7,97,5.190474510192871,5.561442136764526,5.791160821914673,5.6771135330200195,149,4,2,3,1,9,move_contents_3_ops
RBT,RBT_RS_43022,chck_70M,43022,R,entity_gold_stale_cue_ablation,entityabl:1006:move_contents_3_ops:108,0.18244647979736328,-0.3772106170654297,-0.35797119140625,move_contents,6,108,3.686495780944824,3.8689422607421875,3.3092851638793945,3.328524589538574,143,0,3,3,1,9,move_contents_3_ops
RBT,RBT_RS_43022,chck_70M,43022,R,entity_gold_stale_cue_ablation,entityabl:1007:move_contents_3_ops:109,-0.9424877166748047,-0.5632781982421875,-0.5642995834350586,move_contents,7,109,-1.6520843505859375,-2.594572067260742,-2.215362548828125,-2.216383934020996,119,4,2,3,1,9,move_contents_3_ops
RBT,RBT_RS_43022,chck_70M,43022,R,entity_gold_stale_cue_ablation,entityabl:1008:move_contents_3_ops:111,0.08352279663085938,-0.1474466323852539,0.10372066497802734,move_contents,7,111,-1.5957622528076172,-1.5122394561767578,-1.743208885192871,-1.4920415878295898,130,0,2,3,1,9,move_contents_3_ops
RBT,RBT_RS_43022,chck_70M,43022,R,entity_gold_stale_cue_ablation,entityabl:1009:move_contents_3_ops:112,-0.23766326904296875,0.5134496688842773,-0.48511695861816406,move_contents,6,112,-0.3611917495727539,-0.5988550186157227,0.15225791931152344,-0.846308708190918,128,2,3,3,1,9,move_contents_3_ops
RBT,RBT_RS_43022,chck_70M,43022,R,entity_gold_stale_cue_ablation,entityabl:100:regular_2_ops:234,0.16471290588378906,-0.13924503326416016,0.03962421417236328,regular,9,234,-1.013657569885254,-0.8489446640014648,-1.152902603149414,-0.9740333557128906,127,1,2,2,1,11,regular_2_ops
RBT,RBT_RS_43022,chck_70M,43022,R,entity_gold_stale_cue_ablation,entityabl:1010:move_contents_3_ops:122,-0.38114261627197266,-1.3102483749389648,-1.2272672653198242,move_contents,6,122,-0.1308889389038086,-0.5120315551757812,-1.4411373138427734,-1.3581562042236328,149,5,3,3,1,9,move_contents_3_ops
RBT,RBT_RS_43022,chck_70M,43022,R,entity_gold_stale_cue_ablation,entityabl:1011:move_contents_3_ops:123,0.5060796737670898,-0.15765666961669922,-0.21826553344726562,move_contents,7,123,-2.4681177139282227,-1.9620380401611328,-2.625774383544922,-2.6863832473754883,127,4,2,3,1,9,move_contents_3_ops
RBT,RBT_RS_43022,chck_70M,43022,R,entity_gold_stale_cue_ablation,entityabl:1012:move_contents_3_ops:127,0.054012298583984375,-0.41997623443603516,-0.07642078399658203,move_contents,6,127,1.4541912078857422,1.5082035064697266,1.034214973449707,1.3777704238891602,140,1,3,3,1,9,move_contents_3_ops
RBT,RBT_RS_43022,chck_70M,43022,R,entity_gold_stale_cue_ablation,entityabl:1013:move_contents_3_ops:134,-0.7996053695678711,-0.8351058959960938,-1.1435174942016602,move_contents,6,134,-1.9550485610961914,-2.7546539306640625,-2.790154457092285,-3.0985660552978516,145,5,3,3,1,9,move_contents_3_ops
RBT,RBT_RS_43022,chck_70M,43022,R,entity_gold_stale_cue_ablation,entityabl:1014:move_contents_3_ops:140,-0.26339244842529297,-0.24666500091552734,-0.7182340621948242,move_contents,7,140,-0.017104148864746094,-0.28049659729003906,-0.26376914978027344,-0.7353382110595703,122,3,2,3,1,9,move_contents_3_ops
RBT,RBT_RS_43022,chck_70M,43022,R,entity_gold_stale_cue_ablation,entityabl:1015:move_contents_3_ops:151,-3.178464889526367,-0.01287078857421875,-3.9381027221679688,move_contents,7,151,-1.603219985961914,-4.781684875488281,-1.6160907745361328,-5.541322708129883,137,2,3,3,1,10,move_contents_3_ops
RBT,RBT_RS_43022,chck_70M,43022,R,entity_gold_stale_cue_ablation,entityabl:1016:move_contents_3_ops:153,0.3096656799316406,0.17545700073242188,0.05699634552001953,move_contents,7,153,-1.9221220016479492,-1.6124563217163086,-1.7466650009155273,-1.8651256561279297,136,3,3,3,1,10,move_contents_3_ops
RBT,RBT_RS_43022,chck_70M,43022,R,entity_gold_stale_cue_ablation,entityabl:1017:move_contents_3_ops:155,-0.0162200927734375,-0.3801746368408203,-0.5634794235229492,move_contents,7,155,0.8802003860473633,0.8639802932739258,0.500025749206543,0.31672096252441406,133,2,3,3,1,10,move_contents_3_ops
RBT,RBT_RS_43022,chck_70M,43022,R,entity_gold_stale_cue_ablation,entityabl:1018:move_contents_3_ops:157,0.6202411651611328,-0.025879859924316406,-0.4148244857788086,move_contents,7,157,-5.042511940002441,-4.422270774841309,-5.068391799926758,-5.45733642578125,152,2,3,3,1,10,move_contents_3_ops
RBT,RBT_RS_43022,chck_70M,43022,R,entity_gold_stale_cue_ablation,entityabl:1019:move_contents_3_ops:158,0.3854234218597412,0.21751117706298828,0.1738898754119873,move_contents,8,158,5.293619394302368,5.679042816162109,5.5111305713653564,5.4675092697143555,158,4,2,3,1,10,move_contents_3_ops
RBT,RBT_RS_43022,chck_70M,43022,R,entity_gold_stale_cue_ablation,entityabl:101:regular_2_ops:237,0.26994991302490234,0.1894235610961914,0.2525157928466797,regular,9,237,0.019613265991210938,0.2895631790161133,0.20903682708740234,0.2721290588378906,130,6,2,2,1,11,regular_2_ops
RBT,RBT_RS_43022,chck_70M,43022,R,entity_gold_stale_cue_ablation,entityabl:1020:move_contents_3_ops:161,0.45665740966796875,0.9273719787597656,0.639430046081543,move_contents,8,161,-2.135157585144043,-1.6785001754760742,-1.2077856063842773,-1.4957275390625,125,4,2,3,1,10,move_contents_3_ops
RBT,RBT_RS_43022,chck_70M,43022,R,entity_gold_stale_cue_ablation,entityabl:1021:move_contents_3_ops:169,-1.694711685180664,-0.5333452224731445,-1.7057151794433594,move_contents,8,169,3.8229284286499023,2.1282167434692383,3.289583206176758,2.117213249206543,137,2,2,3,1,10,move_contents_3_ops
RBT,RBT_RS_43022,chck_70M,43022,R,entity_gold_stale_cue_ablation,entityabl:1022:move_contents_3_ops:175,-0.08365821838378906,0.36333465576171875,0.13901233673095703,move_contents,7,175,-0.6738576889038086,-0.7575159072875977,-0.31052303314208984,-0.5348453521728516,139,2,3,3,1,10,move_contents_3_ops
RBT,RBT_RS_43022,chck_70M,43022,R,entity_gold_stale_cue_ablation,entityabl:1023:move_contents_3_ops:181,0.1971902847290039,-0.008851051330566406,-0.29459190368652344,move_contents,8,181,-0.19704818725585938,0.00014209747314453125,-0.20589923858642578,-0.4916400909423828,131,3,2,3,1,10,move_contents_3_ops
RBT,RBT_RS_43022,chck_70M,43022,R,entity_gold_stale_cue_ablation,entityabl:1024:move_contents_3_ops:185,0.7739269733428955,0.001020669937133789,-0.10791468620300293,move_contents,7,185,4.486132621765137,5.260059595108032,4.4871532917022705,4.378217935562134,142,4,3,3,1,10,move_contents_3_ops
RBT,RBT_RS_43022,chck_70M,43022,R,entity_gold_stale_cue_ablation,entityabl:1025:move_contents_3_ops:191,-0.2500457763671875,-0.5232954025268555,-0.06795597076416016,move_contents,8,191,0.6833763122558594,0.4333305358886719,0.1600809097290039,0.6154203414916992,125,0,2,3,1,10,move_contents_3_ops
RBT,RBT_RS_43022,chck_70M,43022,R,entity_gold_stale_cue_ablation,entityabl:1026:move_contents_3_ops:192,-0.8512516021728516,0.32750892639160156,-0.6029462814331055,move_contents,7,192,-2.9011363983154297,-3.7523880004882812,-2.573627471923828,-3.504082679748535,146,6,3,3,1,10,move_contents_3_ops
RBT,RBT_RS_43022,chck_70M,43022,R,entity_gold_stale_cue_ablation,entityabl:1027:move_contents_3_ops:193,0.22759723663330078,-0.7280607223510742,0.3160886764526367,move_contents,7,193,2.419894218444824,2.647491455078125,1.69183349609375,2.735982894897461,137,2,3,3,1,10,move_contents_3_ops
RBT,RBT_RS_43022,chck_70M,43022,R,entity_gold_stale_cue_ablation,entityabl:1028:move_contents_3_ops:197,0.010797500610351562,0.6078395843505859,0.22040939331054688,move_contents,8,197,-1.7885093688964844,-1.7777118682861328,-1.1806697845458984,-1.5680999755859375,136,0,2,3,1,10,move_contents_3_ops
RBT,RBT_RS_43022,chck_70M,43022,R,entity_gold_stale_cue_ablation,entityabl:1029:move_contents_3_ops:205,-1.1151809692382812,0.7380571365356445,0.24468517303466797,move_contents,7,205,2.117055892944336,1.0018749237060547,2.8551130294799805,2.361741065979004,149,6,3,3,1,10,move_contents_3_ops
RBT,RBT_RS_43022,chck_70M,43022,R,entity_gold_stale_cue_ablation,entityabl:102:regular_2_ops:238,0.3210334777832031,-0.16099166870117188,-0.17069721221923828,regular,9,238,-1.3724727630615234,-1.0514392852783203,-1.5334644317626953,-1.5431699752807617,121,1,2,2,1,11,regular_2_ops
RBT,RBT_RS_43022,chck_70M,43022,R,entity_gold_stale_cue_ablation,entityabl:1030:move_contents_3_ops:207,0.28985118865966797,-0.3834114074707031,0.009061813354492188,move_contents,7,207,0.33611488342285156,0.6259660720825195,-0.04729652404785156,0.34517669677734375,136,2,3,3,1,10,move_contents_3_ops
RBT,RBT_RS_43022,chck_70M,43022,R,entity_gold_stale_cue_ablation,entityabl:1031:move_contents_3_ops:212,-0.8251285552978516,0.14312267303466797,-1.0382452011108398,move_contents,7,212,1.5973701477050781,0.7722415924072266,1.740492820739746,0.5591249465942383,137,2,3,3,1,10,move_contents_3_ops
RBT,RBT_RS_43022,chck_70M,43022,R,entity_gold_stale_cue_ablation,entityabl:1032:move_contents_3_ops:213,0.2822103500366211,-0.38895511627197266,0.0740203857421875,move_contents,7,213,3.322659492492676,3.604869842529297,2.933704376220703,3.3966798782348633,142,5,3,3,1,10,move_contents_3_ops
RBT,RBT_RS_43022,chck_70M,43022,R,entity_gold_stale_cue_ablation,entityabl:1033:move_contents_3_ops:217,-0.12343788146972656,-0.12085151672363281,-0.10497474670410156,move_contents,7,217,1.7304201126098633,1.6069822311401367,1.6095685958862305,1.6254453659057617,149,1,3,3,1,10,move_contents_3_ops
RBT,RBT_RS_43022,chck_70M,43022,R,entity_gold_stale_cue_ablation,entityabl:1034:move_contents_3_ops:225,-0.5566692352294922,-0.5218915939331055,-0.747772216796875,move_contents,8,225,-1.5935287475585938,-2.150197982788086,-2.115420341491699,-2.3413009643554688,148,3,3,3,1,11,move_contents_3_ops
RBT,RBT_RS_43022,chck_70M,43022,R,entity_gold_stale_cue_ablation,entityabl:1035:move_contents_3_ops:232,0.6581439971923828,0.37636852264404297,-0.3992805480957031,move_contents,8,232,-1.560495376586914,-0.9023513793945312,-1.184126853942871,-1.9597759246826172,143,2,3,3,1,11,move_contents_3_ops
