position,target,condition,pair_index,pair_id,target_token_id,rewrite_pos,n_true_src_content,n_unrel_src_content,src_len,unrel_len,true_src_content_mass,unrel_src_content_mass,target_prob,arm,arch,role,seed,checkpoint
96,7152,T,0,"research by warren booth, a biologist at the university of tulsa and a co-author",7152,36,25,34,59,59,4.898482802673243e-05,0.0007947132689878345,2.320100975339301e-06,D_R_43222,D,R,43222,chck_80M
96,7152,U,0,"research by warren booth, a biologist at the university of tulsa and a co-author",7152,36,25,34,59,59,0.010950789786875248,0.01270019169896841,0.0001485721004428342,D_R_43222,D,R,43222,chck_80M
100,2410,T,0,"research by warren booth, a biologist at the university of tulsa and a co-author",2410,40,25,34,59,59,0.7077305316925049,0.01602143608033657,0.001367744873277843,D_R_43222,D,R,43222,chck_80M
100,2410,U,0,"research by warren booth, a biologist at the university of tulsa and a co-author",2410,40,25,34,59,59,0.001811052206903696,0.02081294357776642,0.002228318015113473,D_R_43222,D,R,43222,chck_80M
48,249,T,2,"the new and improved factory farm map, created by food and water watch, uses col",249,4,29,23,43,43,0.000240403795032762,2.673052040336188e-05,0.00024279647914227098,D_R_43222,D,R,43222,chck_80M
48,249,U,2,"the new and improved factory farm map, created by food and water watch, uses col",249,4,29,23,43,43,0.0009824157459661365,0.0004461596254259348,0.0037994671147316694,D_R_43222,D,R,43222,chck_80M
68,6705,T,2,"the new and improved factory farm map, created by food and water watch, uses col",6705,24,29,23,43,43,0.014436930418014526,0.0007714107632637024,5.8788318710867316e-06,D_R_43222,D,R,43222,chck_80M
68,6705,U,2,"the new and improved factory farm map, created by food and water watch, uses col",6705,24,29,23,43,43,0.021152019500732422,0.004732021130621433,6.702735845465213e-05,D_R_43222,D,R,43222,chck_80M
36,7537,T,3,the map project was initiated at the university of oregon and its growth and suc,7537,5,15,17,30,30,0.002809481229633093,0.00030119987786747515,0.000320735911373049,D_R_43222,D,R,43222,chck_80M
36,7537,U,3,the map project was initiated at the university of oregon and its growth and suc,7537,5,15,17,30,30,0.00022680604888591915,0.0004594647034537047,0.00034572809818200767,D_R_43222,D,R,43222,chck_80M
37,731,T,3,the map project was initiated at the university of oregon and its growth and suc,731,6,15,17,30,30,0.00011904125130968168,0.011104770004749298,0.0064286133274436,D_R_43222,D,R,43222,chck_80M
37,731,U,3,the map project was initiated at the university of oregon and its growth and suc,731,6,15,17,30,30,8.434180199401453e-05,0.026675663888454437,0.005505424924194813,D_R_43222,D,R,43222,chck_80M
50,3362,T,4,"in medieval europe prostitution was licensed and regulated by law, but by the 16",3362,0,29,21,49,49,0.9765090346336365,0.00020419903739821166,2.4625453534099506e-06,D_R_43222,D,R,43222,chck_80M
