arch,arm,checkpoint,seed,role,probe_family,probe_id,effect_no_all_relevant_updates,effect_no_initial_qbox,effect_no_last_relevant_update,entity_type,irrelevant_ops,item_index,margin_full,margin_no_all_relevant_updates,margin_no_initial_qbox,margin_no_last_relevant_update,prefix_words_full,query_box,relevant_updates,reported_numops,stale_idx,total_ops,uid
D,D_V_43222,chck_90M,43222,V,entity_gold_stale_cue_ablation,entityabl:0:regular_2_ops:7,1.6866977214813232,1.0618572235107422,0.821696400642395,regular,1,7,6.805553674697876,8.4922513961792,7.867410898208618,7.627250075340271,89,0,2,2,1,3,regular_2_ops
D,D_V_43222,chck_90M,43222,V,entity_gold_stale_cue_ablation,entityabl:1000:move_contents_3_ops:54,-0.37490081787109375,0.2785205841064453,-1.8369336128234863,move_contents,5,54,-2.431942939758301,-2.8068437576293945,-2.1534223556518555,-4.268876552581787,136,5,3,3,1,8,move_contents_3_ops
D,D_V_43222,chck_90M,43222,V,entity_gold_stale_cue_ablation,entityabl:1001:move_contents_3_ops:56,-4.787963390350342,-3.64846134185791,3.259237766265869,move_contents,5,56,5.3283562660217285,0.5403928756713867,1.6798949241638184,8.587594032287598,111,2,3,3,1,8,move_contents_3_ops
D,D_V_43222,chck_90M,43222,V,entity_gold_stale_cue_ablation,entityabl:1002:move_contents_3_ops:71,-1.5397624969482422,0.47306251525878906,0.430422306060791,move_contents,5,71,-5.148067474365234,-6.687829971313477,-4.675004959106445,-4.717645168304443,134,5,3,3,1,8,move_contents_3_ops
D,D_V_43222,chck_90M,43222,V,entity_gold_stale_cue_ablation,entityabl:1003:move_contents_3_ops:78,0.6250381469726562,-0.24043846130371094,0.1050262451171875,move_contents,5,78,-1.334700584411621,-0.7096624374389648,-1.575139045715332,-1.2296743392944336,119,2,3,3,1,8,move_contents_3_ops
D,D_V_43222,chck_90M,43222,V,entity_gold_stale_cue_ablation,entityabl:1004:move_contents_3_ops:91,-0.18678045272827148,-0.8322052955627441,0.46524810791015625,move_contents,5,91,2.7565436363220215,2.56976318359375,1.9243383407592773,3.2217917442321777,124,2,3,3,1,8,move_contents_3_ops
D,D_V_43222,chck_90M,43222,V,entity_gold_stale_cue_ablation,entityabl:1005:move_contents_3_ops:97,-2.4374130964279175,-0.018518447875976562,-0.49731242656707764,move_contents,7,97,8.958030939102173,6.520617842674255,8.939512491226196,8.460718512535095,149,4,2,3,1,9,move_contents_3_ops
D,D_V_43222,chck_90M,43222,V,entity_gold_stale_cue_ablation,entityabl:1006:move_contents_3_ops:108,-1.6852378845214844,0.21982860565185547,-1.6819095611572266,move_contents,6,108,1.4080419540405273,-0.27719593048095703,1.6278705596923828,-0.2738676071166992,143,0,3,3,1,9,move_contents_3_ops
D,D_V_43222,chck_90M,43222,V,entity_gold_stale_cue_ablation,entityabl:1007:move_contents_3_ops:109,-1.1813125610351562,0.6921796798706055,-0.8568897247314453,move_contents,7,109,-2.926239013671875,-4.107551574707031,-2.2340593338012695,-3.7831287384033203,119,4,2,3,1,9,move_contents_3_ops
D,D_V_43222,chck_90M,43222,V,entity_gold_stale_cue_ablation,entityabl:1008:move_contents_3_ops:111,0.28928375244140625,0.043480873107910156,0.20541763305664062,move_contents,7,111,-2.0761241912841797,-1.7868404388427734,-2.0326433181762695,-1.870706558227539,130,0,2,3,1,9,move_contents_3_ops
