subset,seed,role,n_score_rows,n_examples_per_checkpoint,mean_loss,mean_masked
all6992,43022,ALN,20976,6992,2.4967900736341218,34.691933638443935
all6992,43022,OFF,20976,6992,2.509276667981656,34.691933638443935
no_inherited_aln_pair_text_hits4638,43022,ALN,13914,4638,2.332352159534752,35.17011642949547
no_inherited_aln_pair_text_hits4638,43022,OFF,13914,4638,2.342742297976909,35.17011642949547
inherited_aln_pair_text_hit_rows2354,43022,ALN,7062,2354,2.8207760743107895,33.749787595581985
inherited_aln_pair_text_hit_rows2354,43022,OFF,7062,2354,2.837393238959574,33.749787595581985
no_inherited_pair_or_base_dose_stream_hits1743,43022,ALN,5229,1743,2.3213654449499885,35.27596098680436
no_inherited_pair_or_base_dose_stream_hits1743,43022,OFF,5229,1743,2.329247758083856,35.27596098680436
all6992,43122,ALN,20976,6992,2.508413222516149,34.691933638443935
all6992,43122,OFF,20976,6992,2.5212249187753493,34.691933638443935
no_inherited_aln_pair_text_hits4638,43122,ALN,13914,4638,2.344370725104352,35.17011642949547
no_inherited_aln_pair_text_hits4638,43122,OFF,13914,4638,2.35275570606668,35.17011642949547
inherited_aln_pair_text_hit_rows2354,43122,ALN,7062,2354,2.8316201481728673,33.749787595581985
inherited_aln_pair_text_hit_rows2354,43122,OFF,7062,2354,2.853153639481725,33.749787595581985
no_inherited_pair_or_base_dose_stream_hits1743,43122,ALN,5229,1743,2.331971856870532,35.27596098680436
no_inherited_pair_or_base_dose_stream_hits1743,43122,OFF,5229,1743,2.3444318940207935,35.27596098680436
