position,target,condition,pair_index,pair_id,target_token_id,rewrite_pos,n_true_src_content,n_unrel_src_content,src_len,unrel_len,true_src_content_mass,unrel_src_content_mass,target_prob,arm,arch,role,seed,checkpoint
96,7152,T,0,"research by warren booth, a biologist at the university of tulsa and a co-author",7152,36,25,34,59,59,0.0001454068988095969,0.0005839826771989465,1.480207856729976e-06,D_C_43122,D,C,43122,chck_80M
96,7152,U,0,"research by warren booth, a biologist at the university of tulsa and a co-author",7152,36,25,34,59,59,0.0035126064904034138,0.001689655240625143,6.151579873403534e-05,D_C_43122,D,C,43122,chck_80M
100,2410,T,0,"research by warren booth, a biologist at the university of tulsa and a co-author",2410,40,25,34,59,59,0.670973002910614,0.03527401387691498,0.005501704290509224,D_C_43122,D,C,43122,chck_80M
100,2410,U,0,"research by warren booth, a biologist at the university of tulsa and a co-author",2410,40,25,34,59,59,0.001084555173292756,0.058982256799936295,0.0006843166775070131,D_C_43122,D,C,43122,chck_80M
48,249,T,2,"the new and improved factory farm map, created by food and water watch, uses col",249,4,29,23,43,43,0.0005507614696398377,0.00014118962280917913,0.037190236151218414,D_C_43122,D,C,43122,chck_80M
48,249,U,2,"the new and improved factory farm map, created by food and water watch, uses col",249,4,29,23,43,43,0.007009803783148527,0.012597974389791489,0.33442041277885437,D_C_43122,D,C,43122,chck_80M
68,6705,T,2,"the new and improved factory farm map, created by food and water watch, uses col",6705,24,29,23,43,43,0.01753004640340805,0.0008605722687207162,0.00017388701962772757,D_C_43122,D,C,43122,chck_80M
68,6705,U,2,"the new and improved factory farm map, created by food and water watch, uses col",6705,24,29,23,43,43,0.017108360305428505,0.011176276952028275,0.0003300194803159684,D_C_43122,D,C,43122,chck_80M
36,7537,T,3,the map project was initiated at the university of oregon and its growth and suc,7537,5,15,17,30,30,0.13181070983409882,0.001261301920749247,0.0006945608765818179,D_C_43122,D,C,43122,chck_80M
36,7537,U,3,the map project was initiated at the university of oregon and its growth and suc,7537,5,15,17,30,30,0.0022639695089310408,0.0013656968949362636,0.0004530229780357331,D_C_43122,D,C,43122,chck_80M
37,731,T,3,the map project was initiated at the university of oregon and its growth and suc,731,6,15,17,30,30,9.545053035253659e-05,0.023668205365538597,0.007961784489452839,D_C_43122,D,C,43122,chck_80M
37,731,U,3,the map project was initiated at the university of oregon and its growth and suc,731,6,15,17,30,30,0.0003503935586195439,0.0662907063961029,0.011222347617149353,D_C_43122,D,C,43122,chck_80M
50,3362,T,4,"in medieval europe prostitution was licensed and regulated by law, but by the 16",3362,0,29,21,49,49,0.5982407331466675,7.646861195098609e-05,3.1458778266824083e-06,D_C_43122,D,C,43122,chck_80M
50,3362,U,4,"in medieval europe prostitution was licensed and regulated by law, but by the 16",3362,0,29,21,49,49,0.00019377528224140406,0.002556954976171255,0.00046311409096233547,D_C_43122,D,C,43122,chck_80M
72,3861,T,4,"in medieval europe prostitution was licensed and regulated by law, but by the 16",3861,22,29,21,49,49,0.04571332409977913,0.02840944565832615,1.1907025509572122e-05,D_C_43122,D,C,43122,chck_80M
