seed,arm,checkpoint,relevant_updates,prediction_path,correct,item_index,pred_is_stale_initial,prefix_words,reported_numops,source_family,stale_available,stale_is_gold,total_ops,uid
43022,V,chck_80M,0,,0,0,0,61,0,original,1,1,0,ambiref_0_ops
43022,V,chck_80M,0,,1,1,1,67,0,original,1,1,0,ambiref_0_ops
43022,V,chck_80M,0,,0,2,0,85,0,original,1,1,0,ambiref_0_ops
43022,V,chck_80M,0,,1,3,1,65,0,original,1,1,0,ambiref_0_ops
43022,V,chck_80M,0,,1,4,1,73,0,original,1,1,0,ambiref_0_ops
43022,V,chck_80M,0,,0,5,0,79,0,original,1,1,0,ambiref_0_ops
43022,V,chck_80M,0,,0,6,0,71,0,original,1,1,0,ambiref_0_ops
43022,V,chck_80M,0,,0,7,0,79,0,original,1,1,0,ambiref_0_ops
43022,V,chck_80M,0,,0,8,0,75,0,original,1,1,0,ambiref_0_ops
43022,V,chck_80M,0,,0,9,0,73,0,original,1,1,0,ambiref_0_ops
43022,V,chck_80M,0,,1,10,1,77,0,original,1,1,0,ambiref_0_ops
43022,V,chck_80M,0,,0,11,0,73,0,original,1,1,0,ambiref_0_ops
43022,V,chck_80M,0,,0,12,0,73,0,original,1,1,0,ambiref_0_ops
43022,V,chck_80M,0,,0,13,0,67,0,original,1,1,0,ambiref_0_ops
43022,V,chck_80M,0,,0,14,0,63,0,original,1,1,0,ambiref_0_ops
43022,V,chck_80M,0,,1,15,1,77,0,original,1,1,0,ambiref_0_ops
43022,V,chck_80M,0,,0,16,0,69,0,original,1,1,0,ambiref_0_ops
43022,V,chck_80M,0,,0,17,0,69,0,original,1,1,0,ambiref_0_ops
43022,V,chck_80M,0,,0,18,0,65,0,original,1,1,0,ambiref_0_ops
43022,V,chck_80M,0,,1,19,1,65,0,original,1,1,0,ambiref_0_ops
43022,V,chck_80M,0,,0,20,0,63,0,original,1,1,0,ambiref_0_ops
43022,V,chck_80M,0,,1,21,1,71,0,original,1,1,0,ambiref_0_ops
43022,V,chck_80M,0,,1,22,1,69,0,original,1,1,0,ambiref_0_ops
43022,V,chck_80M,0,,1,23,1,65,0,original,1,1,0,ambiref_0_ops
43022,V,chck_80M,0,,0,24,0,73,0,original,1,1,0,ambiref_0_ops
43022,V,chck_80M,0,,0,25,0,61,0,original,1,1,0,ambiref_0_ops
43022,V,chck_80M,0,,0,26,0,67,0,original,1,1,0,ambiref_0_ops
43022,V,chck_80M,0,,1,27,1,65,0,original,1,1,0,ambiref_0_ops
43022,V,chck_80M,0,,0,28,0,53,0,original,1,1,0,ambiref_0_ops
43022,V,chck_80M,0,,0,29,0,81,0,original,1,1,0,ambiref_0_ops
43022,V,chck_80M,0,,0,30,0,53,0,original,1,1,0,ambiref_0_ops
43022,V,chck_80M,0,,0,31,0,63,0,original,1,1,0,ambiref_0_ops
43022,V,chck_80M,0,,0,32,0,49,0,original,1,1,0,ambiref_0_ops
43022,V,chck_80M,0,,0,33,0,73,0,original,1,1,0,ambiref_0_ops
43022,V,chck_80M,0,,1,34,1,61,0,original,1,1,0,ambiref_0_ops
43022,V,chck_80M,0,,1,35,1,71,0,original,1,1,0,ambiref_0_ops
43022,V,chck_80M,0,,0,36,0,73,0,original,1,1,0,ambiref_0_ops
43022,V,chck_80M,0,,0,37,0,69,0,original,1,1,0,ambiref_0_ops
43022,V,chck_80M,0,,0,38,0,65,0,original,1,1,0,ambiref_0_ops
43022,V,chck_80M,0,,1,39,1,69,0,original,1,1,0,ambiref_0_ops
43022,V,chck_80M,0,,0,40,0,71,0,original,1,1,0,ambiref_0_ops
43022,V,chck_80M,0,,0,41,0,77,0,original,1,1,0,ambiref_0_ops
43022,V,chck_80M,0,,0,42,0,89,0,original,1,1,0,ambiref_0_ops
43022,V,chck_80M,0,,1,43,1,77,0,original,1,1,0,ambiref_0_ops
43022,V,chck_80M,0,,1,44,1,85,0,original,1,1,0,ambiref_0_ops
43022,V,chck_80M,0,,0,45,0,69,0,original,1,1,0,ambiref_0_ops
43022,V,chck_80M,0,,0,46,0,71,0,original,1,1,0,ambiref_0_ops
43022,V,chck_80M,0,,1,47,1,97,0,original,1,1,0,ambiref_0_ops
43022,V,chck_80M,0,,0,48,0,61,0,original,1,1,0,ambiref_0_ops
43022,V,chck_80M,0,,0,49,0,79,0,original,1,1,0,ambiref_0_ops
43022,V,chck_80M,0,,0,50,0,63,0,original,1,1,0,ambiref_0_ops
43022,V,chck_80M,0,,1,51,1,59,0,original,1,1,0,ambiref_0_ops
43022,V,chck_80M,0,,1,52,1,79,0,original,1,1,0,ambiref_0_ops
43022,V,chck_80M,0,,0,53,0,77,0,original,1,1,0,ambiref_0_ops
43022,V,chck_80M,0,,0,54,0,81,0,original,1,1,0,ambiref_0_ops
43022,V,chck_80M,0,,1,55,1,61,0,original,1,1,0,ambiref_0_ops
43022,V,chck_80M,0,,1,56,1,55,0,original,1,1,0,ambiref_0_ops
43022,V,chck_80M,0,,1,57,1,73,0,original,1,1,0,ambiref_0_ops
43022,V,chck_80M,0,,0,58,0,57,0,original,1,1,0,ambiref_0_ops
43022,V,chck_80M,0,,0,59,0,53,0,original,1,1,0,ambiref_0_ops
43022,V,chck_80M,0,,0,60,0,67,0,original,1,1,0,ambiref_0_ops
43022,V,chck_80M,0,,0,61,0,69,0,original,1,1,0,ambiref_0_ops
43022,V,chck_80M,0,,1,62,1,61,0,original,1,1,0,ambiref_0_ops
43022,V,chck_80M,0,,0,63,0,51,0,original,1,1,0,ambiref_0_ops
43022,V,chck_80M,0,,1,64,1,71,0,original,1,1,0,ambiref_0_ops
43022,V,chck_80M,0,,0,65,0,97,0,original,1,1,0,ambiref_0_ops
43022,V,chck_80M,0,,1,66,1,77,0,original,1,1,0,ambiref_0_ops
43022,V,chck_80M,0,,0,67,0,85,0,original,1,1,0,ambiref_0_ops
43022,V,chck_80M,0,,0,68,0,79,0,original,1,1,0,ambiref_0_ops
43022,V,chck_80M,0,,0,69,0,73,0,original,1,1,0,ambiref_0_ops
43022,V,chck_80M,0,,0,70,0,65,0,original,1,1,0,ambiref_0_ops
43022,V,chck_80M,0,,0,71,0,69,0,original,1,1,0,ambiref_0_ops
43022,V,chck_80M,0,,0,72,0,97,0,original,1,1,0,ambiref_0_ops
43022,V,chck_80M,0,,1,73,1,75,0,original,1,1,0,ambiref_0_ops
43022,V,chck_80M,0,,0,74,0,53,0,original,1,1,0,ambiref_0_ops
43022,V,chck_80M,0,,0,75,0,77,0,original,1,1,0,ambiref_0_ops
43022,V,chck_80M,0,,1,76,1,49,0,original,1,1,0,ambiref_0_ops
43022,V,chck_80M,0,,1,77,1,67,0,original,1,1,0,ambiref_0_ops
43022,V,chck_80M,0,,0,78,0,63,0,original,1,1,0,ambiref_0_ops
43022,V,chck_80M,0,,0,79,0,67,0,original,1,1,0,ambiref_0_ops
43022,V,chck_80M,0,,0,80,0,67,0,original,1,1,0,ambiref_0_ops
43022,V,chck_80M,0,,1,81,1,59,0,original,1,1,0,ambiref_0_ops
43022,V,chck_80M,0,,0,82,0,71,0,original,1,1,0,ambiref_0_ops
43022,V,chck_80M,0,,1,83,1,71,0,original,1,1,0,ambiref_0_ops
43022,V,chck_80M,0,,0,84,0,85,0,original,1,1,0,ambiref_0_ops
43022,V,chck_80M,0,,0,85,0,81,0,original,1,1,0,ambiref_0_ops
43022,V,chck_80M,0,,0,86,0,61,0,original,1,1,0,ambiref_0_ops
43022,V,chck_80M,0,,0,87,0,75,0,original,1,1,0,ambiref_0_ops
43022,V,chck_80M,0,,0,88,0,77,0,original,1,1,0,ambiref_0_ops
43022,V,chck_80M,0,,1,89,1,77,0,original,1,1,0,ambiref_0_ops
