group,n,V_acc,R_acc,VminusR,prior_cross_seed_VminusR,preregistered_band,in_band
ALL,6780,25.9,25.06,0.85,nan,,
rel_updates_0,1541,36.88,39.56,-2.68,-9.42,"[-12.0, -6.0]",False
rel_updates_1,1323,16.58,15.75,0.83,2.16,,
rel_updates_2,1266,22.41,19.93,2.47,3.19,,
rel_updates_3,1230,23.9,21.76,2.14,7.54,"[4.0, 12.0]",False
rel_updates_4,1112,27.61,25.57,2.04,8.74,"[4.0, 12.0]",False
rel_updates_5,308,27.27,24.89,2.38,7.41,,
rel_ge1,5239,22.68,20.79,1.88,nan,,
rel_ge2,3916,24.74,22.5,2.24,nan,,
rel_ge3,2650,25.85,23.72,2.13,nan,,
