feature,definition
stream_count,Exact lower-cased word-boundary occurrences in the 100M stream.
occurrence_row_count,Number of stream rows containing the word.
char_len,Characters in the lexical item.
vowel_group_count,Regex vowel-group syllable proxy.
subword_len,Number of deployed tokenizer pieces without special tokens.
single_piece,One if the word is one deployed-tokenizer piece.
first_piece_id_scaled,First piece ID divided by vocabulary size; tokenizer geometry diagnostic.
piece_logfreq_mean,Mean log per-million frequency of the word's pieces in the research 30M token scan.
piece_logfreq_min,Minimum piece log frequency.
piece_logfreq_max,Maximum piece log frequency.
whole_logfreq,Smoothed log word occurrences per million over the full stream.
row_logfreq,Smoothed log occurrence rows per million stream rows.
occurrences_per_row,Occurrences divided by rows containing the word.
childes_enrichment,CHILDES log frequency minus whole-stream log frequency.
spoken_enrichment,CHILDES+BNC spoken+Switchboard log frequency minus whole-stream log frequency.
source_entropy,Normalized entropy of occurrences across sources.
first_occurrence_log10_position,Log10 approximate first word position in actual stream order.
median_occurrence_log10_position,Log10 median position estimated in 1M-word bins.
occurrence_centroid_fraction,Mean approximate occurrence position divided by 100M.
occurrence_position_sd_fraction,SD of approximate occurrence positions divided by 100M.
mean_occurrence_row_words,Occurrence-weighted mean row length from row metadata.
mean_relative_row_position,Occurrence-weighted target position within alphabetic row tokens.
mean_clause_words,Occurrence-weighted alphabetic token count between punctuation/speaker boundaries.
clause_le3_fraction,Fraction of occurrences in clauses of at most three tokens (bare/short mention proxy).
clause_le8_fraction,Fraction in clauses of at most eight tokens.
child_speaker_fraction,Fraction of all occurrences under a preceding *CHI: speaker tag.
suffix_ing,Legal corpus/tokenizer statistic; see variable name and script implementation.
suffix_ed,Legal corpus/tokenizer statistic; see variable name and script implementation.
suffix_plural_s,Legal corpus/tokenizer statistic; see variable name and script implementation.
suffix_y,Legal corpus/tokenizer statistic; see variable name and script implementation.
count_src__bnc_spoken,Exact word-boundary occurrence count in the named source.
logfreq_src__bnc_spoken,Smoothed log word occurrences per million words in the named source.
count_src__childes,Exact word-boundary occurrence count in the named source.
logfreq_src__childes,Smoothed log word occurrences per million words in the named source.
count_src__cleanqwen_fineweb_compact_view_reinvest,Exact word-boundary occurrence count in the named source.
logfreq_src__cleanqwen_fineweb_compact_view_reinvest,Smoothed log word occurrences per million words in the named source.
count_src__gutenberg,Exact word-boundary occurrence count in the named source.
logfreq_src__gutenberg,Smoothed log word occurrences per million words in the named source.
count_src__neutral_cleanqwen_topup_compact_reinvest::open_subtitles,Exact word-boundary occurrence count in the named source.
logfreq_src__neutral_cleanqwen_topup_compact_reinvest::open_subtitles,Smoothed log word occurrences per million words in the named source.
count_src__open_subtitles,Exact word-boundary occurrence count in the named source.
logfreq_src__open_subtitles,Smoothed log word occurrences per million words in the named source.
count_src__qwen_pair_packed,Exact word-boundary occurrence count in the named source.
logfreq_src__qwen_pair_packed,Smoothed log word occurrences per million words in the named source.
count_src__simple_wiki,Exact word-boundary occurrence count in the named source.
logfreq_src__simple_wiki,Smoothed log word occurrences per million words in the named source.
count_src__switchboard,Exact word-boundary occurrence count in the named source.
logfreq_src__switchboard,Smoothed log word occurrences per million words in the named source.
childes_logfreq,Legal corpus/tokenizer statistic; see variable name and script implementation.
spoken_logfreq,Legal corpus/tokenizer statistic; see variable name and script implementation.
childes_occurrence_fraction,Legal corpus/tokenizer statistic; see variable name and script implementation.
spoken_occurrence_fraction,Legal corpus/tokenizer statistic; see variable name and script implementation.
qwen_occurrence_fraction,Legal corpus/tokenizer statistic; see variable name and script implementation.
source_presence_count,Legal corpus/tokenizer statistic; see variable name and script implementation.
early_1m_fraction,Legal corpus/tokenizer statistic; see variable name and script implementation.
early_5m_fraction,Legal corpus/tokenizer statistic; see variable name and script implementation.
early_10m_fraction,Legal corpus/tokenizer statistic; see variable name and script implementation.
early_20m_fraction,Legal corpus/tokenizer statistic; see variable name and script implementation.
early_50m_fraction,Legal corpus/tokenizer statistic; see variable name and script implementation.
last_10m_fraction,Legal corpus/tokenizer statistic; see variable name and script implementation.
sd_occurrence_row_words,Legal corpus/tokenizer statistic; see variable name and script implementation.
first_row_quarter_fraction,Legal corpus/tokenizer statistic; see variable name and script implementation.
last_row_quarter_fraction,Legal corpus/tokenizer statistic; see variable name and script implementation.
clause_initial_fraction,Legal corpus/tokenizer statistic; see variable name and script implementation.
uppercase_fraction,Legal corpus/tokenizer statistic; see variable name and script implementation.
speaker_tagged_fraction,Legal corpus/tokenizer statistic; see variable name and script implementation.
prev_determiner_fraction,Legal corpus/tokenizer statistic; see variable name and script implementation.
prev_possessive_fraction,Legal corpus/tokenizer statistic; see variable name and script implementation.
prev_to_fraction,Legal corpus/tokenizer statistic; see variable name and script implementation.
prev_pronoun_fraction,Legal corpus/tokenizer statistic; see variable name and script implementation.
prev_copula_fraction,Legal corpus/tokenizer statistic; see variable name and script implementation.
next_copula_fraction,Legal corpus/tokenizer statistic; see variable name and script implementation.
