arch,arm,checkpoint,seed,role,probe_family,probe_id,span_len,gain,companion_words,repeated_nll,source_domain,source_example_id,source_words,unrepeated_nll
D,D_RS_43122,chck_90M,43122,R,heldout_natural_source_repeat,heldoutcopy:1:0:34715,1,0.8330876566469669,11,0.013499286025762558,gutenberg,34715,18,0.8465869426727295
D,D_RS_43122,chck_90M,43122,R,heldout_natural_source_repeat,heldoutcopy:1:100:46093,1,0.017128337174654007,8,0.057228829711675644,open_subtitles,46093,11,0.07435716688632965
D,D_RS_43122,chck_90M,43122,R,heldout_natural_source_repeat,heldoutcopy:1:101:9638,1,1.3523050025105476,8,0.04392831772565842,childes,9638,11,1.396233320236206
D,D_RS_43122,chck_90M,43122,R,heldout_natural_source_repeat,heldoutcopy:1:102:38847,1,2.1596962176263332,8,0.03375757113099098,open_subtitles,38847,12,2.193453788757324
D,D_RS_43122,chck_90M,43122,R,heldout_natural_source_repeat,heldoutcopy:1:103:25389,1,6.434050245210528,28,0.017209367826581,gutenberg,25389,52,6.451259613037109
D,D_RS_43122,chck_90M,43122,R,heldout_natural_source_repeat,heldoutcopy:1:104:23610,1,3.4459896944463253,8,0.039281997829675674,gutenberg,23610,11,3.485271692276001
D,D_RS_43122,chck_90M,43122,R,heldout_natural_source_repeat,heldoutcopy:1:105:9850,1,-4.2668572859838605e-05,19,0.00021705655672121793,childes,9850,31,0.00017438798386137933
D,D_RS_43122,chck_90M,43122,R,heldout_natural_source_repeat,heldoutcopy:1:106:33545,1,-0.00035517290234565735,28,0.04853054881095886,gutenberg,33545,48,0.048175375908613205
D,D_RS_43122,chck_90M,43122,R,heldout_natural_source_repeat,heldoutcopy:1:107:27677,1,4.733832150697708,8,0.18104097247123718,gutenberg,27677,11,4.914873123168945
D,D_RS_43122,chck_90M,43122,R,heldout_natural_source_repeat,heldoutcopy:1:108:31140,1,0.004593990743160248,11,0.031953517347574234,gutenberg,31140,18,0.03654750809073448
D,D_RS_43122,chck_90M,43122,R,heldout_natural_source_repeat,heldoutcopy:1:109:39267,1,0.1743132583796978,8,0.04265933111310005,open_subtitles,39267,11,0.21697258949279785
D,D_RS_43122,chck_90M,43122,R,heldout_natural_source_repeat,heldoutcopy:1:10:4664,1,4.453775679692626,8,0.028965676203370094,bnc_spoken,4664,10,4.482741355895996
D,D_RS_43122,chck_90M,43122,R,heldout_natural_source_repeat,heldoutcopy:1:110:42641,1,9.692142501473427,8,0.2085847705602646,open_subtitles,42641,11,9.900727272033691
D,D_RS_43122,chck_90M,43122,R,heldout_natural_source_repeat,heldoutcopy:1:111:16252,1,1.1725582033395767,9,0.15391407907009125,childes,16252,14,1.326472282409668
D,D_RS_43122,chck_90M,43122,R,heldout_natural_source_repeat,heldoutcopy:1:112:21179,1,5.419470906257629,9,1.3128107786178589,childes,21179,14,6.732281684875488
D,D_RS_43122,chck_90M,43122,R,heldout_natural_source_repeat,heldoutcopy:1:113:36547,1,3.8889724016189575,13,0.8943780660629272,gutenberg,36547,21,4.783350467681885
D,D_RS_43122,chck_90M,43122,R,heldout_natural_source_repeat,heldoutcopy:1:114:31372,1,11.185602560639381,28,0.09385739266872406,gutenberg,31372,53,11.279459953308105
D,D_RS_43122,chck_90M,43122,R,heldout_natural_source_repeat,heldoutcopy:1:115:48479,1,7.731256484985352,8,0.7535066604614258,open_subtitles,48479,12,8.484763145446777
D,D_RS_43122,chck_90M,43122,R,heldout_natural_source_repeat,heldoutcopy:1:116:8771,1,2.5636949837207794,8,0.136001318693161,childes,8771,10,2.6996963024139404
D,D_RS_43122,chck_90M,43122,R,heldout_natural_source_repeat,heldoutcopy:1:117:35397,1,3.137034699320793,8,0.07805962860584259,gutenberg,35397,12,3.2150943279266357
D,D_RS_43122,chck_90M,43122,R,heldout_natural_source_repeat,heldoutcopy:1:118:21260,1,1.203486356884241,8,0.01380714401602745,childes,21260,10,1.2172935009002686
D,D_RS_43122,chck_90M,43122,R,heldout_natural_source_repeat,heldoutcopy:1:119:13377,1,6.120911240577698,8,0.07014596462249756,childes,13377,13,6.191057205200195
D,D_RS_43122,chck_90M,43122,R,heldout_natural_source_repeat,heldoutcopy:1:11:10575,1,-0.5538220405578613,11,3.0969176292419434,childes,10575,17,2.543095588684082
D,D_RS_43122,chck_90M,43122,R,heldout_natural_source_repeat,heldoutcopy:1:120:16330,1,2.3804833963513374,8,0.12334989756345749,childes,16330,10,2.503833293914795
D,D_RS_43122,chck_90M,43122,R,heldout_natural_source_repeat,heldoutcopy:1:121:47969,1,3.650360107421875,19,11.619532585144043,open_subtitles,47969,30,15.269892692565918
D,D_RS_43122,chck_90M,43122,R,heldout_natural_source_repeat,heldoutcopy:1:122:37483,1,16.572364449501038,8,0.14297902584075928,gutenberg,37483,10,16.715343475341797
D,D_RS_43122,chck_90M,43122,R,heldout_natural_source_repeat,heldoutcopy:1:123:14826,1,0.004127494990825653,13,0.08501065522432327,childes,14826,21,0.08913815021514893
D,D_RS_43122,chck_90M,43122,R,heldout_natural_source_repeat,heldoutcopy:1:124:40156,1,1.6500793658196926,8,0.008514884859323502,open_subtitles,40156,10,1.6585942506790161
D,D_RS_43122,chck_90M,43122,R,heldout_natural_source_repeat,heldoutcopy:1:125:19420,1,1.8446497917175293,9,2.5415186882019043,childes,19420,14,4.386168479919434
D,D_RS_43122,chck_90M,43122,R,heldout_natural_source_repeat,heldoutcopy:1:126:27140,1,3.3856492433696985,11,0.010847529396414757,gutenberg,27140,17,3.3964967727661133
D,D_RS_43122,chck_90M,43122,R,heldout_natural_source_repeat,heldoutcopy:1:127:7181,1,1.9047980329487473,8,0.0038117149379104376,childes,7181,12,1.9086097478866577
D,D_RS_43122,chck_90M,43122,R,heldout_natural_source_repeat,heldoutcopy:1:128:27695,1,1.4985739514231682,8,0.06983751803636551,gutenberg,27695,12,1.5684114694595337
D,D_RS_43122,chck_90M,43122,R,heldout_natural_source_repeat,heldoutcopy:1:129:1384,1,-0.5661009550094604,12,1.6471761465072632,bnc_spoken,1384,19,1.0810751914978027
D,D_RS_43122,chck_90M,43122,R,heldout_natural_source_repeat,heldoutcopy:1:12:16004,1,0.6840626001358032,15,0.05767679214477539,childes,16004,24,0.7417393922805786
D,D_RS_43122,chck_90M,43122,R,heldout_natural_source_repeat,heldoutcopy:1:130:20591,1,2.3390117147937417,8,0.015503599308431149,childes,20591,13,2.354515314102173
D,D_RS_43122,chck_90M,43122,R,heldout_natural_source_repeat,heldoutcopy:1:131:21970,1,1.597848266363144,9,0.13037720322608948,childes,21970,14,1.7282254695892334
D,D_RS_43122,chck_90M,43122,R,heldout_natural_source_repeat,heldoutcopy:1:132:8436,1,1.4936876147985458,8,0.021313205361366272,childes,8436,11,1.515000820159912
D,D_RS_43122,chck_90M,43122,R,heldout_natural_source_repeat,heldoutcopy:1:133:59742,1,0.010522376745939255,16,0.021063677966594696,simple_wiki,59742,25,0.03158605471253395
D,D_RS_43122,chck_90M,43122,R,heldout_natural_source_repeat,heldoutcopy:1:134:55526,1,0.029623378068208694,9,0.007968422025442123,simple_wiki,55526,14,0.03759180009365082
D,D_RS_43122,chck_90M,43122,R,heldout_natural_source_repeat,heldoutcopy:1:135:29340,1,15.685468137264252,8,0.7717500329017639,gutenberg,29340,10,16.457218170166016
D,D_RS_43122,chck_90M,43122,R,heldout_natural_source_repeat,heldoutcopy:1:136:33364,1,8.610832929611206,27,0.009834527969360352,gutenberg,33364,44,8.620667457580566
D,D_RS_43122,chck_90M,43122,R,heldout_natural_source_repeat,heldoutcopy:1:137:55845,1,1.620017897337675,18,0.019401658326387405,simple_wiki,55845,29,1.6394195556640625
D,D_RS_43122,chck_90M,43122,R,heldout_natural_source_repeat,heldoutcopy:1:138:49750,1,1.9690004587173462,8,0.22401082515716553,open_subtitles,49750,12,2.1930112838745117
D,D_RS_43122,chck_90M,43122,R,heldout_natural_source_repeat,heldoutcopy:1:139:46059,1,9.117114782333374,8,0.2243959903717041,open_subtitles,46059,10,9.341510772705078
D,D_RS_43122,chck_90M,43122,R,heldout_natural_source_repeat,heldoutcopy:1:13:41264,1,16.271365597844124,8,0.16783003509044647,open_subtitles,41264,10,16.43919563293457
D,D_RS_43122,chck_90M,43122,R,heldout_natural_source_repeat,heldoutcopy:1:140:10122,1,-0.09333282709121704,19,0.418524831533432,childes,10122,30,0.32519200444221497
D,D_RS_43122,chck_90M,43122,R,heldout_natural_source_repeat,heldoutcopy:1:141:2911,1,0.4784803241491318,17,0.08105821907520294,bnc_spoken,2911,27,0.5595385432243347
D,D_RS_43122,chck_90M,43122,R,heldout_natural_source_repeat,heldoutcopy:1:142:29628,1,-0.0966707319021225,15,0.2231968641281128,gutenberg,29628,24,0.1265261322259903
D,D_RS_43122,chck_90M,43122,R,heldout_natural_source_repeat,heldoutcopy:1:143:3336,1,0.18647704645991325,28,0.033033180981874466,bnc_spoken,3336,47,0.21951022744178772
D,D_RS_43122,chck_90M,43122,R,heldout_natural_source_repeat,heldoutcopy:1:144:39750,1,2.6201463118195534,8,0.023342810571193695,open_subtitles,39750,10,2.643489122390747
D,D_RS_43122,chck_90M,43122,R,heldout_natural_source_repeat,heldoutcopy:1:145:11887,1,0.050880917347967625,8,0.004675171338021755,childes,11887,11,0.05555608868598938
