arm,checkpoint,seed,role,probe_family,probe_id,span_len,gain,companion_words,repeated_nll,source_domain,source_example_id,source_words,unrepeated_nll
D_R_43022,chck_90M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:0:34715,1,3.1451946441084146,11,0.007847195491194725,gutenberg,34715,18,3.1530418395996094
D_R_43022,chck_90M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:100:46093,1,0.0015118606388568878,8,0.017108358442783356,open_subtitles,46093,11,0.018620219081640244
D_R_43022,chck_90M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:101:9638,1,1.6848140601068735,8,0.027343427762389183,childes,9638,11,1.7121574878692627
D_R_43022,chck_90M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:102:38847,1,2.351814656984061,8,0.005282491911202669,open_subtitles,38847,12,2.3570971488952637
D_R_43022,chck_90M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:103:25389,1,5.003694907296449,28,0.004906281363219023,gutenberg,25389,52,5.008601188659668
D_R_43022,chck_90M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:104:23610,1,6.863952239975333,8,0.011384407058358192,gutenberg,23610,11,6.875336647033691
D_R_43022,chck_90M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:105:9850,1,0.00027697223413269967,19,0.0001147919538198039,childes,9850,31,0.00039176418795250356
D_R_43022,chck_90M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:106:33545,1,-0.00811176747083664,28,0.039943695068359375,gutenberg,33545,48,0.031831927597522736
D_R_43022,chck_90M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:107:27677,1,2.971168965101242,8,0.0511036217212677,gutenberg,27677,11,3.0222725868225098
D_R_43022,chck_90M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:108:31140,1,-0.00483354926109314,11,0.04221418872475624,gutenberg,31140,18,0.0373806394636631
D_R_43022,chck_90M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:109:39267,1,0.08719820901751518,8,0.004932615906000137,open_subtitles,39267,11,0.09213082492351532
D_R_43022,chck_90M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:10:4664,1,4.773978766053915,8,0.030363980680704117,bnc_spoken,4664,10,4.804342746734619
D_R_43022,chck_90M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:110:42641,1,12.167480087839067,8,0.011165046133100986,open_subtitles,42641,11,12.178645133972168
D_R_43022,chck_90M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:111:16252,1,1.3911622017621994,9,0.0842173844575882,childes,16252,14,1.4753795862197876
D_R_43022,chck_90M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:112:21179,1,6.9941474832594395,9,0.019452866166830063,childes,21179,14,7.0136003494262695
D_R_43022,chck_90M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:113:36547,1,3.9380751848220825,13,1.6637881994247437,gutenberg,36547,21,5.601863384246826
D_R_43022,chck_90M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:114:31372,1,4.216495092958212,28,0.008768979460000992,gutenberg,31372,53,4.225264072418213
D_R_43022,chck_90M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:115:48479,1,8.196879789233208,8,0.09639604389667511,open_subtitles,48479,12,8.293275833129883
D_R_43022,chck_90M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:116:8771,1,2.8638714030385017,8,0.04157298058271408,childes,8771,10,2.905444383621216
D_R_43022,chck_90M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:117:35397,1,1.9734140448272228,8,0.05684508755803108,gutenberg,35397,12,2.030259132385254
D_R_43022,chck_90M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:118:21260,1,1.4013225315138698,8,0.009935331530869007,childes,21260,10,1.4112578630447388
D_R_43022,chck_90M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:119:13377,1,12.911779895424843,8,0.0503830760717392,childes,13377,13,12.962162971496582
D_R_43022,chck_90M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:11:10575,1,-0.005170032382011414,11,0.15109460055828094,childes,10575,17,0.14592456817626953
D_R_43022,chck_90M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:120:16330,1,2.4050327241420746,8,0.14854422211647034,childes,16330,10,2.553576946258545
D_R_43022,chck_90M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:121:47969,1,16.14714425802231,19,0.7036400437355042,open_subtitles,47969,30,16.850784301757812
D_R_43022,chck_90M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:122:37483,1,13.180802561342716,8,0.0253617987036705,gutenberg,37483,10,13.206164360046387
D_R_43022,chck_90M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:123:14826,1,0.06357001513242722,13,0.08803271502256393,childes,14826,21,0.15160273015499115
D_R_43022,chck_90M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:124:40156,1,3.0930789252743125,8,0.0055109718814492226,open_subtitles,40156,10,3.0985898971557617
D_R_43022,chck_90M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:125:19420,1,4.072440445423126,9,0.3545514941215515,childes,19420,14,4.426991939544678
D_R_43022,chck_90M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:126:27140,1,1.9758733129128814,11,0.00871757511049509,gutenberg,27140,17,1.9845908880233765
D_R_43022,chck_90M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:127:7181,1,5.5843994775787,8,0.009714826010167599,childes,7181,12,5.594114303588867
D_R_43022,chck_90M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:128:27695,1,2.429788079112768,8,0.05239633098244667,gutenberg,27695,12,2.482184410095215
D_R_43022,chck_90M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:129:1384,1,0.0016343072056770325,12,0.013840769417583942,bnc_spoken,1384,19,0.015475076623260975
D_R_43022,chck_90M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:12:16004,1,0.7384195923805237,15,0.1269034743309021,childes,16004,24,0.8653230667114258
D_R_43022,chck_90M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:130:20591,1,2.570115614682436,8,0.0189790241420269,childes,20591,13,2.589094638824463
D_R_43022,chck_90M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:131:21970,1,1.5587338991463184,9,0.044016044586896896,childes,21970,14,1.6027499437332153
D_R_43022,chck_90M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:132:8436,1,1.115370074287057,8,0.015961846336722374,childes,8436,11,1.1313319206237793
D_R_43022,chck_90M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:133:59742,1,0.14858442754484713,16,0.002303210785612464,simple_wiki,59742,25,0.1508876383304596
D_R_43022,chck_90M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:134:55526,1,0.02987339487299323,9,0.0017093108035624027,simple_wiki,55526,14,0.031582705676555634
D_R_43022,chck_90M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:135:29340,1,19.08827283233404,8,0.03416559845209122,gutenberg,29340,10,19.122438430786133
D_R_43022,chck_90M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:136:33364,1,4.7138126490172,27,0.00273913168348372,gutenberg,33364,44,4.716551780700684
D_R_43022,chck_90M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:137:55845,1,2.515994912479073,18,0.004198902752250433,simple_wiki,55845,29,2.5201938152313232
D_R_43022,chck_90M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:138:49750,1,2.376189425587654,8,0.027565762400627136,open_subtitles,49750,12,2.4037551879882812
D_R_43022,chck_90M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:139:46059,1,4.665670547634363,8,0.012605514377355576,open_subtitles,46059,10,4.678276062011719
D_R_43022,chck_90M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:13:41264,1,17.42338652908802,8,0.043768927454948425,open_subtitles,41264,10,17.46715545654297
D_R_43022,chck_90M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:140:10122,1,-0.021094828844070435,19,0.2266756296157837,childes,10122,30,0.20558080077171326
D_R_43022,chck_90M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:141:2911,1,1.0121971713379025,17,0.01080330740660429,bnc_spoken,2911,27,1.0230004787445068
D_R_43022,chck_90M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:142:29628,1,-8.96696001291275e-05,15,0.010363809764385223,gutenberg,29628,24,0.010274140164256096
D_R_43022,chck_90M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:143:3336,1,0.7409462630748749,28,0.008946925401687622,bnc_spoken,3336,47,0.7498931884765625
D_R_43022,chck_90M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:144:39750,1,0.753264572005719,8,0.004697952885180712,open_subtitles,39750,10,0.7579625248908997
