arm,checkpoint,seed,role,probe_family,probe_id,effect_no_all_relevant_updates,effect_no_initial_qbox,effect_no_last_relevant_update,entity_type,irrelevant_ops,item_index,margin_full,margin_no_all_relevant_updates,margin_no_initial_qbox,margin_no_last_relevant_update,prefix_words_full,query_box,relevant_updates,reported_numops,stale_idx,total_ops,uid
D_V_43122,chck_80M,43122,V,entity_gold_stale_cue_ablation,entityabl:0:regular_2_ops:7,-2.3193111419677734,-3.134256601333618,-1.602884292602539,regular,1,7,12.653907060623169,10.334595918655396,9.51965045928955,11.05102276802063,89,0,2,2,1,3,regular_2_ops
D_V_43122,chck_80M,43122,V,entity_gold_stale_cue_ablation,entityabl:1000:move_contents_3_ops:54,-2.3951292037963867,-0.6731081008911133,-0.7584915161132812,move_contents,5,54,0.14218425750732422,-2.2529449462890625,-0.5309238433837891,-0.616307258605957,136,5,3,3,1,8,move_contents_3_ops
D_V_43122,chck_80M,43122,V,entity_gold_stale_cue_ablation,entityabl:1001:move_contents_3_ops:56,-10.863647103309631,-2.0545350313186646,-0.038837432861328125,move_contents,5,56,10.634472012519836,-0.22917509078979492,8.579936981201172,10.595634579658508,111,2,3,3,1,8,move_contents_3_ops
D_V_43122,chck_80M,43122,V,entity_gold_stale_cue_ablation,entityabl:1002:move_contents_3_ops:71,-5.026042461395264,-0.06338882446289062,0.025981903076171875,move_contents,5,71,-3.9693603515625,-8.995402812957764,-4.032749176025391,-3.943378448486328,134,5,3,3,1,8,move_contents_3_ops
D_V_43122,chck_80M,43122,V,entity_gold_stale_cue_ablation,entityabl:1003:move_contents_3_ops:78,0.5101070404052734,-0.04151630401611328,0.2323627471923828,move_contents,5,78,0.19570350646972656,0.705810546875,0.15418720245361328,0.4280662536621094,119,2,3,3,1,8,move_contents_3_ops
D_V_43122,chck_80M,43122,V,entity_gold_stale_cue_ablation,entityabl:1004:move_contents_3_ops:91,0.9148435592651367,-0.8752498626708984,1.400947093963623,move_contents,5,91,2.562281608581543,3.4771251678466797,1.6870317459106445,3.963228702545166,124,2,3,3,1,8,move_contents_3_ops
D_V_43122,chck_80M,43122,V,entity_gold_stale_cue_ablation,entityabl:1005:move_contents_3_ops:97,-1.4047348499298096,0.4882049560546875,-1.9756031036376953,move_contents,7,97,10.129307746887207,8.724572896957397,10.617512702941895,8.153704643249512,149,4,2,3,1,9,move_contents_3_ops
D_V_43122,chck_80M,43122,V,entity_gold_stale_cue_ablation,entityabl:1006:move_contents_3_ops:108,0.062383174896240234,0.08799600601196289,-0.7013158798217773,move_contents,6,108,4.319911479949951,4.382294654846191,4.407907485961914,3.618595600128174,143,0,3,3,1,9,move_contents_3_ops
D_V_43122,chck_80M,43122,V,entity_gold_stale_cue_ablation,entityabl:1007:move_contents_3_ops:109,-1.0287528038024902,0.08628416061401367,-1.1728992462158203,move_contents,7,109,-2.650322914123535,-3.6790757179260254,-2.5640387535095215,-3.8232221603393555,119,4,2,3,1,9,move_contents_3_ops
D_V_43122,chck_80M,43122,V,entity_gold_stale_cue_ablation,entityabl:1008:move_contents_3_ops:111,-0.2679471969604492,0.06394100189208984,0.12715482711791992,move_contents,7,111,-2.2329530715942383,-2.5009002685546875,-2.1690120697021484,-2.1057982444763184,130,0,2,3,1,9,move_contents_3_ops
D_V_43122,chck_80M,43122,V,entity_gold_stale_cue_ablation,entityabl:1009:move_contents_3_ops:112,0.3967437744140625,-2.6091179847717285,-1.5616397857666016,move_contents,6,112,-0.9002227783203125,-0.50347900390625,-3.509340763092041,-2.461862564086914,128,2,3,3,1,9,move_contents_3_ops
D_V_43122,chck_80M,43122,V,entity_gold_stale_cue_ablation,entityabl:100:regular_2_ops:234,-0.1519460678100586,0.18498516082763672,-0.14576244354248047,regular,9,234,-2.493443489074707,-2.6453895568847656,-2.3084583282470703,-2.6392059326171875,127,1,2,2,1,11,regular_2_ops
D_V_43122,chck_80M,43122,V,entity_gold_stale_cue_ablation,entityabl:1010:move_contents_3_ops:122,0.31499767303466797,0.45288562774658203,0.18189048767089844,move_contents,6,122,0.7990713119506836,1.1140689849853516,1.2519569396972656,0.980961799621582,149,5,3,3,1,9,move_contents_3_ops
D_V_43122,chck_80M,43122,V,entity_gold_stale_cue_ablation,entityabl:1011:move_contents_3_ops:123,-0.5680694580078125,0.2519683837890625,0.12150382995605469,move_contents,7,123,-1.9178953170776367,-2.485964775085449,-1.6659269332885742,-1.796391487121582,127,4,2,3,1,9,move_contents_3_ops
D_V_43122,chck_80M,43122,V,entity_gold_stale_cue_ablation,entityabl:1012:move_contents_3_ops:127,-2.159557342529297,-0.4708089828491211,-0.5618276596069336,move_contents,6,127,3.695845603942871,1.5362882614135742,3.22503662109375,3.1340179443359375,140,1,3,3,1,9,move_contents_3_ops
D_V_43122,chck_80M,43122,V,entity_gold_stale_cue_ablation,entityabl:1013:move_contents_3_ops:134,-1.6961607933044434,0.052580833435058594,-0.3840484619140625,move_contents,6,134,0.7861709594726562,-0.9099898338317871,0.8387517929077148,0.40212249755859375,145,5,3,3,1,9,move_contents_3_ops
D_V_43122,chck_80M,43122,V,entity_gold_stale_cue_ablation,entityabl:1014:move_contents_3_ops:140,-8.121606469154358,-0.23477232456207275,-7.648110032081604,move_contents,7,140,7.8736244440078735,-0.24798202514648438,7.638852119445801,0.22551441192626953,122,3,2,3,1,9,move_contents_3_ops
D_V_43122,chck_80M,43122,V,entity_gold_stale_cue_ablation,entityabl:1015:move_contents_3_ops:151,-18.99496603012085,-0.727529764175415,-17.688438892364502,move_contents,7,151,15.182203769683838,-3.8127622604370117,14.454674005508423,-2.506235122680664,137,2,3,3,1,10,move_contents_3_ops
D_V_43122,chck_80M,43122,V,entity_gold_stale_cue_ablation,entityabl:1016:move_contents_3_ops:153,-2.0156898498535156,-0.4799156188964844,0.12528324127197266,move_contents,7,153,2.8541717529296875,0.8384819030761719,2.374256134033203,2.97945499420166,136,3,3,3,1,10,move_contents_3_ops
D_V_43122,chck_80M,43122,V,entity_gold_stale_cue_ablation,entityabl:1017:move_contents_3_ops:155,-0.07174301147460938,-0.5369749069213867,-0.12241458892822266,move_contents,7,155,2.908719062805176,2.8369760513305664,2.371744155883789,2.786304473876953,133,2,3,3,1,10,move_contents_3_ops
D_V_43122,chck_80M,43122,V,entity_gold_stale_cue_ablation,entityabl:1018:move_contents_3_ops:157,0.7617931365966797,-2.6697874069213867,-0.4711017608642578,move_contents,7,157,-1.276331901550293,-0.5145387649536133,-3.9461193084716797,-1.7474336624145508,152,2,3,3,1,10,move_contents_3_ops
D_V_43122,chck_80M,43122,V,entity_gold_stale_cue_ablation,entityabl:1019:move_contents_3_ops:158,-1.2968018054962158,0.4874711036682129,0.6144278049468994,move_contents,8,158,11.038940906524658,9.742139101028442,11.526412010192871,11.653368711471558,158,4,2,3,1,10,move_contents_3_ops
D_V_43122,chck_80M,43122,V,entity_gold_stale_cue_ablation,entityabl:101:regular_2_ops:237,-0.13750028610229492,-0.11489391326904297,-0.1601266860961914,regular,9,237,-0.0428466796875,-0.18034696578979492,-0.15774059295654297,-0.2029733657836914,130,6,2,2,1,11,regular_2_ops
D_V_43122,chck_80M,43122,V,entity_gold_stale_cue_ablation,entityabl:1020:move_contents_3_ops:161,-1.021470069885254,-0.11453723907470703,-0.43802928924560547,move_contents,8,161,-1.8887052536010742,-2.910175323486328,-2.0032424926757812,-2.3267345428466797,125,4,2,3,1,10,move_contents_3_ops
D_V_43122,chck_80M,43122,V,entity_gold_stale_cue_ablation,entityabl:1021:move_contents_3_ops:169,-5.53106164932251,-0.026432037353515625,-5.694758892059326,move_contents,8,169,7.627979755401611,2.0969181060791016,7.601547718048096,1.9332208633422852,137,2,2,3,1,10,move_contents_3_ops
D_V_43122,chck_80M,43122,V,entity_gold_stale_cue_ablation,entityabl:1022:move_contents_3_ops:175,-0.9039492607116699,0.4399547576904297,-0.8511757850646973,move_contents,7,175,-3.548478603363037,-4.452427864074707,-3.1085238456726074,-4.399654388427734,139,2,3,3,1,10,move_contents_3_ops
D_V_43122,chck_80M,43122,V,entity_gold_stale_cue_ablation,entityabl:1023:move_contents_3_ops:181,-6.611681938171387,-0.022658824920654297,-6.109370231628418,move_contents,8,181,5.628320693969727,-0.9833612442016602,5.605661869049072,-0.4810495376586914,131,3,2,3,1,10,move_contents_3_ops
D_V_43122,chck_80M,43122,V,entity_gold_stale_cue_ablation,entityabl:1024:move_contents_3_ops:185,-2.563267707824707,-0.12371110916137695,-0.7881650924682617,move_contents,7,185,4.745408535003662,2.182140827178955,4.621697425842285,3.9572434425354004,142,4,3,3,1,10,move_contents_3_ops
D_V_43122,chck_80M,43122,V,entity_gold_stale_cue_ablation,entityabl:1025:move_contents_3_ops:191,-1.331498146057129,0.12034893035888672,2.37821102142334,move_contents,8,191,-0.6800098419189453,-2.011507987976074,-0.5596609115600586,1.6982011795043945,125,0,2,3,1,10,move_contents_3_ops
D_V_43122,chck_80M,43122,V,entity_gold_stale_cue_ablation,entityabl:1026:move_contents_3_ops:192,-8.439839363098145,-0.2286052703857422,-5.399789810180664,move_contents,7,192,1.7917413711547852,-6.648097991943359,1.563136100769043,-3.608048439025879,146,6,3,3,1,10,move_contents_3_ops
D_V_43122,chck_80M,43122,V,entity_gold_stale_cue_ablation,entityabl:1027:move_contents_3_ops:193,0.8041830062866211,-1.897416114807129,0.6506061553955078,move_contents,7,193,-2.7878246307373047,-1.9836416244506836,-4.685240745544434,-2.137218475341797,137,2,3,3,1,10,move_contents_3_ops
D_V_43122,chck_80M,43122,V,entity_gold_stale_cue_ablation,entityabl:1028:move_contents_3_ops:197,0.0004277229309082031,0.0653829574584961,-0.3978567123413086,move_contents,8,197,-4.591861724853516,-4.591434001922607,-4.5264787673950195,-4.989718437194824,136,0,2,3,1,10,move_contents_3_ops
