position,target,condition,pair_index,pair_id,target_token_id,rewrite_pos,n_true_src_content,n_unrel_src_content,src_len,unrel_len,true_src_content_mass,unrel_src_content_mass,target_prob,arm,arch,role,seed,checkpoint
96,7152,T,0,"research by warren booth, a biologist at the university of tulsa and a co-author",7152,36,25,34,59,59,0.7520711421966553,0.0003658229543361813,0.002046458888798952,D_V_43222,D,V,43222,chck_100M
96,7152,U,0,"research by warren booth, a biologist at the university of tulsa and a co-author",7152,36,25,34,59,59,0.021033773198723793,0.0028930397238582373,0.003012895118445158,D_V_43222,D,V,43222,chck_100M
100,2410,T,0,"research by warren booth, a biologist at the university of tulsa and a co-author",2410,40,25,34,59,59,0.9548079371452332,0.0021816156804561615,0.0008393690222874284,D_V_43222,D,V,43222,chck_100M
100,2410,U,0,"research by warren booth, a biologist at the university of tulsa and a co-author",2410,40,25,34,59,59,0.002127013634890318,0.0296376533806324,0.0021479714196175337,D_V_43222,D,V,43222,chck_100M
48,249,T,2,"the new and improved factory farm map, created by food and water watch, uses col",249,4,29,23,43,43,0.03613390773534775,0.0012699877843260765,0.04340830817818642,D_V_43222,D,V,43222,chck_100M
48,249,U,2,"the new and improved factory farm map, created by food and water watch, uses col",249,4,29,23,43,43,0.01919611543416977,0.0177651084959507,0.2040160745382309,D_V_43222,D,V,43222,chck_100M
68,6705,T,2,"the new and improved factory farm map, created by food and water watch, uses col",6705,24,29,23,43,43,0.15347498655319214,0.01385157648473978,0.012923999689519405,D_V_43222,D,V,43222,chck_100M
68,6705,U,2,"the new and improved factory farm map, created by food and water watch, uses col",6705,24,29,23,43,43,0.0578821524977684,0.019643079489469528,0.002632313873618841,D_V_43222,D,V,43222,chck_100M
36,7537,T,3,the map project was initiated at the university of oregon and its growth and suc,7537,5,15,17,30,30,0.05779647454619408,0.0003842088335659355,0.0005200754385441542,D_V_43222,D,V,43222,chck_100M
36,7537,U,3,the map project was initiated at the university of oregon and its growth and suc,7537,5,15,17,30,30,0.0009234530152752995,0.00046652619494125247,0.0002871422911994159,D_V_43222,D,V,43222,chck_100M
37,731,T,3,the map project was initiated at the university of oregon and its growth and suc,731,6,15,17,30,30,0.00022901753254700452,0.00829759519547224,0.004804409109055996,D_V_43222,D,V,43222,chck_100M
37,731,U,3,the map project was initiated at the university of oregon and its growth and suc,731,6,15,17,30,30,6.665590626653284e-05,0.007090635597705841,0.0015732228057458997,D_V_43222,D,V,43222,chck_100M
50,3362,T,4,"in medieval europe prostitution was licensed and regulated by law, but by the 16",3362,0,29,21,49,49,0.8387834429740906,0.00023526469885837287,0.0010828858939930797,D_V_43222,D,V,43222,chck_100M
50,3362,U,4,"in medieval europe prostitution was licensed and regulated by law, but by the 16",3362,0,29,21,49,49,0.000887845759280026,0.0944468304514885,0.00882092397660017,D_V_43222,D,V,43222,chck_100M
72,3861,T,4,"in medieval europe prostitution was licensed and regulated by law, but by the 16",3861,22,29,21,49,49,0.08730315417051315,0.07840325683355331,0.018552560359239578,D_V_43222,D,V,43222,chck_100M
72,3861,U,4,"in medieval europe prostitution was licensed and regulated by law, but by the 16",3861,22,29,21,49,49,0.0013479470508173108,0.0034466281067579985,6.935135752428323e-05,D_V_43222,D,V,43222,chck_100M
44,10571,T,5,"if you are not a smoker, you should avoid people who smokes because research fro",10571,0,20,23,43,43,0.0005816277698613703,9.280938684241846e-05,0.0013168201548978686,D_V_43222,D,V,43222,chck_100M
44,10571,U,5,"if you are not a smoker, you should avoid people who smokes because research fro",10571,0,20,23,43,43,0.05528571829199791,0.00035777274752035737,0.0005144049064256251,D_V_43222,D,V,43222,chck_100M
66,1799,T,5,"if you are not a smoker, you should avoid people who smokes because research fro",1799,22,20,23,43,43,0.22463081777095795,0.04351523146033287,0.0002609684888739139,D_V_43222,D,V,43222,chck_100M
66,1799,U,5,"if you are not a smoker, you should avoid people who smokes because research fro",1799,22,20,23,43,43,0.007737333420664072,0.023379437625408173,0.0006860660505481064,D_V_43222,D,V,43222,chck_100M
