column,subtask,subgroup,group_level,group_id,n_items,rise_gains,rise_losses,rise_unchanged,rise_net,rise_net_pct,rise_gain_pct,rise_loss_pct,rise_churn_pct,fall_gains,fall_losses,fall_unchanged,fall_net,fall_net_pct,fall_gain_pct,fall_loss_pct,fall_churn_pct
BLiMP,sentential_subject_island,island_effects,column+subtask+subgroup,BLiMP||sentential_subject_island||island_effects,961,5,38,918,-33,-3.433922996878252,0.5202913631633715,3.954214360041623,4.474505723204994,11,7,943,4,0.41623309053069724,1.1446409989594173,0.72840790842872,1.8730489073881373
BLiMP,npi_present_1,npi_licensing,column+subtask+subgroup,BLiMP||npi_present_1||npi_licensing,909,32,4,873,28,3.08030803080308,3.52035203520352,0.44004400440044,3.9603960396039604,1,25,883,-24,-2.6402640264026402,0.11001100110011,2.7502750275027505,2.8602860286028604
BLiMP,npi_present_2,npi_licensing,column+subtask+subgroup,BLiMP||npi_present_2||npi_licensing,914,33,7,874,26,2.8446389496717726,3.6105032822757113,0.7658643326039387,4.3763676148796495,7,15,892,-8,-0.87527352297593,0.7658643326039387,1.6411378555798686,2.4070021881838075
BLiMP,irregular_past_participle_verbs,irregular_forms,column+subtask+subgroup,BLiMP||irregular_past_participle_verbs||irregular_forms,942,1,25,916,-24,-2.547770700636943,0.10615711252653928,2.6539278131634823,2.7600849256900215,11,12,919,-1,-0.10615711252653928,1.167728237791932,1.2738853503184715,2.4416135881104037
BLiMP,wh_vs_that_with_gap_long_distance,filler_gap_dependency,column+subtask+subgroup,BLiMP||wh_vs_that_with_gap_long_distance||filler_gap_dependency,910,0,22,888,-22,-2.417582417582418,0.0,2.417582417582418,2.417582417582418,5,1,904,4,0.43956043956043955,0.5494505494505495,0.10989010989010989,0.6593406593406593
BLiMP,wh_vs_that_with_gap,filler_gap_dependency,column+subtask+subgroup,BLiMP||wh_vs_that_with_gap||filler_gap_dependency,919,6,28,885,-22,-2.3939064200217626,0.6528835690968444,3.0467899891186074,3.6996735582154514,15,6,898,9,0.9793253536452665,1.632208922742111,0.6528835690968444,2.2850924918389555
BLiMP,sentential_negation_npi_scope,npi_licensing,column+subtask+subgroup,BLiMP||sentential_negation_npi_scope||npi_licensing,871,23,3,845,20,2.2962112514351323,2.640642939150402,0.3444316877152698,2.9850746268656714,7,6,858,1,0.1148105625717566,0.8036739380022963,0.6888633754305395,1.4925373134328357
BLiMP,wh_vs_that_no_gap_long_distance,filler_gap_dependency,column+subtask+subgroup,BLiMP||wh_vs_that_no_gap_long_distance||filler_gap_dependency,875,21,2,852,19,2.1714285714285713,2.4,0.2285714285714286,2.6285714285714286,1,6,868,-5,-0.5714285714285714,0.1142857142857143,0.6857142857142857,0.8
BLiMP,superlative_quantifiers_1,quantifiers,column+subtask+subgroup,BLiMP||superlative_quantifiers_1||quantifiers,979,22,1,956,21,2.1450459652706844,2.247191011235955,0.10214504596527069,2.3493360572012256,11,3,965,8,0.8171603677221655,1.1235955056179776,0.30643513789581206,1.4300306435137897
BLiMP,wh_island,island_effects,column+subtask+subgroup,BLiMP||wh_island||island_effects,960,9,29,922,-20,-2.083333333333333,0.9375,3.0208333333333335,3.958333333333333,10,19,931,-9,-0.9375,1.0416666666666665,1.9791666666666665,3.0208333333333335
BLiMP,existential_there_quantifiers_2,quantifiers,column+subtask+subgroup,BLiMP||existential_there_quantifiers_2||quantifiers,911,18,6,887,12,1.3172338090010975,1.9758507135016465,0.6586169045005488,2.634467618002195,4,22,885,-18,-1.9758507135016465,0.43907793633369924,2.4149286498353457,2.8540065861690453
BLiMP,only_npi_licensor_present,npi_licensing,column+subtask+subgroup,BLiMP||only_npi_licensor_present||npi_licensing,882,13,15,854,-2,-0.22675736961451248,1.473922902494331,1.7006802721088436,3.1746031746031744,6,23,853,-17,-1.9274376417233559,0.6802721088435374,2.6077097505668934,3.2879818594104306
BLiMP,complex_NP_island,island_effects,column+subtask+subgroup,BLiMP||complex_NP_island||island_effects,846,15,7,824,8,0.9456264775413712,1.773049645390071,0.8274231678486997,2.6004728132387704,4,20,822,-16,-1.8912529550827424,0.4728132387706856,2.3640661938534278,2.8368794326241136
BLiMP,wh_vs_that_no_gap,filler_gap_dependency,column+subtask+subgroup,BLiMP||wh_vs_that_no_gap||filler_gap_dependency,861,22,6,833,16,1.8583042973286876,2.5551684088269457,0.6968641114982579,3.2520325203252036,3,11,847,-8,-0.9291521486643438,0.34843205574912894,1.2775842044134729,1.6260162601626018
BLiMP,principle_A_reconstruction,binding,column+subtask+subgroup,BLiMP||principle_A_reconstruction||binding,967,7,24,936,-17,-1.7580144777662874,0.7238883143743536,2.481902792140641,3.205791106514995,13,14,940,-1,-0.1034126163391934,1.344364012409514,1.4477766287487073,2.792140641158221
BLiMP,matrix_question_npi_licensor_present,npi_licensing,column+subtask+subgroup,BLiMP||matrix_question_npi_licensor_present||npi_licensing,929,7,12,910,-5,-0.5382131324004306,0.7534983853606028,1.2917115177610334,2.045209903121636,3,19,907,-16,-1.7222820236813776,0.32292787944025836,2.045209903121636,2.3681377825618943
BLiMP,left_branch_island_echo_question,island_effects,column+subtask+subgroup,BLiMP||left_branch_island_echo_question||island_effects,947,16,6,925,10,1.0559662090813093,1.689545934530095,0.6335797254487857,2.3231256599788805,18,4,925,14,1.478352692713833,1.9007391763463568,0.42238648363252373,2.3231256599788805
BLiMP,drop_argument,argument_structure,column+subtask+subgroup,BLiMP||drop_argument||argument_structure,920,8,21,891,-13,-1.4130434782608696,0.8695652173913043,2.282608695652174,3.152173913043478,9,7,904,2,0.21739130434782608,0.9782608695652175,0.7608695652173914,1.7391304347826086
BLiMP,wh_questions_object_gap,filler_gap_dependency,column+subtask+subgroup,BLiMP||wh_questions_object_gap||filler_gap_dependency,859,27,15,817,12,1.3969732246798603,3.143189755529686,1.7462165308498252,4.889406286379511,14,12,833,2,0.23282887077997672,1.629802095459837,1.3969732246798603,3.026775320139697
BLiMP,passive_2,argument_structure,column+subtask+subgroup,BLiMP||passive_2||argument_structure,903,2,12,889,-10,-1.1074197120708749,0.22148394241417496,1.3289036544850499,1.550387596899225,12,0,891,12,1.3289036544850499,1.3289036544850499,0.0,1.3289036544850499
BLiMP,tough_vs_raising_2,control_raising,column+subtask+subgroup,BLiMP||tough_vs_raising_2||control_raising,920,18,6,896,12,1.3043478260869565,1.956521739130435,0.6521739130434783,2.608695652173913,10,10,900,0,0.0,1.0869565217391304,1.0869565217391304,2.1739130434782608
BLiMP,anaphor_number_agreement,anaphor_agreement,column+subtask+subgroup,BLiMP||anaphor_number_agreement||anaphor_agreement,931,15,3,913,12,1.288936627282492,1.611170784103115,0.322234156820623,1.933404940923738,3,10,918,-7,-0.7518796992481203,0.322234156820623,1.0741138560687433,1.3963480128893664
BLiMP,principle_A_domain_3,binding,column+subtask+subgroup,BLiMP||principle_A_domain_3||binding,941,16,28,897,-12,-1.2752391073326248,1.7003188097768331,2.975557917109458,4.675876726886291,20,19,902,1,0.10626992561105207,2.1253985122210417,2.0191285866099893,4.1445270988310305
BLiMP,left_branch_island_simple_question,island_effects,column+subtask+subgroup,BLiMP||left_branch_island_simple_question||island_effects,951,15,14,922,1,0.10515247108307045,1.5772870662460567,1.4721345951629863,3.0494216614090432,20,8,923,12,1.2618296529968454,2.1030494216614093,0.8412197686645636,2.9442691903259726
BLiMP,tough_vs_raising_1,control_raising,column+subtask+subgroup,BLiMP||tough_vs_raising_1||control_raising,948,11,22,915,-11,-1.160337552742616,1.160337552742616,2.320675105485232,3.481012658227848,2,13,933,-11,-1.160337552742616,0.21097046413502107,1.3713080168776373,1.5822784810126582
BLiMP,wh_questions_subject_gap,filler_gap_dependency,column+subtask+subgroup,BLiMP||wh_questions_subject_gap||filler_gap_dependency,898,14,4,880,10,1.1135857461024499,1.55902004454343,0.4454342984409799,2.0044543429844097,6,12,880,-6,-0.6681514476614699,0.6681514476614699,1.3363028953229399,2.0044543429844097
BLiMP,inchoative,argument_structure,column+subtask+subgroup,BLiMP||inchoative||argument_structure,855,5,9,841,-4,-0.46783625730994155,0.5847953216374269,1.0526315789473684,1.6374269005847955,2,11,842,-9,-1.0526315789473684,0.23391812865497078,1.2865497076023393,1.5204678362573099
BLiMP,wh_questions_subject_gap_long_distance,filler_gap_dependency,column+subtask+subgroup,BLiMP||wh_questions_subject_gap_long_distance||filler_gap_dependency,857,9,0,848,9,1.0501750291715286,1.0501750291715286,0.0,1.0501750291715286,2,4,851,-2,-0.2333722287047841,0.2333722287047841,0.4667444574095682,0.7001166861143524
BLiMP,ellipsis_n_bar_1,ellipsis,column+subtask+subgroup,BLiMP||ellipsis_n_bar_1||ellipsis,802,11,9,782,2,0.24937655860349126,1.3715710723192018,1.1221945137157108,2.493765586034913,14,6,782,8,0.997506234413965,1.7456359102244388,0.7481296758104738,2.493765586034913
BLiMP,principle_A_domain_1,binding,column+subtask+subgroup,BLiMP||principle_A_domain_1||binding,914,11,11,892,0,0.0,1.2035010940919038,1.2035010940919038,2.4070021881838075,4,13,897,-9,-0.9846827133479212,0.437636761487965,1.4223194748358863,1.8599562363238513
BLiMP,principle_A_case_2,binding,column+subtask+subgroup,BLiMP||principle_A_case_2||binding,915,12,10,893,2,0.2185792349726776,1.3114754098360655,1.092896174863388,2.4043715846994536,4,13,898,-9,-0.9836065573770493,0.4371584699453552,1.4207650273224044,1.8579234972677594
BLiMP,existential_there_subject_raising,control_raising,column+subtask+subgroup,BLiMP||existential_there_subject_raising||control_raising,924,16,7,901,9,0.974025974025974,1.7316017316017316,0.7575757575757576,2.4891774891774894,2,11,911,-9,-0.974025974025974,0.21645021645021645,1.1904761904761905,1.406926406926407
BLiMP,principle_A_c_command,binding,column+subtask+subgroup,BLiMP||principle_A_c_command||binding,946,18,16,912,2,0.21141649048625794,1.9027484143763214,1.6913319238900635,3.5940803382663846,17,8,921,9,0.9513742071881607,1.7970401691331923,0.8456659619450317,2.6427061310782243
BLiMP,expletive_it_object_raising,control_raising,column+subtask+subgroup,BLiMP||expletive_it_object_raising||control_raising,759,5,12,742,-7,-0.922266139657444,0.6587615283267457,1.5810276679841897,2.2397891963109355,6,8,745,-2,-0.2635046113306983,0.7905138339920948,1.0540184453227932,1.844532279314888
BLiMP,distractor_agreement_relational_noun,subject_verb_agreement,column+subtask+subgroup,BLiMP||distractor_agreement_relational_noun||subject_verb_agreement,788,14,13,761,1,0.12690355329949238,1.7766497461928936,1.6497461928934012,3.4263959390862944,18,11,759,7,0.8883248730964468,2.284263959390863,1.3959390862944163,3.6802030456852792
BLiMP,coordinate_structure_constraint_complex_left_branch,island_effects,column+subtask+subgroup,BLiMP||coordinate_structure_constraint_complex_left_branch||island_effects,906,15,18,873,-3,-0.33112582781456956,1.6556291390728477,1.9867549668874174,3.642384105960265,10,18,878,-8,-0.8830022075055187,1.1037527593818985,1.9867549668874174,3.090507726269316
BLiMP,sentential_negation_npi_licensor_present,npi_licensing,column+subtask+subgroup,BLiMP||sentential_negation_npi_licensor_present||npi_licensing,919,2,4,913,-2,-0.2176278563656148,0.2176278563656148,0.4352557127312296,0.6528835690968444,8,0,911,8,0.8705114254624592,0.8705114254624592,0.0,0.8705114254624592
BLiMP,only_npi_scope,npi_licensing,column+subtask+subgroup,BLiMP||only_npi_scope||npi_licensing,837,16,9,812,7,0.8363201911589008,1.911589008363202,1.0752688172043012,2.986857825567503,5,8,824,-3,-0.35842293906810035,0.5973715651135006,0.955794504181601,1.5531660692951015
BLiMP,irregular_plural_subject_verb_agreement_1,subject_verb_agreement,column+subtask+subgroup,BLiMP||irregular_plural_subject_verb_agreement_1||subject_verb_agreement,804,8,10,786,-2,-0.24875621890547264,0.9950248756218906,1.2437810945273633,2.2388059701492535,12,6,786,6,0.7462686567164178,1.4925373134328357,0.7462686567164178,2.2388059701492535
BLiMP,regular_plural_subject_verb_agreement_2,subject_verb_agreement,column+subtask+subgroup,BLiMP||regular_plural_subject_verb_agreement_2||subject_verb_agreement,945,4,11,930,-7,-0.7407407407407408,0.4232804232804233,1.164021164021164,1.5873015873015872,6,10,929,-4,-0.4232804232804233,0.6349206349206349,1.0582010582010581,1.6931216931216932
BLiMP,determiner_noun_agreement_irregular_1,determiner_noun_agreement,column+subtask+subgroup,BLiMP||determiner_noun_agreement_irregular_1||determiner_noun_agreement,681,5,2,674,3,0.4405286343612335,0.7342143906020557,0.2936857562408223,1.0279001468428781,3,8,670,-5,-0.7342143906020557,0.4405286343612335,1.1747430249632893,1.6152716593245229
