arch,arm,checkpoint,seed,role,probe_family,probe_id,effect_no_all_relevant_updates,effect_no_initial_qbox,effect_no_last_relevant_update,entity_type,irrelevant_ops,item_index,margin_full,margin_no_all_relevant_updates,margin_no_initial_qbox,margin_no_last_relevant_update,prefix_words_full,query_box,relevant_updates,reported_numops,stale_idx,total_ops,uid
D,D_C_43222,chck_80M,43222,C,entity_gold_stale_cue_ablation,entityabl:0:regular_2_ops:7,-0.4733141362667084,0.44831421971321106,0.7095483243465424,regular,1,7,7.278998792171478,6.80568465590477,7.727313011884689,7.988547116518021,89,0,2,2,1,3,regular_2_ops
D,D_C_43222,chck_80M,43222,C,entity_gold_stale_cue_ablation,entityabl:1000:move_contents_3_ops:54,-1.6461524963378906,-0.1173868179321289,-1.048142433166504,move_contents,5,54,-2.5471906661987305,-4.193343162536621,-2.6645774841308594,-3.5953330993652344,136,5,3,3,1,8,move_contents_3_ops
D,D_C_43222,chck_80M,43222,C,entity_gold_stale_cue_ablation,entityabl:1001:move_contents_3_ops:56,-8.12428879737854,-1.839808702468872,-0.9275152683258057,move_contents,5,56,7.036003351211548,-1.0882854461669922,5.196194648742676,6.108488082885742,111,2,3,3,1,8,move_contents_3_ops
D,D_C_43222,chck_80M,43222,C,entity_gold_stale_cue_ablation,entityabl:1002:move_contents_3_ops:71,-5.111105442047119,0.39470958709716797,1.0653648376464844,move_contents,5,71,0.5502462387084961,-4.560859203338623,0.9449558258056641,1.6156110763549805,134,5,3,3,1,8,move_contents_3_ops
D,D_C_43222,chck_80M,43222,C,entity_gold_stale_cue_ablation,entityabl:1003:move_contents_3_ops:78,0.2427053451538086,-1.4349489212036133,-0.8566322326660156,move_contents,5,78,1.4709358215332031,1.7136411666870117,0.035986900329589844,0.6143035888671875,119,2,3,3,1,8,move_contents_3_ops
D,D_C_43222,chck_80M,43222,C,entity_gold_stale_cue_ablation,entityabl:1004:move_contents_3_ops:91,-1.2035036087036133,0.13945770263671875,0.09863090515136719,move_contents,5,91,-1.4760656356811523,-2.6795692443847656,-1.3366079330444336,-1.3774347305297852,124,2,3,3,1,8,move_contents_3_ops
D,D_C_43222,chck_80M,43222,C,entity_gold_stale_cue_ablation,entityabl:1005:move_contents_3_ops:97,-2.9343682378530502,10.415495544672012,1.8619636595249176,move_contents,7,97,-1.745872050523758,-4.680240288376808,8.669623494148254,0.11609160900115967,149,4,2,3,1,9,move_contents_3_ops
D,D_C_43222,chck_80M,43222,C,entity_gold_stale_cue_ablation,entityabl:1006:move_contents_3_ops:108,-2.887385368347168,-0.3123650550842285,-3.8428173065185547,move_contents,6,108,3.806229591369629,0.9188442230224609,3.4938645362854004,-0.03658771514892578,143,0,3,3,1,9,move_contents_3_ops
D,D_C_43222,chck_80M,43222,C,entity_gold_stale_cue_ablation,entityabl:1007:move_contents_3_ops:109,-0.9758749008178711,0.7349982261657715,-1.2460317611694336,move_contents,7,109,-3.5380477905273438,-4.513922691345215,-2.8030495643615723,-4.784079551696777,119,4,2,3,1,9,move_contents_3_ops
D,D_C_43222,chck_80M,43222,C,entity_gold_stale_cue_ablation,entityabl:1008:move_contents_3_ops:111,0.13937020301818848,-0.03446316719055176,0.4215579032897949,move_contents,7,111,-6.475749731063843,-6.336379528045654,-6.5102128982543945,-6.054191827774048,130,0,2,3,1,9,move_contents_3_ops
D,D_C_43222,chck_80M,43222,C,entity_gold_stale_cue_ablation,entityabl:1009:move_contents_3_ops:112,0.9818382263183594,-7.287829697132111,-0.3032231330871582,move_contents,6,112,-6.2359490394592285,-5.254110813140869,-13.523778736591339,-6.539172172546387,128,2,3,3,1,9,move_contents_3_ops
D,D_C_43222,chck_80M,43222,C,entity_gold_stale_cue_ablation,entityabl:100:regular_2_ops:234,-0.5226192474365234,0.8111753463745117,-0.018219947814941406,regular,9,234,-0.16512298583984375,-0.6877422332763672,0.646052360534668,-0.18334293365478516,127,1,2,2,1,11,regular_2_ops
D,D_C_43222,chck_80M,43222,C,entity_gold_stale_cue_ablation,entityabl:1010:move_contents_3_ops:122,-1.1931309700012207,0.5362110137939453,-0.11678409576416016,move_contents,6,122,1.5797433853149414,0.3866124153137207,2.1159543991088867,1.4629592895507812,149,5,3,3,1,9,move_contents_3_ops
D,D_C_43222,chck_80M,43222,C,entity_gold_stale_cue_ablation,entityabl:1011:move_contents_3_ops:123,-1.4666929244995117,2.379153251647949,-0.5309982299804688,move_contents,7,123,1.3489503860473633,-0.11774253845214844,3.7281036376953125,0.8179521560668945,127,4,2,3,1,9,move_contents_3_ops
