arch,arm,checkpoint,seed,role,probe_family,probe_id,effect_no_all_relevant_updates,effect_no_initial_qbox,effect_no_last_relevant_update,entity_type,irrelevant_ops,item_index,margin_full,margin_no_all_relevant_updates,margin_no_initial_qbox,margin_no_last_relevant_update,prefix_words_full,query_box,relevant_updates,reported_numops,stale_idx,total_ops,uid
D,D_VS_43022,chck_90M,43022,V,entity_gold_stale_cue_ablation,entityabl:0:regular_2_ops:7,-1.7637381553649902,-0.06130945682525635,-1.6238691806793213,regular,1,7,7.793322920799255,6.029584765434265,7.732013463973999,6.169453740119934,89,0,2,2,1,3,regular_2_ops
D,D_VS_43022,chck_90M,43022,V,entity_gold_stale_cue_ablation,entityabl:1000:move_contents_3_ops:54,-2.988748550415039,-0.6154947280883789,-2.5778074264526367,move_contents,5,54,2.159334182739258,-0.8294143676757812,1.543839454650879,-0.4184732437133789,136,5,3,3,1,8,move_contents_3_ops
D,D_VS_43022,chck_90M,43022,V,entity_gold_stale_cue_ablation,entityabl:1001:move_contents_3_ops:56,-16.174272298812866,-5.892554759979248,-0.30243706703186035,move_contents,5,56,6.205698013305664,-9.968574285507202,0.313143253326416,5.903260946273804,111,2,3,3,1,8,move_contents_3_ops
D,D_VS_43022,chck_90M,43022,V,entity_gold_stale_cue_ablation,entityabl:1002:move_contents_3_ops:71,-0.3159470558166504,-0.2675762176513672,1.6153898239135742,move_contents,5,71,1.2737131118774414,0.957766056060791,1.0061368942260742,2.8891029357910156,134,5,3,3,1,8,move_contents_3_ops
D,D_VS_43022,chck_90M,43022,V,entity_gold_stale_cue_ablation,entityabl:1003:move_contents_3_ops:78,0.6608753204345703,-0.41390228271484375,0.6007823944091797,move_contents,5,78,-0.807464599609375,-0.1465892791748047,-1.2213668823242188,-0.2066822052001953,119,2,3,3,1,8,move_contents_3_ops
D,D_VS_43022,chck_90M,43022,V,entity_gold_stale_cue_ablation,entityabl:1004:move_contents_3_ops:91,-0.10425662994384766,-0.7087745666503906,0.30046939849853516,move_contents,5,91,1.371138572692871,1.2668819427490234,0.6623640060424805,1.6716079711914062,124,2,3,3,1,8,move_contents_3_ops
D,D_VS_43022,chck_90M,43022,V,entity_gold_stale_cue_ablation,entityabl:1005:move_contents_3_ops:97,-2.077712059020996,6.4233784675598145,-2.4364569187164307,move_contents,7,97,1.8549952507019043,-0.2227168083190918,8.278373718261719,-0.5814616680145264,149,4,2,3,1,9,move_contents_3_ops
D,D_VS_43022,chck_90M,43022,V,entity_gold_stale_cue_ablation,entityabl:1006:move_contents_3_ops:108,-1.9444575309753418,0.26600122451782227,-3.0064358711242676,move_contents,6,108,0.4749608039855957,-1.469496726989746,0.740962028503418,-2.531475067138672,143,0,3,3,1,9,move_contents_3_ops
D,D_VS_43022,chck_90M,43022,V,entity_gold_stale_cue_ablation,entityabl:1007:move_contents_3_ops:109,-1.531743049621582,0.5725045204162598,-1.496842384338379,move_contents,7,109,-3.884676933288574,-5.416419982910156,-3.3121724128723145,-5.381519317626953,119,4,2,3,1,9,move_contents_3_ops
D,D_VS_43022,chck_90M,43022,V,entity_gold_stale_cue_ablation,entityabl:1008:move_contents_3_ops:111,-0.3032646179199219,0.0936274528503418,0.7293219566345215,move_contents,7,111,-2.768606185913086,-3.071870803833008,-2.674978733062744,-2.0392842292785645,130,0,2,3,1,9,move_contents_3_ops
D,D_VS_43022,chck_90M,43022,V,entity_gold_stale_cue_ablation,entityabl:1009:move_contents_3_ops:112,0.28571557998657227,-2.6444191932678223,-0.976722240447998,move_contents,6,112,-0.03632402420043945,0.2493915557861328,-2.6807432174682617,-1.0130462646484375,128,2,3,3,1,9,move_contents_3_ops
D,D_VS_43022,chck_90M,43022,V,entity_gold_stale_cue_ablation,entityabl:100:regular_2_ops:234,-0.47568702697753906,-0.3138103485107422,-0.09609699249267578,regular,9,234,0.07569313049316406,-0.399993896484375,-0.23811721801757812,-0.02040386199951172,127,1,2,2,1,11,regular_2_ops
D,D_VS_43022,chck_90M,43022,V,entity_gold_stale_cue_ablation,entityabl:1010:move_contents_3_ops:122,-1.2668671607971191,0.3879728317260742,-0.3013439178466797,move_contents,6,122,0.6465449333190918,-0.6203222274780273,1.034517765045166,0.3452010154724121,149,5,3,3,1,9,move_contents_3_ops
D,D_VS_43022,chck_90M,43022,V,entity_gold_stale_cue_ablation,entityabl:1011:move_contents_3_ops:123,-0.8545503616333008,0.6749897003173828,-0.5752496719360352,move_contents,7,123,-0.17188072204589844,-1.0264310836791992,0.5031089782714844,-0.7471303939819336,127,4,2,3,1,9,move_contents_3_ops
D,D_VS_43022,chck_90M,43022,V,entity_gold_stale_cue_ablation,entityabl:1012:move_contents_3_ops:127,-2.800800323486328,-1.6360788345336914,-1.8898158073425293,move_contents,6,127,-1.3330717086791992,-4.133872032165527,-2.9691505432128906,-3.2228875160217285,140,1,3,3,1,9,move_contents_3_ops
D,D_VS_43022,chck_90M,43022,V,entity_gold_stale_cue_ablation,entityabl:1013:move_contents_3_ops:134,-3.220250129699707,-0.6827211380004883,-2.5211915969848633,move_contents,6,134,3.057758331298828,-0.1624917984008789,2.37503719329834,0.5365667343139648,145,5,3,3,1,9,move_contents_3_ops
D,D_VS_43022,chck_90M,43022,V,entity_gold_stale_cue_ablation,entityabl:1014:move_contents_3_ops:140,-5.344709396362305,0.4987907409667969,-5.985706329345703,move_contents,7,140,4.465930938720703,-0.8787784576416016,4.9647216796875,-1.519775390625,122,3,2,3,1,9,move_contents_3_ops
D,D_VS_43022,chck_90M,43022,V,entity_gold_stale_cue_ablation,entityabl:1015:move_contents_3_ops:151,-12.128235816955566,-1.0365140438079834,-9.315391063690186,move_contents,7,151,10.510603904724121,-1.6176319122314453,9.474089860916138,1.1952128410339355,137,2,3,3,1,10,move_contents_3_ops
D,D_VS_43022,chck_90M,43022,V,entity_gold_stale_cue_ablation,entityabl:1016:move_contents_3_ops:153,-2.8662071228027344,-1.003316879272461,0.3402843475341797,move_contents,7,153,3.442795753479004,0.5765886306762695,2.439478874206543,3.7830801010131836,136,3,3,3,1,10,move_contents_3_ops
D,D_VS_43022,chck_90M,43022,V,entity_gold_stale_cue_ablation,entityabl:1017:move_contents_3_ops:155,-0.33688926696777344,-0.05931663513183594,0.3847966194152832,move_contents,7,155,0.9796314239501953,0.6427421569824219,0.9203147888183594,1.3644280433654785,133,2,3,3,1,10,move_contents_3_ops
D,D_VS_43022,chck_90M,43022,V,entity_gold_stale_cue_ablation,entityabl:1018:move_contents_3_ops:157,-0.14377212524414062,-1.8202447891235352,-1.0235843658447266,move_contents,7,157,1.2166967391967773,1.0729246139526367,-0.6035480499267578,0.19311237335205078,152,2,3,3,1,10,move_contents_3_ops
D,D_VS_43022,chck_90M,43022,V,entity_gold_stale_cue_ablation,entityabl:1019:move_contents_3_ops:158,-3.9224984645843506,6.782296419143677,0.5811502933502197,move_contents,8,158,0.4051942825317383,-3.5173041820526123,7.187490701675415,0.986344575881958,158,4,2,3,1,10,move_contents_3_ops
D,D_VS_43022,chck_90M,43022,V,entity_gold_stale_cue_ablation,entityabl:101:regular_2_ops:237,-0.12201690673828125,-0.049361228942871094,0.07852840423583984,regular,9,237,1.1916465759277344,1.0696296691894531,1.1422853469848633,1.2701749801635742,130,6,2,2,1,11,regular_2_ops
D,D_VS_43022,chck_90M,43022,V,entity_gold_stale_cue_ablation,entityabl:1020:move_contents_3_ops:161,-1.3807592391967773,0.8118910789489746,-1.4189376831054688,move_contents,8,161,-4.005805015563965,-5.386564254760742,-3.1939139366149902,-5.424742698669434,125,4,2,3,1,10,move_contents_3_ops
