mode,example_id,reference_correct,reference_rank,reference_top_minus_correct,reference_choice,control_correct,control_rank,control_top_minus_correct,control_choice,treatment_correct,treatment_rank,treatment_top_minus_correct,treatment_choice,treatment_minus_control_rank_delta,treatment_minus_control_margin_delta,control_minus_reference_rank_delta,control_minus_reference_margin_delta,treatment_minus_reference_rank_delta,treatment_minus_reference_margin_delta
nonparallel,group0123_ex000000_eng_latn_0_v1,True,1,0.0,0,True,1,0.0,0,True,1,0.0,0,0,0.0,0,0.0,0,0.0
nonparallel,group0123_ex000001_eng_latn_0_v1,False,2,0.02651999653249515,0,False,2,0.06393048871000584,0,False,2,0.057349495265794914,0,0,-0.006580993444210925,0,0.03741049217751069,0,0.030829498733299765
nonparallel,group0123_ex000002_eng_latn_0_v1,True,1,0.0,0,True,1,0.0,0,True,1,0.0,0,0,0.0,0,0.0,0,0.0
nonparallel,group0123_ex000003_eng_latn_0_v1,True,1,0.0,1,True,1,0.0,1,True,1,0.0,1,0,0.0,0,0.0,0,0.0
nonparallel,group0123_ex000004_eng_latn_0_v1,True,1,0.0,1,False,2,0.14253912004156177,0,False,2,0.03464855874829009,0,0,-0.10789056129327168,1,0.14253912004156177,1,0.03464855874829009
nonparallel,group0123_ex000005_eng_latn_0_v1,True,1,0.0,0,True,1,0.0,0,True,1,0.0,0,0,0.0,0,0.0,0,0.0
nonparallel,group0123_ex000006_eng_latn_0_v1,False,2,0.53407481137444,1,False,2,0.7141637381385353,1,False,2,0.6361986328573792,1,0,-0.07796510528115608,0,0.18008892676409527,0,0.10212382148293919
nonparallel,group0123_ex000007_eng_latn_0_v1,True,1,0.0,0,True,1,0.0,0,True,1,0.0,0,0,0.0,0,0.0,0,0.0
nonparallel,group0123_ex000008_eng_latn_0_v1,True,1,0.0,1,False,2,0.2691307067871094,0,False,2,0.16204452514648438,0,0,-0.107086181640625,1,0.2691307067871094,1,0.16204452514648438
nonparallel,group0123_ex000009_eng_latn_0_v1,False,2,0.33433369227818055,0,False,2,0.34760701155462126,0,False,2,0.3419123737751937,0,0,-0.00569463777942758,0,0.01327331927644071,0,0.007578681497013129
