arch,arm,checkpoint,seed,role,probe_family,probe_id,span_len,gain,companion_words,repeated_nll,source_domain,source_example_id,source_words,unrepeated_nll
RBT,RBT_RS_43022,chck_100M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:0:34715,1,0.6383771896362305,11,4.371241569519043,gutenberg,34715,18,5.009618759155273
RBT,RBT_RS_43022,chck_100M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:100:46093,1,0.18424510955810547,8,4.135095119476318,open_subtitles,46093,11,4.319340229034424
RBT,RBT_RS_43022,chck_100M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:101:9638,1,0.5425686836242676,8,3.5511326789855957,childes,9638,11,4.093701362609863
RBT,RBT_RS_43022,chck_100M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:102:38847,1,0.3031172752380371,8,4.651337623596191,open_subtitles,38847,12,4.9544548988342285
RBT,RBT_RS_43022,chck_100M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:103:25389,1,0.2922511100769043,28,7.4883270263671875,gutenberg,25389,52,7.780578136444092
RBT,RBT_RS_43022,chck_100M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:104:23610,1,0.07294440269470215,8,3.725987195968628,gutenberg,23610,11,3.79893159866333
RBT,RBT_RS_43022,chck_100M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:105:9850,1,0.07036289572715759,19,0.33687344193458557,childes,9850,31,0.40723633766174316
RBT,RBT_RS_43022,chck_100M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:106:33545,1,0.019243478775024414,28,2.657320737838745,gutenberg,33545,48,2.6765642166137695
RBT,RBT_RS_43022,chck_100M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:107:27677,1,0.24413776397705078,8,4.478704929351807,gutenberg,27677,11,4.722842693328857
RBT,RBT_RS_43022,chck_100M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:108:31140,1,0.1565864086151123,11,3.755744457244873,gutenberg,31140,18,3.9123308658599854
RBT,RBT_RS_43022,chck_100M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:109:39267,1,0.4082927703857422,8,3.036592960357666,open_subtitles,39267,11,3.444885730743408
RBT,RBT_RS_43022,chck_100M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:10:4664,1,2.279970169067383,8,5.18967342376709,bnc_spoken,4664,10,7.469643592834473
RBT,RBT_RS_43022,chck_100M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:110:42641,1,0.5697698593139648,8,8.371197700500488,open_subtitles,42641,11,8.940967559814453
RBT,RBT_RS_43022,chck_100M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:111:16252,1,0.3128819465637207,9,5.281309127807617,childes,16252,14,5.594191074371338
RBT,RBT_RS_43022,chck_100M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:112:21179,1,0.6112394332885742,9,9.145425796508789,childes,21179,14,9.756665229797363
RBT,RBT_RS_43022,chck_100M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:113:36547,1,0.34477996826171875,13,6.750148773193359,gutenberg,36547,21,7.094928741455078
RBT,RBT_RS_43022,chck_100M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:114:31372,1,0.050894737243652344,28,5.693805694580078,gutenberg,31372,53,5.7447004318237305
RBT,RBT_RS_43022,chck_100M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:115:48479,1,0.17957067489624023,8,5.581939697265625,open_subtitles,48479,12,5.761510372161865
RBT,RBT_RS_43022,chck_100M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:116:8771,1,0.18035316467285156,8,4.372736930847168,childes,8771,10,4.5530900955200195
RBT,RBT_RS_43022,chck_100M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:117:35397,1,0.06275653839111328,8,4.299500465393066,gutenberg,35397,12,4.36225700378418
RBT,RBT_RS_43022,chck_100M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:118:21260,1,0.32088279724121094,8,2.6713931560516357,childes,21260,10,2.9922759532928467
RBT,RBT_RS_43022,chck_100M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:119:13377,1,0.8980269432067871,8,4.886795520782471,childes,13377,13,5.784822463989258
RBT,RBT_RS_43022,chck_100M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:11:10575,1,0.14682626724243164,11,2.2166147232055664,childes,10575,17,2.363440990447998
RBT,RBT_RS_43022,chck_100M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:120:16330,1,0.6849284172058105,8,5.125765800476074,childes,16330,10,5.810694217681885
RBT,RBT_RS_43022,chck_100M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:121:47969,1,0.30730247497558594,19,12.54928970336914,open_subtitles,47969,30,12.856592178344727
RBT,RBT_RS_43022,chck_100M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:122:37483,1,1.4008994102478027,8,6.900266170501709,gutenberg,37483,10,8.301165580749512
RBT,RBT_RS_43022,chck_100M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:123:14826,1,0.08825647830963135,13,1.8839173316955566,childes,14826,21,1.972173810005188
RBT,RBT_RS_43022,chck_100M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:124:40156,1,0.6058058738708496,8,5.7724833488464355,open_subtitles,40156,10,6.378289222717285
RBT,RBT_RS_43022,chck_100M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:125:19420,1,0.06189584732055664,9,5.5692644119262695,childes,19420,14,5.631160259246826
RBT,RBT_RS_43022,chck_100M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:126:27140,1,0.08846569061279297,11,4.628283977508545,gutenberg,27140,17,4.716749668121338
RBT,RBT_RS_43022,chck_100M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:127:7181,1,1.188971996307373,8,3.3582873344421387,childes,7181,12,4.547259330749512
RBT,RBT_RS_43022,chck_100M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:128:27695,1,0.5675134658813477,8,4.75852108001709,gutenberg,27695,12,5.3260345458984375
RBT,RBT_RS_43022,chck_100M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:129:1384,1,0.12879276275634766,12,7.472323417663574,bnc_spoken,1384,19,7.601116180419922
RBT,RBT_RS_43022,chck_100M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:12:16004,1,0.012310028076171875,15,2.0830836296081543,childes,16004,24,2.095393657684326
RBT,RBT_RS_43022,chck_100M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:130:20591,1,1.2160992622375488,8,3.9640250205993652,childes,20591,13,5.180124282836914
RBT,RBT_RS_43022,chck_100M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:131:21970,1,0.1963338851928711,9,4.637748718261719,childes,21970,14,4.83408260345459
RBT,RBT_RS_43022,chck_100M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:132:8436,1,-0.1841878890991211,8,2.7140698432922363,childes,8436,11,2.5298819541931152
RBT,RBT_RS_43022,chck_100M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:133:59742,1,-0.021019935607910156,16,4.430300712585449,simple_wiki,59742,25,4.409280776977539
RBT,RBT_RS_43022,chck_100M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:134:55526,1,0.182633638381958,9,1.7248187065124512,simple_wiki,55526,14,1.9074523448944092
RBT,RBT_RS_43022,chck_100M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:135:29340,1,0.5935678482055664,8,10.226691246032715,gutenberg,29340,10,10.820259094238281
RBT,RBT_RS_43022,chck_100M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:136:33364,1,0.3091239929199219,27,8.545814514160156,gutenberg,33364,44,8.854938507080078
RBT,RBT_RS_43022,chck_100M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:137:55845,1,0.0659637451171875,18,4.9790544509887695,simple_wiki,55845,29,5.045018196105957
RBT,RBT_RS_43022,chck_100M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:138:49750,1,0.21499919891357422,8,3.256909132003784,open_subtitles,49750,12,3.4719083309173584
RBT,RBT_RS_43022,chck_100M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:139:46059,1,1.148397445678711,8,6.899595260620117,open_subtitles,46059,10,8.047992706298828
RBT,RBT_RS_43022,chck_100M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:13:41264,1,0.8758525848388672,8,9.632495880126953,open_subtitles,41264,10,10.50834846496582
