arch,arm,checkpoint,seed,role,probe_family,probe_id,token_class,gain,pair_id,rewrite_token_len,rewrite_words,source_token_len,source_words,true_source_nll,unrelated_source_nll
RBT,RBT_RS_43022,chck_90M,43022,R,heldout_rewrite_content_conditioning,rewritecond:0:0:compact:frontier_consolidation_fwcompact_medium_006297,nonoverlap,0.1230916976928711,compact:frontier_consolidation_fwcompact_medium_006297,31,20,60,43,6.7845354080200195,6.907627105712891
RBT,RBT_RS_43022,chck_90M,43022,R,heldout_rewrite_content_conditioning,rewritecond:0:26:compact:frontier_consolidation_fwcompact_medium_006297,nonoverlap,-0.19819855690002441,compact:frontier_consolidation_fwcompact_medium_006297,31,20,60,43,2.5896568298339844,2.39145827293396
RBT,RBT_RS_43022,chck_90M,43022,R,heldout_rewrite_content_conditioning,rewritecond:0:28:compact:frontier_consolidation_fwcompact_medium_006297,overlap,-0.09932231903076172,compact:frontier_consolidation_fwcompact_medium_006297,31,20,60,43,4.323543548583984,4.224221229553223
RBT,RBT_RS_43022,chck_90M,43022,R,heldout_rewrite_content_conditioning,rewritecond:0:3:compact:frontier_consolidation_fwcompact_medium_006297,overlap,-0.40030765533447266,compact:frontier_consolidation_fwcompact_medium_006297,31,20,60,43,10.288887977600098,9.888580322265625
RBT,RBT_RS_43022,chck_90M,43022,R,heldout_rewrite_content_conditioning,rewritecond:1000:10:compact:frontier_consolidation_fwcompact_expansion_020154,overlap,-0.028006553649902344,compact:frontier_consolidation_fwcompact_expansion_020154,12,9,17,12,5.700958251953125,5.672951698303223
RBT,RBT_RS_43022,chck_90M,43022,R,heldout_rewrite_content_conditioning,rewritecond:1000:1:compact:frontier_consolidation_fwcompact_expansion_020154,overlap,-0.03443145751953125,compact:frontier_consolidation_fwcompact_expansion_020154,12,9,17,12,10.44863510131836,10.414203643798828
RBT,RBT_RS_43022,chck_90M,43022,R,heldout_rewrite_content_conditioning,rewritecond:1000:4:compact:frontier_consolidation_fwcompact_expansion_020154,nonoverlap,0.4124336242675781,compact:frontier_consolidation_fwcompact_expansion_020154,12,9,17,12,9.69253921508789,10.104972839355469
RBT,RBT_RS_43022,chck_90M,43022,R,heldout_rewrite_content_conditioning,rewritecond:1000:8:compact:frontier_consolidation_fwcompact_expansion_020154,nonoverlap,0.3684120178222656,compact:frontier_consolidation_fwcompact_expansion_020154,12,9,17,12,5.761943817138672,6.1303558349609375
RBT,RBT_RS_43022,chck_90M,43022,R,heldout_rewrite_content_conditioning,rewritecond:1001:11:compact:frontier_consolidation_fwcompact_expansion_020244,nonoverlap,1.0059280395507812,compact:frontier_consolidation_fwcompact_expansion_020244,14,10,17,10,12.390307426452637,13.396235466003418
RBT,RBT_RS_43022,chck_90M,43022,R,heldout_rewrite_content_conditioning,rewritecond:1001:12:compact:frontier_consolidation_fwcompact_expansion_020244,overlap,1.207366943359375,compact:frontier_consolidation_fwcompact_expansion_020244,14,10,17,10,8.035055160522461,9.242422103881836
RBT,RBT_RS_43022,chck_90M,43022,R,heldout_rewrite_content_conditioning,rewritecond:1001:1:compact:frontier_consolidation_fwcompact_expansion_020244,overlap,0.642298698425293,compact:frontier_consolidation_fwcompact_expansion_020244,14,10,17,10,9.397997856140137,10.04029655456543
RBT,RBT_RS_43022,chck_90M,43022,R,heldout_rewrite_content_conditioning,rewritecond:1001:8:compact:frontier_consolidation_fwcompact_expansion_020244,nonoverlap,-0.07574462890625,compact:frontier_consolidation_fwcompact_expansion_020244,14,10,17,10,8.8619384765625,8.78619384765625
RBT,RBT_RS_43022,chck_90M,43022,R,heldout_rewrite_content_conditioning,rewritecond:1002:0:compact:frontier_consolidation_fwcompact_expansion_020303,overlap,0.09163570404052734,compact:frontier_consolidation_fwcompact_expansion_020303,20,12,20,11,7.354874610900879,7.446510314941406
RBT,RBT_RS_43022,chck_90M,43022,R,heldout_rewrite_content_conditioning,rewritecond:1002:18:compact:frontier_consolidation_fwcompact_expansion_020303,overlap,-0.2225813865661621,compact:frontier_consolidation_fwcompact_expansion_020303,20,12,20,11,4.7367048263549805,4.514123439788818
RBT,RBT_RS_43022,chck_90M,43022,R,heldout_rewrite_content_conditioning,rewritecond:1003:0:compact:frontier_consolidation_fwcompact_expansion_020376,nonoverlap,0.4732632637023926,compact:frontier_consolidation_fwcompact_expansion_020376,9,7,16,12,6.204878807067871,6.678142070770264
RBT,RBT_RS_43022,chck_90M,43022,R,heldout_rewrite_content_conditioning,rewritecond:1003:2:compact:frontier_consolidation_fwcompact_expansion_020376,overlap,-1.2148399353027344,compact:frontier_consolidation_fwcompact_expansion_020376,9,7,16,12,14.015519142150879,12.800679206848145
RBT,RBT_RS_43022,chck_90M,43022,R,heldout_rewrite_content_conditioning,rewritecond:1003:4:compact:frontier_consolidation_fwcompact_expansion_020376,overlap,1.9081363677978516,compact:frontier_consolidation_fwcompact_expansion_020376,9,7,16,12,9.011819839477539,10.91995620727539
RBT,RBT_RS_43022,chck_90M,43022,R,heldout_rewrite_content_conditioning,rewritecond:1003:7:compact:frontier_consolidation_fwcompact_expansion_020376,nonoverlap,-0.8448486328125,compact:frontier_consolidation_fwcompact_expansion_020376,9,7,16,12,9.032663345336914,8.187814712524414
RBT,RBT_RS_43022,chck_90M,43022,R,heldout_rewrite_content_conditioning,rewritecond:1004:0:compact:frontier_consolidation_fwcompact_expansion_020429,nonoverlap,1.2283210754394531,compact:frontier_consolidation_fwcompact_expansion_020429,9,6,12,10,10.740876197814941,11.969197273254395
RBT,RBT_RS_43022,chck_90M,43022,R,heldout_rewrite_content_conditioning,rewritecond:1004:2:compact:frontier_consolidation_fwcompact_expansion_020429,overlap,1.3675899505615234,compact:frontier_consolidation_fwcompact_expansion_020429,9,6,12,10,9.239276885986328,10.606866836547852
RBT,RBT_RS_43022,chck_90M,43022,R,heldout_rewrite_content_conditioning,rewritecond:1004:3:compact:frontier_consolidation_fwcompact_expansion_020429,nonoverlap,-0.05588722229003906,compact:frontier_consolidation_fwcompact_expansion_020429,9,6,12,10,11.323463439941406,11.267576217651367
RBT,RBT_RS_43022,chck_90M,43022,R,heldout_rewrite_content_conditioning,rewritecond:1004:7:compact:frontier_consolidation_fwcompact_expansion_020429,overlap,0.8616771697998047,compact:frontier_consolidation_fwcompact_expansion_020429,9,6,12,10,7.460166931152344,8.321844100952148
RBT,RBT_RS_43022,chck_90M,43022,R,heldout_rewrite_content_conditioning,rewritecond:1005:10:compact:frontier_consolidation_fwcompact_expansion_020622,nonoverlap,-0.18431377410888672,compact:frontier_consolidation_fwcompact_expansion_020622,12,8,17,13,6.692405700683594,6.508091926574707
RBT,RBT_RS_43022,chck_90M,43022,R,heldout_rewrite_content_conditioning,rewritecond:1005:1:compact:frontier_consolidation_fwcompact_expansion_020622,nonoverlap,0.7347145080566406,compact:frontier_consolidation_fwcompact_expansion_020622,12,8,17,13,4.609013557434082,5.343728065490723
RBT,RBT_RS_43022,chck_90M,43022,R,heldout_rewrite_content_conditioning,rewritecond:1005:3:compact:frontier_consolidation_fwcompact_expansion_020622,overlap,-0.035778045654296875,compact:frontier_consolidation_fwcompact_expansion_020622,12,8,17,13,11.755386352539062,11.719608306884766
RBT,RBT_RS_43022,chck_90M,43022,R,heldout_rewrite_content_conditioning,rewritecond:1005:8:compact:frontier_consolidation_fwcompact_expansion_020622,overlap,-0.6347141265869141,compact:frontier_consolidation_fwcompact_expansion_020622,12,8,17,13,9.850943565368652,9.216229438781738
RBT,RBT_RS_43022,chck_90M,43022,R,heldout_rewrite_content_conditioning,rewritecond:1006:0:compact:frontier_consolidation_fwcompact_expansion_020653,overlap,4.295750617980957,compact:frontier_consolidation_fwcompact_expansion_020653,23,14,22,14,9.093472480773926,13.389223098754883
RBT,RBT_RS_43022,chck_90M,43022,R,heldout_rewrite_content_conditioning,rewritecond:1006:16:compact:frontier_consolidation_fwcompact_expansion_020653,overlap,-0.2888832092285156,compact:frontier_consolidation_fwcompact_expansion_020653,23,14,22,14,11.590902328491211,11.302019119262695
RBT,RBT_RS_43022,chck_90M,43022,R,heldout_rewrite_content_conditioning,rewritecond:1007:1:compact:frontier_consolidation_fwcompact_expansion_020686,overlap,-0.014163970947265625,compact:frontier_consolidation_fwcompact_expansion_020686,18,8,24,13,12.183958053588867,12.169794082641602
RBT,RBT_RS_43022,chck_90M,43022,R,heldout_rewrite_content_conditioning,rewritecond:1007:2:compact:frontier_consolidation_fwcompact_expansion_020686,overlap,0.1815500259399414,compact:frontier_consolidation_fwcompact_expansion_020686,18,8,24,13,8.50678825378418,8.688338279724121
RBT,RBT_RS_43022,chck_90M,43022,R,heldout_rewrite_content_conditioning,rewritecond:1007:3:compact:frontier_consolidation_fwcompact_expansion_020686,nonoverlap,-0.185882568359375,compact:frontier_consolidation_fwcompact_expansion_020686,18,8,24,13,9.750194549560547,9.564311981201172
RBT,RBT_RS_43022,chck_90M,43022,R,heldout_rewrite_content_conditioning,rewritecond:1007:4:compact:frontier_consolidation_fwcompact_expansion_020686,nonoverlap,0.1445484161376953,compact:frontier_consolidation_fwcompact_expansion_020686,18,8,24,13,11.205700874328613,11.350249290466309
RBT,RBT_RS_43022,chck_90M,43022,R,heldout_rewrite_content_conditioning,rewritecond:1008:0:compact:frontier_consolidation_fwcompact_expansion_020751,nonoverlap,0.9472613334655762,compact:frontier_consolidation_fwcompact_expansion_020751,17,11,18,12,7.688543796539307,8.635805130004883
RBT,RBT_RS_43022,chck_90M,43022,R,heldout_rewrite_content_conditioning,rewritecond:1008:15:compact:frontier_consolidation_fwcompact_expansion_020751,overlap,0.33981895446777344,compact:frontier_consolidation_fwcompact_expansion_020751,17,11,18,12,9.368080139160156,9.70789909362793
RBT,RBT_RS_43022,chck_90M,43022,R,heldout_rewrite_content_conditioning,rewritecond:1008:4:compact:frontier_consolidation_fwcompact_expansion_020751,overlap,0.9254722595214844,compact:frontier_consolidation_fwcompact_expansion_020751,17,11,18,12,11.135038375854492,12.060510635375977
RBT,RBT_RS_43022,chck_90M,43022,R,heldout_rewrite_content_conditioning,rewritecond:1009:0:compact:frontier_consolidation_fwcompact_expansion_020811,nonoverlap,1.822343349456787,compact:frontier_consolidation_fwcompact_expansion_020811,8,7,16,15,6.848646640777588,8.670989990234375
RBT,RBT_RS_43022,chck_90M,43022,R,heldout_rewrite_content_conditioning,rewritecond:1009:3:compact:frontier_consolidation_fwcompact_expansion_020811,overlap,2.06610107421875,compact:frontier_consolidation_fwcompact_expansion_020811,8,7,16,15,8.313261985778809,10.379363059997559
RBT,RBT_RS_43022,chck_90M,43022,R,heldout_rewrite_content_conditioning,rewritecond:1009:5:compact:frontier_consolidation_fwcompact_expansion_020811,nonoverlap,0.031774044036865234,compact:frontier_consolidation_fwcompact_expansion_020811,8,7,16,15,4.015783309936523,4.047557353973389
