alpha,context_mode,group,n,joint,gated_frac,a_correct,b_correct,both_wrong,a_acc,b_acc,mean_joint_min_margin
0.0,full_context,all_pairs,200,5,0.025,78,124,3,0.39,0.62,-1.6900669318230168
0.0,full_context,answer_overlap_ge0p25,5,0,0.0,0,4,1,0.0,0.8,-0.5502155249014946
0.0,full_context,answer_overlap_lt0p25,195,5,0.02564102564102564,78,120,2,0.4,0.6153846153846154,-1.719293890974851
0.0,full_context,both_entities_in_source,115,3,0.02608695652173913,49,67,2,0.4260869565217391,0.5826086956521739,-1.736415974858635
0.0,full_context,genuine_both_source_low_answer_overlap,114,3,0.02631578947368421,49,66,2,0.4298245614035088,0.5789473684210527,-1.7466716027465192
0.0,full_context,not_both_entities_in_source,85,2,0.023529411764705882,29,57,1,0.3411764705882353,0.6705882352941176,-1.6273594030101217
0.0,full_context,position_ambiguous,11,0,0.0,2,9,0,0.18181818181818182,0.8181818181818182,-1.2907629450018527
0.0,full_context,position_unchanged_first,160,5,0.03125,61,101,3,0.38125,0.63125,-1.8024326674368876
0.0,full_context,position_updated_first,29,0,0.0,15,14,0,0.5172413793103449,0.4827586206896552,-1.2215781786096898
0.0,full_context,updated_entity_in_source,119,3,0.025210084033613446,50,70,2,0.42016806722689076,0.5882352941176471,-1.708007316551886
0.0,full_context,updated_entity_not_in_source,81,2,0.024691358024691357,28,54,1,0.345679012345679,0.6666666666666666,-1.663710070307765
0.0,full_context,weak_or_location_separable,86,2,0.023255813953488372,29,58,1,0.3372093023255814,0.6744186046511628,-1.6150328331569788
0.0,no_context,all_pairs,200,10,0.05,134,73,3,0.67,0.365,-1.9605374367461301
0.0,no_context,answer_overlap_ge0p25,5,0,0.0,2,2,1,0.4,0.4,-1.7628553196854355
0.0,no_context,answer_overlap_lt0p25,195,10,0.05128205128205128,132,71,2,0.676923076923077,0.3641025641025641,-1.9656062089784556
0.0,no_context,both_entities_in_source,115,6,0.05217391304347826,80,40,1,0.6956521739130435,0.34782608695652173,-2.0516479373338266
0.0,no_context,genuine_both_source_low_answer_overlap,114,6,0.05263157894736842,80,39,1,0.7017543859649122,0.34210526315789475,-2.0691009836939616
0.0,no_context,not_both_entities_in_source,85,4,0.047058823529411764,54,33,2,0.6352941176470588,0.38823529411764707,-1.837270288892188
0.0,no_context,position_ambiguous,11,0,0.0,5,6,0,0.45454545454545453,0.5454545454545454,-1.188992003066547
0.0,no_context,position_unchanged_first,160,8,0.05,106,59,3,0.6625,0.36875,-2.0030639217124633
0.0,no_context,position_updated_first,29,2,0.06896551724137931,23,8,0,0.7931034482758621,0.27586206896551724,-2.0185637186724086
0.0,no_context,updated_entity_in_source,119,6,0.05042016806722689,82,42,1,0.6890756302521008,0.35294117647058826,-2.0251996254542215
0.0,no_context,updated_entity_not_in_source,81,4,0.04938271604938271,52,31,2,0.6419753086419753,0.38271604938271603,-1.8655399002490571
