i,item_id,split_key,source,target_kind,target_text,target_id,nll_base,top1_base,rank_base,nll_true,top1_true,rank_true,nll_decoy,top1_decoy,rank_decoy,changed_frac_bin,changed_target_frac_proxy,content_overlap,decoy_pair_id,decoy_row_index,doc_id,example_id,overlap_bin,pair_id,rewrite_words,row_index,source_words,target_char_end,target_char_start
0,edit:frontier_consolidation_fwcompact_medium_044135:0:48-53,row:1763,compact_edit,content,ounce,6024,11.51193618774414,0,2083,3.918541669845581,0,5,10.861510276794434,0,1378,0p2_0p4,0.3,0.4375,frontier_consolidation_fwcompact_medium_015439,2187,6703,751763,0p4_0p6,frontier_consolidation_fwcompact_medium_044135,20,1763,31,53,48
1,edit:frontier_consolidation_fwcompact_medium_026603:0:0-4,row:2924,compact_edit,content,Many,3483,7.280071258544922,0,202,5.978316783905029,0,62,9.715901374816895,0,1460,0p4_0p6,0.46153846153846156,0.46153846153846156,frontier_consolidation_fwcompact_medium_005516,2246,1294,752924,0p4_0p6,frontier_consolidation_fwcompact_medium_026603,13,2924,27,4,0
2,edit:frontier_consolidation_fwcompact_medium_044681:0:0-5,row:2940,compact_edit,connective,After,1482,2.599428415298462,0,2,1.1719064712524414,1,1,4.8751091957092285,0,16,0p2_0p4,0.36363636363636365,0.4,frontier_consolidation_fwcompact_medium_006343,2254,9086,752940,0p4_0p6,frontier_consolidation_fwcompact_medium_044681,11,2940,18,5,0
3,edit:frontier_consolidation_fwcompact_medium_013981:0:0-6,row:2006,compact_edit,content,Almost,11394,11.04237174987793,0,2427,12.746219635009766,0,4639,13.426314353942871,0,5383,0p4_0p6,0.4,0.5238095238095238,frontier_consolidation_fwcompact_medium_022827,2975,2039,752006,0p4_0p6,frontier_consolidation_fwcompact_medium_013981,20,2006,32,6,0
4,edit:frontier_consolidation_fwcompact_medium_013987:0:0-2,row:2931,compact_edit,pronoun,It,421,5.673244476318359,0,27,6.795742988586426,0,17,6.356001853942871,0,74,0p2_0p4,0.3,0.6666666666666666,frontier_consolidation_fwcompact_medium_030244,1831,2039,752931,0p6_0p8,frontier_consolidation_fwcompact_medium_013987,10,2931,13,2,0
5,edit:frontier_consolidation_fwcompact_medium_054180:0:0-10,row:2740,compact_edit,content,Bangladesh,11036,12.743083953857422,0,7972,5.14609956741333,0,16,13.43179702758789,0,9646,0p4_0p6,0.45454545454545453,0.4,frontier_consolidation_fwcompact_medium_029373,2097,13513,752740,0p4_0p6,frontier_consolidation_fwcompact_medium_054180,11,2740,25,10,0
6,edit:frontier_consolidation_fwcompact_medium_006478:0:0-3,row:1661,compact_edit,content,One,1620,10.35930347442627,0,2841,12.006860733032227,0,5944,9.853071212768555,0,1741,ge0p6,0.6666666666666666,0.4444444444444444,frontier_consolidation_fwcompact_medium_019331,1330,15070,751661,0p4_0p6,frontier_consolidation_fwcompact_medium_006478,9,1661,12,3,0
7,edit:frontier_consolidation_fwcompact_medium_053963:0:0-6,row:1659,compact_edit,content,German,1964,8.632033348083496,0,561,0.0555109828710556,1,1,8.9360990524292,0,792,0p2_0p4,0.3333333333333333,0.65,frontier_consolidation_fwcompact_medium_027418,551,6181,751659,0p6_0p8,frontier_consolidation_fwcompact_medium_053963,21,1659,28,6,0
8,edit:frontier_consolidation_fwcompact_medium_021140:0:0-1,row:292,compact_edit,pronoun,I,216,7.710446357727051,0,259,2.682384729385376,0,2,9.991146087646484,0,2092,ge0p6,0.6470588235294118,0.4,frontier_consolidation_fwcompact_medium_006081,442,3878,750292,0p4_0p6,frontier_consolidation_fwcompact_medium_021140,17,292,30,1,0
9,edit:frontier_consolidation_fwcompact_medium_035306:0:29-30,row:2754,compact_edit,number,2,22,1.742454171180725,1,1,0.04447600990533829,1,1,2.099184989929199,0,2,0p4_0p6,0.4090909090909091,0.45,frontier_consolidation_fwcompact_medium_021349,2427,13025,752754,0p4_0p6,frontier_consolidation_fwcompact_medium_035306,22,2754,37,30,29
10,edit:frontier_consolidation_fwcompact_medium_000097:0:0-5,row:652,compact_edit,connective,After,1482,8.102466583251953,0,271,8.28839111328125,0,244,7.757561206817627,0,103,0p2_0p4,0.35294117647058826,0.5294117647058824,frontier_consolidation_fwcompact_medium_030289,2957,2306,750652,0p4_0p6,frontier_consolidation_fwcompact_medium_000097,17,652,23,5,0
11,edit:frontier_consolidation_fwcompact_medium_037995:0:0-2,row:2716,compact_edit,function,In,565,4.597336769104004,0,12,4.11754035949707,0,4,5.9491472244262695,0,19,0p2_0p4,0.34615384615384615,0.5384615384615384,frontier_consolidation_fwcompact_medium_055545,1440,10010,752716,0p4_0p6,frontier_consolidation_fwcompact_medium_037995,26,2716,48,2,0
12,edit:frontier_consolidation_fwcompact_medium_007012:0:0-3,row:995,compact_edit,content,All,1072,8.204729080200195,0,186,9.780941009521484,0,1295,9.201725006103516,0,852,0p4_0p6,0.5238095238095238,0.4117647058823529,frontier_consolidation_fwcompact_medium_017781,1110,14327,750995,0p4_0p6,frontier_consolidation_fwcompact_medium_007012,18,995,29,3,0
13,edit:frontier_consolidation_fwcompact_medium_006567:0:6-7,row:2767,compact_edit,number,4,24,1.9960283041000366,0,4,0.08038634061813354,1,1,2.0223212242126465,0,4,ge0p6,0.6,0.75,frontier_consolidation_fwcompact_medium_021552,1705,2595,752767,0p6_0p8,frontier_consolidation_fwcompact_medium_006567,9,2767,13,7,6
14,edit:frontier_consolidation_fwcompact_medium_055989:0:0-4,row:162,compact_edit,content,Like,3033,8.565641403198242,0,441,9.853818893432617,0,833,9.808623313903809,0,1024,0p2_0p4,0.23076923076923078,0.4444444444444444,frontier_consolidation_fwcompact_medium_014321,197,2561,750162,0p4_0p6,frontier_consolidation_fwcompact_medium_055989,13,162,24,4,0
15,edit:frontier_consolidation_fwcompact_medium_017392:0:0-3,row:2862,compact_edit,function,The,308,4.859525680541992,0,9,5.969911575317383,0,9,5.589876174926758,0,24,0p4_0p6,0.42857142857142855,0.44,frontier_consolidation_fwcompact_medium_007929,2792,15522,752862,0p4_0p6,frontier_consolidation_fwcompact_medium_017392,21,2862,36,3,0
16,edit:frontier_consolidation_fwcompact_medium_038922:0:0-1,row:1683,compact_edit,function,A,263,6.5419487953186035,0,49,9.155444145202637,0,1129,7.442852973937988,0,89,0p2_0p4,0.25,0.5,frontier_consolidation_fwcompact_medium_002847,1356,5828,751683,0p4_0p6,frontier_consolidation_fwcompact_medium_038922,12,1683,16,1,0
17,edit:frontier_consolidation_fwcompact_medium_042868:0:0-4,row:1854,compact_edit,content,High,3804,10.899066925048828,0,3079,12.134527206420898,0,2318,10.923572540283203,0,3200,0p4_0p6,0.4,0.6666666666666666,frontier_consolidation_fwcompact_medium_039009,838,1000,751854,0p6_0p8,frontier_consolidation_fwcompact_medium_042868,15,1854,21,4,0
18,edit:frontier_consolidation_fwcompact_medium_017389:0:0-3,row:1147,compact_edit,content,Air,4384,12.712322235107422,0,8717,11.970929145812988,0,4704,12.89395809173584,0,7405,0p2_0p4,0.36363636363636365,0.46153846153846156,frontier_consolidation_fwcompact_medium_037811,953,15522,751147,0p4_0p6,frontier_consolidation_fwcompact_medium_017389,11,1147,18,3,0
19,edit:frontier_consolidation_fwcompact_medium_006213:0:0-4,row:2994,compact_edit,content,Past,15580,13.978175163269043,0,12568,13.649703979492188,0,8983,14.279043197631836,0,12195,0p2_0p4,0.2777777777777778,0.42857142857142855,frontier_consolidation_fwcompact_medium_036477,271,8110,752994,0p4_0p6,frontier_consolidation_fwcompact_medium_006213,18,2994,32,4,0
20,edit:frontier_consolidation_fwcompact_medium_034345:0:0-5,row:774,compact_edit,content,Blood,10804,13.896410942077637,0,11411,11.210309028625488,0,1355,14.681059837341309,0,11622,0p4_0p6,0.5,0.75,frontier_consolidation_fwcompact_medium_046350,2688,8674,750774,0p6_0p8,frontier_consolidation_fwcompact_medium_034345,10,774,16,5,0
21,edit:frontier_consolidation_fwcompact_medium_016777:0:0-4,row:2269,compact_edit,content,Eric,4783,16.362451553344727,0,14811,2.150080919265747,1,1,16.50909423828125,0,14340,0p4_0p6,0.4444444444444444,0.7142857142857143,frontier_consolidation_fwcompact_medium_048543,1287,6413,752269,0p6_0p8,frontier_consolidation_fwcompact_medium_016777,9,2269,13,4,0
22,edit:frontier_consolidation_fwcompact_medium_026803:0:0-6,row:432,compact_edit,connective,Though,6867,11.02812385559082,0,2227,9.120182037353516,0,591,11.537370681762695,0,2985,lt0p2,0.14285714285714285,0.6190476190476191,frontier_consolidation_fwcompact_medium_042407,819,7454,750432,0p6_0p8,frontier_consolidation_fwcompact_medium_026803,21,432,27,6,0
23,edit:frontier_consolidation_fwcompact_medium_047256:0:0-4,row:1500,compact_edit,content,Open,7412,10.880882263183594,0,3383,13.312803268432617,0,2261,8.17572021484375,0,534,0p4_0p6,0.5,0.4666666666666667,frontier_consolidation_fwcompact_medium_050974,1222,6339,751500,0p4_0p6,frontier_consolidation_fwcompact_medium_047256,12,1500,20,4,0
24,edit:frontier_consolidation_fwcompact_medium_036343:0:129-132,row:1620,compact_edit,function,The,1272,0.37629935145378113,1,1,0.01019815169274807,1,1,0.2829315662384033,1,1,0p4_0p6,0.5333333333333333,0.7894736842105263,frontier_consolidation_fwcompact_medium_028684,1519,13615,751620,0p6_0p8,frontier_consolidation_fwcompact_medium_036343,30,1620,38,132,129
25,edit:frontier_consolidation_fwcompact_medium_057327:0:0-6,row:2089,compact_edit,connective,Though,6867,8.49004077911377,0,395,7.432105541229248,0,153,9.14583683013916,0,804,0p4_0p6,0.4375,0.45,frontier_consolidation_fwcompact_medium_021640,361,16877,752089,0p4_0p6,frontier_consolidation_fwcompact_medium_057327,16,2089,30,6,0
26,edit:frontier_consolidation_fwcompact_medium_037474:0:0-2,row:1648,compact_edit,pronoun,It,421,6.654821395874023,0,123,7.06480073928833,0,169,9.501520156860352,0,934,0p2_0p4,0.3333333333333333,0.4,frontier_consolidation_fwcompact_medium_060480,1334,9654,751648,0p4_0p6,frontier_consolidation_fwcompact_medium_037474,9,1648,17,2,0
